forecast_date,target,target_end_date,location,type,quantile,value
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.01,562
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.025,619
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.05,661
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.1,703
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.15,733
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.2,759
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.25,774
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.3,792
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.35,806
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.4,823
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.45,832
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.5,849
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.55,863
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.6,875
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.65,889
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.7,902
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.75,923
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.8,944
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.85,967
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.9,996
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.95,1046
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.975,1081
2022-07-24,1 wk ahead inc hosp,2022-07-30,BE,quantile,0.99,1116
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.01,552
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.025,590
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.05,629
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.1,671
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.15,707
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.2,728
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.25,750
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.3,771
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.35,786
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.4,797
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.45,812
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.5,827
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.55,840
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.6,855
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.65,868
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.7,887
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.75,905
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.8,924
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.85,940
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.9,968
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.95,1006
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.975,1059
2022-07-24,2 wk ahead inc hosp,2022-08-06,BE,quantile,0.99,1103
2022-07-24,3 wk ahead inc hosp,2022-08-13,BE,quantile,0.01,490
2022-07-24,3 wk ahead inc hosp,2022-08-13,BE,quantile,0.025,521
2022-07-24,3 wk ahead inc hosp,2022-08-13,BE,quantile,0.05,558
