forecast_date,target,target_end_date,location,type,quantile,value
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.01,133
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.025,162
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.05,175
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.1,195
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.15,208
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.2,221
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.25,230
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.3,239
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.35,247
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.4,253
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.45,259
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.5,267
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.55,272
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.6,278
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.65,286
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.7,296
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.75,308
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.8,320
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.85,334
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.9,357
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.95,397
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.975,442
2022-06-12,1 wk ahead inc hosp,2022-06-18,BE,quantile,0.99,496
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.01,109
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.025,132
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.05,144
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.1,168
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.15,182
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.2,194
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.25,203
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.3,212
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.35,220
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.4,227
2022-06-12,2 wk ahead inc hosp,2022-06-25,BE,quantile,0.45,236
