forecast_date,target,target_end_date,location,type,quantile,value
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.01,746
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.025,857
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.05,963
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.1,1063
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.15,1133
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.2,1187
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.25,1238
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.3,1275
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.35,1319
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.4,1358
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.45,1399
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.5,1443
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.55,1477
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.6,1518
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.65,1554
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.7,1592
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.75,1635
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.8,1683
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.85,1754
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.9,1822
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.95,1927
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.975,2016
2022-04-17,1 wk ahead inc hosp,2022-04-23,BE,quantile,0.99,2153
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.01,570
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.025,737
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.05,829
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.1,971
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.15,1071
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.2,1128
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.25,1178
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.3,1232
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.35,1282
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.4,1325
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.45,1361
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.5,1402
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.55,1448
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.6,1501
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.65,1552
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.7,1602
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.75,1655
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.8,1719
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.85,1775
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.9,1875
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.95,2024
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.975,2158
2022-04-17,2 wk ahead inc hosp,2022-04-30,BE,quantile,0.99,2260
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.01,623
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.025,709
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.05,829
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.1,947
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.15,1044
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.2,1130
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.25,1198
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.3,1258
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.35,1309
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.4,1356
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.45,1416
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.5,1482
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.55,1530
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.6,1577
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.65,1622
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.7,1666
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.75,1718
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.8,1788
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.85,1863
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.9,1965
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.95,2083
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.975,2194
2022-04-17,3 wk ahead inc hosp,2022-05-07,BE,quantile,0.99,2329
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.01,424
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.025,643
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.05,762
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.1,898
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.15,1007
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.2,1081
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.25,1152
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.3,1216
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.35,1285
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.4,1346
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.45,1398
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.5,1458
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.55,1515
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.6,1565
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.65,1621
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.7,1689
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.75,1743
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.8,1798
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.85,1874
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.9,1963
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.95,2111
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.975,2241
2022-04-17,4 wk ahead inc hosp,2022-05-14,BE,quantile,0.99,2410
2022-04-17,1 wk ahead inc hosp,2022-04-23,CH,quantile,0.01,0
2022-04-17,1 wk ahead inc hosp,2022-04-23,CH,quantile,0.025,0
