location,forecast_date,target,target_end_date,type,quantile,value
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.01,1030
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.01,632
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.01,344
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.01,204
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.01,108
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.01,64
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.01,34
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.025,1190
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.025,770
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.025,513
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.025,312
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.025,201
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.025,121
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.025,71
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.05,1310
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.05,903
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.05,635
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.05,433
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.05,296
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.05,207
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.05,142
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.1,1460
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.1,1080
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.1,811
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.1,624
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.1,462
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.1,336
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.1,258
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.15,1590
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.15,1210
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.15,955
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.15,762
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.15,609
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.15,467
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.15,398
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.2,1690
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.2,1330
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.2,1100
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.2,904
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.2,731
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.2,601
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.2,523
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.25,1780
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.25,1460
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.25,1230
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.25,1030
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.25,888
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.25,762
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.25,687
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.3,1860
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.3,1580
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.3,1360
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.3,1170
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.3,1030
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.3,941
BE,2023-10-16,4 wk ahead inc case,2023-11-11,quantile,0.3,856
BE,2023-10-16,-2 wk ahead inc case,2023-09-30,quantile,0.35,1940
BE,2023-10-16,-1 wk ahead inc case,2023-10-07,quantile,0.35,1700
BE,2023-10-16,0 wk ahead inc case,2023-10-14,quantile,0.35,1490
BE,2023-10-16,1 wk ahead inc case,2023-10-21,quantile,0.35,1310
BE,2023-10-16,2 wk ahead inc case,2023-10-28,quantile,0.35,1200
BE,2023-10-16,3 wk ahead inc case,2023-11-04,quantile,0.35,1100
