forecast_date,target,target_end_date,location,type,quantile,value
2023-07-31,1 wk ahead inc case,2023-08-05,BG,point,NA,162
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.01,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.025,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.05,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.1,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.15,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.2,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.25,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.3,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.35,0
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.4,27
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.45,62
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.5,162
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.55,353
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.6,489
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.65,629
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.7,786
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.75,996
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.8,1216
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.85,1472
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.9,1747
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.95,2218
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.975,2551
2023-07-31,1 wk ahead inc case,2023-08-05,BG,quantile,0.99,3013
2023-07-31,1 wk ahead inc death,2023-08-05,BG,point,NA,4
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.01,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.025,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.05,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.1,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.15,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.2,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.25,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.3,0
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.35,1
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.4,2
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.45,3
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.5,4
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.55,6
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.6,7
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.65,8
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.7,10
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.75,11
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.8,13
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.85,15
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.9,18
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.95,21
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.975,25
2023-07-31,1 wk ahead inc death,2023-08-05,BG,quantile,0.99,28
2023-07-31,2 wk ahead inc case,2023-08-12,BG,point,NA,171
2023-07-31,2 wk ahead inc case,2023-08-12,BG,quantile,0.01,0
2023-07-31,2 wk ahead inc case,2023-08-12,BG,quantile,0.025,0
2023-07-31,2 wk ahead inc case,2023-08-12,BG,quantile,0.05,0
2023-07-31,2 wk ahead inc case,2023-08-12,BG,quantile,0.1,0
