forecast_date,target,target_end_date,location,type,quantile,value
2024-04-29,1 wk ahead inc case,2024-05-04,BG,point,NA,21
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.01,9
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.025,10
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.05,12
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.1,14
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.15,15
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.2,16
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.25,17
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.3,18
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.35,19
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.4,20
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.45,20
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.5,21
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.55,22
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.6,23
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.65,23
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.7,24
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.75,25
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.8,26
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.85,27
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.9,28
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.95,30
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.975,31
2024-04-29,1 wk ahead inc case,2024-05-04,BG,quantile,0.99,33
2024-04-29,1 wk ahead inc death,2024-05-04,BG,point,NA,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.01,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.025,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.05,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.1,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.15,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.2,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.25,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.3,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.35,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.4,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.45,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.5,0
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.55,1
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.6,1
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.65,1
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.7,2
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.75,3
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.8,3
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.85,4
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.9,5
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.95,6
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.975,6
2024-04-29,1 wk ahead inc death,2024-05-04,BG,quantile,0.99,7
2024-04-29,2 wk ahead inc case,2024-05-11,BG,point,NA,20
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.01,6
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.025,8
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.05,9
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.1,11
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.15,12
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.2,14
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.25,15
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.3,16
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.35,17
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.4,18
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.45,19
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.5,20
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.55,21
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.6,22
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.65,23
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.7,24
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.75,25
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.8,26
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.85,29
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.9,31
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.95,34
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.975,37
2024-04-29,2 wk ahead inc case,2024-05-11,BG,quantile,0.99,39
2024-04-29,2 wk ahead inc death,2024-05-11,BG,point,NA,1
