forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-06-14,1 wk ahead inc case,2021-06-19,DE,point,NA,8074,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,point,NA,3971,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,point,NA,1616,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,point,NA,85,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.01,2874,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.01,0,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.01,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.01,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.025,3693,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.025,0,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.025,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.025,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.05,4397,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.05,0,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.05,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.05,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.1,5209,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.1,0,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.1,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.1,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.15,5757,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.15,33,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.15,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.15,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.2,6193,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.2,773,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.2,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.2,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.25,6566,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.25,1408,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.25,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.25,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.3,6902,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.3,1979,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.3,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.3,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.35,7213,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.35,2507,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.35,0,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.35,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.4,7508,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.4,3008,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.4,329,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.4,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.45,7793,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.45,3493,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.45,978,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.45,0,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.5,8074,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.5,3971,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.5,1616,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.5,85,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.55,8355,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.55,4448,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.55,2254,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.55,856,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.6,8640,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.6,4933,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.6,2902,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.6,1640,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.65,8935,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.65,5434,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.65,3572,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.65,2450,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.7,9246,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.7,5963,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.7,4279,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.7,3304,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.75,9581,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.75,6533,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.75,5041,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.75,4226,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.8,9955,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.8,7168,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.8,5890,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.8,5252,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.85,10390,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.85,7908,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.85,6879,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.85,6448,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.9,10938,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.9,8839,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.9,8124,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.9,7953,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.95,11750,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.95,10219,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.95,9969,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.95,10183,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.975,12455,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.975,11416,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.975,11569,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.975,12118,forecast
2021-06-14,1 wk ahead inc case,2021-06-19,DE,quantile,0.99,13274,forecast
2021-06-14,2 wk ahead inc case,2021-06-26,DE,quantile,0.99,12808,forecast
2021-06-14,3 wk ahead inc case,2021-07-03,DE,quantile,0.99,13429,forecast
2021-06-14,4 wk ahead inc case,2021-07-10,DE,quantile,0.99,14367,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,point,NA,240,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,point,NA,169,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,point,NA,96,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,point,NA,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.01,92,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.01,17,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.01,0,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.01,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.025,116,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.025,41,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.025,0,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.025,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.05,136,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.05,62,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.05,0,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.05,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.1,159,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.1,86,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.1,14,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.1,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.15,174,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.15,102,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.15,29,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.15,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.2,187,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.2,114,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.2,42,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.2,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.25,197,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.25,125,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.25,53,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.25,0,forecast
2021-06-14,1 wk ahead inc death,2021-06-19,DE,quantile,0.3,207,forecast
2021-06-14,2 wk ahead inc death,2021-06-26,DE,quantile,0.3,135,forecast
2021-06-14,3 wk ahead inc death,2021-07-03,DE,quantile,0.3,62,forecast
2021-06-14,4 wk ahead inc death,2021-07-10,DE,quantile,0.3,0,forecast
