forecast_date,target,target_end_date,location,type,quantile,value
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.010,138586
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.025,138586
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.050,138586
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.100,161223
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.150,161223
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.200,164158
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.250,164158
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.300,186015
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.350,186015
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.400,186719
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.450,186719
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.500,200401
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.550,202904
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.600,203200
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.650,211136
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.700,213111
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.750,221682
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.800,240519
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.850,249618
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.900,285491
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.950,286689
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.975,286689
2022-04-04,1 wk ahead inc case,2022-04-09,BE,quantile,0.990,286689
2022-04-04,1 wk ahead inc case,2022-04-09,BE,point,NA,234144
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.010,126950
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.025,126950
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.050,126950
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.100,169719
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.150,182570
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.200,188161
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.250,202828
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.300,246716
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.350,253299
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.400,253351
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.450,282506
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.500,295136
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.550,295136
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.600,302177
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.650,302177
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.700,328020
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.750,328020
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.800,375675
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.850,375675
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.900,492289
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.950,492289
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.975,492289
2022-04-04,2 wk ahead inc case,2022-04-16,BE,quantile,0.990,492289
2022-04-04,2 wk ahead inc case,2022-04-16,BE,point,NA,427472
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.010,109570
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.025,109570
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.050,109570
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.100,109570
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.150,137851
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.200,137851
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.250,164946
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.300,164946
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.350,176069
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.400,182860
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.450,232121
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.500,240456
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.550,240456
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.600,251138
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.650,320533
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.700,356076
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.750,388051
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.800,391096
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.850,391096
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.900,472350
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.950,472350
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.975,472350
2022-04-04,3 wk ahead inc case,2022-04-23,BE,quantile,0.990,472350
2022-04-04,3 wk ahead inc case,2022-04-23,BE,point,NA,541718
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.010,54063
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.025,54063
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.050,54063
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.100,54063
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.150,67759
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.200,67759
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.250,70254
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.300,71612
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.350,71612
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.400,78942
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.450,81708
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.500,90704
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.550,90704
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.600,157433
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.650,232335
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.700,232335
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.750,329337
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.800,329337
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.850,329337
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.900,381923
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.950,381923
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.975,381923
2022-04-04,4 wk ahead inc case,2022-04-30,BE,quantile,0.990,381923
2022-04-04,4 wk ahead inc case,2022-04-30,BE,point,NA,438529
2022-04-04,5 wk ahead inc case,2022-05-07,BE,quantile,0.010,20353
2022-04-04,5 wk ahead inc case,2022-05-07,BE,quantile,0.025,20353
