"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"1","forecast",2021-01-13,"1 wk ahead inc death",2021-01-23,"BE","quantile",0.01,207,"Belgium"
"2","forecast",2021-01-13,"2 wk ahead inc death",2021-01-30,"BE","quantile",0.01,191,"Belgium"
"3","forecast",2021-01-13,"3 wk ahead inc death",2021-02-06,"BE","quantile",0.01,164,"Belgium"
"4","forecast",2021-01-13,"4 wk ahead inc death",2021-02-13,"BE","quantile",0.01,139,"Belgium"
"5","forecast",2021-01-13,"1 wk ahead inc death",2021-01-23,"BE","quantile",0.025,252,"Belgium"
"6","forecast",2021-01-13,"2 wk ahead inc death",2021-01-30,"BE","quantile",0.025,220,"Belgium"
"7","forecast",2021-01-13,"3 wk ahead inc death",2021-02-06,"BE","quantile",0.025,195,"Belgium"
"8","forecast",2021-01-13,"4 wk ahead inc death",2021-02-13,"BE","quantile",0.025,163,"Belgium"
"9","forecast",2021-01-13,"1 wk ahead inc death",2021-01-23,"BE","quantile",0.05,270,"Belgium"
"10","forecast",2021-01-13,"2 wk ahead inc death",2021-01-30,"BE","quantile",0.05,238,"Belgium"
"11","forecast",2021-01-13,"3 wk ahead inc death",2021-02-06,"BE","quantile",0.05,210,"Belgium"
"12","forecast",2021-01-13,"4 wk ahead inc death",2021-02-13,"BE","quantile",0.05,180,"Belgium"
"13","forecast",2021-01-13,"1 wk ahead inc death",2021-01-23,"BE","quantile",0.1,289,"Belgium"
"14","forecast",2021-01-13,"2 wk ahead inc death",2021-01-30,"BE","quantile",0.1,256,"Belgium"
"15","forecast",2021-01-13,"3 wk ahead inc death",2021-02-06,"BE","quantile",0.1,232,"Belgium"
"16","forecast",2021-01-13,"4 wk ahead inc death",2021-02-13,"BE","quantile",0.1,204,"Belgium"
"17","forecast",2021-01-13,"1 wk ahead inc death",2021-01-23,"BE","quantile",0.15,301,"Belgium"
"18","forecast",2021-01-13,"2 wk ahead inc death",2021-01-30,"BE","quantile",0.15,274,"Belgium"
"19","forecast",2021-01-13,"3 wk ahead inc death",2021-02-06,"BE","quantile",0.15,248,"Belgium"
"20","forecast",2021-01-13,"4 wk ahead inc death",2021-02-13,"BE","quantile",0.15,220,"Belgium"
