"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","point",NA,3221.1,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.01,2226,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.025,2456.8,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.05,2579.7,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.1,2722.2,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.15,2802,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.2,2887.8,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.25,2962.5,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.3,3022.5,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.35,3080.5,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.4,3150,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.45,3215.3,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.5,3273,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.55,3330.7,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.6,3384.6,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.65,3429,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.7,3486.5,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.75,3561.8,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.8,3643.5,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.85,3729.2,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.9,3834.5,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.95,3997.9,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.975,4198.9,"forecast"
"2021-02-14","1 wk ahead inc death","2021-02-20","DE","quantile",0.99,4366.6,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","point",NA,2661.5,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.01,1820,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.025,1961.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.05,2096,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.1,2210,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.15,2309.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.2,2388.8,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.25,2440.9,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.3,2504.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.35,2554.7,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.4,2619.1,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.45,2666.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.5,2716.5,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.55,2765.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.6,2826.8,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.65,2870.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.7,2926.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.75,3002.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.8,3056.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.85,3146.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.9,3252,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.95,3418.2,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.975,3583.3,"forecast"
"2021-02-14","2 wk ahead inc death","2021-02-27","DE","quantile",0.99,3782.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","point",NA,2186.2,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.01,1457.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.025,1559.3,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.05,1682.2,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.1,1806.7,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.15,1883.3,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.2,1961.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.25,2015.1,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.3,2064.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.35,2103.9,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.4,2159.2,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.45,2206.3,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.5,2245,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.55,2299,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.6,2350,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.65,2419,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.7,2461.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.75,2522.9,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.8,2594.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.85,2642.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.9,2756.5,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.95,2911.1,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.975,3068.7,"forecast"
"2021-02-14","3 wk ahead inc death","2021-03-06","DE","quantile",0.99,3238.1,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","point",NA,1789.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.01,1159.7,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.025,1267.7,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.05,1350.2,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.1,1455.2,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.15,1545,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.2,1592.9,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.25,1652.9,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.3,1694.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.35,1730.7,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.4,1774.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.45,1816.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.5,1853.5,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.55,1908.9,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.6,1951.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.65,1998.2,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.7,2046.2,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.75,2097.6,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.8,2169.5,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.85,2227.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.9,2312.2,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.95,2472.8,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.975,2616.3,"forecast"
"2021-02-14","4 wk ahead inc death","2021-03-13","DE","quantile",0.99,2773.8,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","point",NA,44989.9,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.01,31638,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.025,33143.9,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.05,35945.7,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.1,38672.6,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.15,40378.5,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.2,41507.6,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.25,42989.8,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.3,44276.6,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.35,45605.5,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.4,46601.9,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.45,47740.3,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.5,48632,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.55,49684.2,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.6,50746.1,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.65,51729.5,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.7,53107.7,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.75,54755,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.8,56319.8,"forecast"
"2021-02-14","1 wk ahead inc case","2021-02-20","DE","quantile",0.85,58501.9,"forecast"
