location_name,location,date,value,source,type
United Kingdom,GB,2022-02-20,1084,Hub,Scraped
United Kingdom,GB,2022-02-19,975,Hub,Scraped
United Kingdom,GB,2022-02-18,1053,Hub,Scraped
United Kingdom,GB,2022-02-17,1123,Hub,Scraped
United Kingdom,GB,2022-02-16,1310,Hub,Scraped
United Kingdom,GB,2022-02-15,1316,Hub,Scraped
United Kingdom,GB,2022-02-14,1312,Hub,Scraped
United Kingdom,GB,2022-02-13,1156,Hub,Scraped
United Kingdom,GB,2022-02-12,1112,Hub,Scraped
United Kingdom,GB,2022-02-11,1142,Hub,Scraped
United Kingdom,GB,2022-02-10,1316,Hub,Scraped
United Kingdom,GB,2022-02-09,1396,Hub,Scraped
United Kingdom,GB,2022-02-08,1444,Hub,Scraped
United Kingdom,GB,2022-02-07,1411,Hub,Scraped
United Kingdom,GB,2022-02-06,1331,Hub,Scraped
United Kingdom,GB,2022-02-05,1214,Hub,Scraped
United Kingdom,GB,2022-02-04,1387,Hub,Scraped
United Kingdom,GB,2022-02-03,1459,Hub,Scraped
United Kingdom,GB,2022-02-02,1619,Hub,Scraped
United Kingdom,GB,2022-02-01,1738,Hub,Scraped
United Kingdom,GB,2022-01-31,1629,Hub,Scraped
United Kingdom,GB,2022-01-30,1417,Hub,Scraped
United Kingdom,GB,2022-01-29,1427,Hub,Scraped
United Kingdom,GB,2022-01-28,1511,Hub,Scraped
United Kingdom,GB,2022-01-27,1657,Hub,Scraped
United Kingdom,GB,2022-01-26,1851,Hub,Scraped
United Kingdom,GB,2022-01-25,1885,Hub,Scraped
United Kingdom,GB,2022-01-24,1764,Hub,Scraped
United Kingdom,GB,2022-01-23,1674,Hub,Scraped
United Kingdom,GB,2022-01-22,1427,Hub,Scraped
United Kingdom,GB,2022-01-21,1657,Hub,Scraped
United Kingdom,GB,2022-01-20,1895,Hub,Scraped
United Kingdom,GB,2022-01-19,1980,Hub,Scraped
United Kingdom,GB,2022-01-18,1995,Hub,Scraped
United Kingdom,GB,2022-01-17,2010,Hub,Scraped
United Kingdom,GB,2022-01-16,1929,Hub,Scraped
United Kingdom,GB,2022-01-15,1781,Hub,Scraped
United Kingdom,GB,2022-01-14,1929,Hub,Scraped
United Kingdom,GB,2022-01-13,2151,Hub,Scraped
United Kingdom,GB,2022-01-12,2191,Hub,Scraped
United Kingdom,GB,2022-01-11,2399,Hub,Scraped
United Kingdom,GB,2022-01-10,2444,Hub,Scraped
United Kingdom,GB,2022-01-09,2212,Hub,Scraped
United Kingdom,GB,2022-01-08,2087,Hub,Scraped
United Kingdom,GB,2022-01-07,2033,Hub,Scraped
United Kingdom,GB,2022-01-06,2330,Hub,Scraped
United Kingdom,GB,2022-01-05,2392,Hub,Scraped
United Kingdom,GB,2022-01-04,2386,Hub,Scraped
United Kingdom,GB,2022-01-03,2462,Hub,Scraped
United Kingdom,GB,2022-01-02,2113,Hub,Scraped
United Kingdom,GB,2022-01-01,2067,Hub,Scraped
United Kingdom,GB,2021-12-31,2095,Hub,Scraped
United Kingdom,GB,2021-12-30,2392,Hub,Scraped
United Kingdom,GB,2021-12-29,2615,Hub,Scraped
United Kingdom,GB,2021-12-28,2304,Hub,Scraped
United Kingdom,GB,2021-12-27,1959,Hub,Scraped
United Kingdom,GB,2021-12-26,1545,Hub,Scraped
United Kingdom,GB,2021-12-25,1410,Hub,Scraped
United Kingdom,GB,2021-12-24,1187,Hub,Scraped
United Kingdom,GB,2021-12-23,1401,Hub,Scraped
United Kingdom,GB,2021-12-22,1413,Hub,Scraped
United Kingdom,GB,2021-12-21,1256,Hub,Scraped
United Kingdom,GB,2021-12-20,1218,Hub,Scraped
United Kingdom,GB,2021-12-19,1017,Hub,Scraped
United Kingdom,GB,2021-12-18,834,Hub,Scraped
United Kingdom,GB,2021-12-17,885,Hub,Scraped
United Kingdom,GB,2021-12-16,925,Hub,Scraped
United Kingdom,GB,2021-12-15,954,Hub,Scraped
United Kingdom,GB,2021-12-14,952,Hub,Scraped
United Kingdom,GB,2021-12-13,924,Hub,Scraped
United Kingdom,GB,2021-12-12,867,Hub,Scraped
United Kingdom,GB,2021-12-11,790,Hub,Scraped
United Kingdom,GB,2021-12-10,822,Hub,Scraped
United Kingdom,GB,2021-12-09,955,Hub,Scraped
United Kingdom,GB,2021-12-08,889,Hub,Scraped
United Kingdom,GB,2021-12-07,942,Hub,Scraped
United Kingdom,GB,2021-12-06,871,Hub,Scraped
United Kingdom,GB,2021-12-05,845,Hub,Scraped
United Kingdom,GB,2021-12-04,749,Hub,Scraped
United Kingdom,GB,2021-12-03,734,Hub,Scraped
United Kingdom,GB,2021-12-02,842,Hub,Scraped
United Kingdom,GB,2021-12-01,825,Hub,Scraped
United Kingdom,GB,2021-11-30,842,Hub,Scraped
United Kingdom,GB,2021-11-29,811,Hub,Scraped
United Kingdom,GB,2021-11-28,713,Hub,Scraped
United Kingdom,GB,2021-11-27,716,Hub,Scraped
United Kingdom,GB,2021-11-26,733,Hub,Scraped
United Kingdom,GB,2021-11-25,777,Hub,Scraped
United Kingdom,GB,2021-11-24,918,Hub,Scraped
United Kingdom,GB,2021-11-23,788,Hub,Scraped
United Kingdom,GB,2021-11-22,746,Hub,Scraped
United Kingdom,GB,2021-11-21,755,Hub,Scraped
United Kingdom,GB,2021-11-20,735,Hub,Scraped
United Kingdom,GB,2021-11-19,776,Hub,Scraped
