location_name,location,date,value,source,type
Belgium,BE,2021-01-20,144,Public,Scraped
Belgium,BE,2021-01-21,148,Public,Scraped
Belgium,BE,2021-01-22,158,Public,Scraped
Belgium,BE,2021-01-23,143,Public,Scraped
Belgium,BE,2021-01-24,106,Public,Scraped
Belgium,BE,2021-01-25,92,Public,Scraped
Belgium,BE,2021-01-26,153,Public,Scraped
Belgium,BE,2021-01-27,121,Public,Scraped
Belgium,BE,2021-01-28,138,Public,Scraped
Belgium,BE,2021-01-29,119,Public,Scraped
Belgium,BE,2021-01-30,137,Public,Scraped
Belgium,BE,2021-01-31,77,Public,Scraped
Belgium,BE,2021-02-01,128,Public,Scraped
Belgium,BE,2021-02-02,142,Public,Scraped
Belgium,BE,2021-02-03,142,Public,Scraped
Belgium,BE,2021-02-04,141,Public,Scraped
Belgium,BE,2021-02-05,144,Public,Scraped
Belgium,BE,2021-02-06,123,Public,Scraped
Belgium,BE,2021-02-07,108,Public,Scraped
Belgium,BE,2021-02-08,72,Public,Scraped
Belgium,BE,2021-02-09,163,Public,Scraped
Belgium,BE,2021-02-10,132,Public,Scraped
Belgium,BE,2021-02-11,137,Public,Scraped
Belgium,BE,2021-02-12,132,Public,Scraped
Belgium,BE,2021-02-13,107,Public,Scraped
Belgium,BE,2021-02-14,91,Public,Scraped
Belgium,BE,2021-02-15,84,Public,Scraped
Belgium,BE,2021-02-16,145,Public,Scraped
Belgium,BE,2021-02-17,141,Public,Scraped
Belgium,BE,2021-02-18,142,Public,Scraped
Belgium,BE,2021-02-19,125,Public,Scraped
Belgium,BE,2021-02-20,112,Public,Scraped
Belgium,BE,2021-02-21,88,Public,Scraped
Belgium,BE,2021-02-22,115,Public,Scraped
Belgium,BE,2021-02-23,155,Public,Scraped
Belgium,BE,2021-02-24,150,Public,Scraped
Belgium,BE,2021-02-25,142,Public,Scraped
Belgium,BE,2021-02-26,204,Public,Scraped
Belgium,BE,2021-02-27,156,Public,Scraped
Belgium,BE,2021-02-28,127,Public,Scraped
Belgium,BE,2021-03-01,107,Public,Scraped
Belgium,BE,2021-03-02,176,Public,Scraped
Belgium,BE,2021-03-03,152,Public,Scraped
Belgium,BE,2021-03-04,171,Public,Scraped
Belgium,BE,2021-03-05,152,Public,Scraped
Belgium,BE,2021-03-06,141,Public,Scraped
Belgium,BE,2021-03-07,122,Public,Scraped
Belgium,BE,2021-03-08,113,Public,Scraped
Belgium,BE,2021-03-09,202,Public,Scraped
Belgium,BE,2021-03-10,154,Public,Scraped
Belgium,BE,2021-03-11,139,Public,Scraped
Belgium,BE,2021-03-12,170,Public,Scraped
Belgium,BE,2021-03-13,195,Public,Scraped
Belgium,BE,2021-03-14,159,Public,Scraped
Belgium,BE,2021-03-15,150,Public,Scraped
Belgium,BE,2021-03-16,208,Public,Scraped
Belgium,BE,2021-03-17,207,Public,Scraped
Belgium,BE,2021-03-18,208,Public,Scraped
Belgium,BE,2021-03-19,182,Public,Scraped
Belgium,BE,2021-03-20,243,Public,Scraped
Belgium,BE,2021-03-21,185,Public,Scraped
Belgium,BE,2021-03-22,201,Public,Scraped
Belgium,BE,2021-03-23,282,Public,Scraped
Belgium,BE,2021-03-24,251,Public,Scraped
Belgium,BE,2021-03-25,242,Public,Scraped
Belgium,BE,2021-03-26,208,Public,Scraped
Belgium,BE,2021-03-27,296,Public,Scraped
Belgium,BE,2021-03-28,213,Public,Scraped
Belgium,BE,2021-03-29,199,Public,Scraped
Belgium,BE,2021-03-30,319,Public,Scraped
Belgium,BE,2021-03-31,309,Public,Scraped
Belgium,BE,2021-04-01,290,Public,Scraped
Belgium,BE,2021-04-02,296,Public,Scraped
Belgium,BE,2021-04-03,259,Public,Scraped
Belgium,BE,2021-04-04,171,Public,Scraped
