location_name,location,indicator,date,value,source,type
Austria,AT,Daily hospital occupancy,2020-04-01,856,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-02,823,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-03,829,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-04,826,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-05,712,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-06,824,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-07,857,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-08,829,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-09,820,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-10,771,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-11,790,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-12,792,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-13,742,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-14,759,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-15,769,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-16,729,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-17,682,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-18,647,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-19,613,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-20,611,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-21,560,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-22,524,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-23,508,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-24,495,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-25,460,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-26,449,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-27,439,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-28,425,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-29,386,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-04-30,372,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-01,348,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-02,314,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-03,308,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-04,309,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-05,314,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-06,321,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-05-07,268,Public,ECDC
