location_name,location,target_variable,date,value,source
Austria,AT,inc death,2023-06-24,5,ECDC
Austria,AT,inc death,2023-06-17,5,ECDC
Austria,AT,hospitaladmissions,2023-06-17,1,ECDC
Austria,AT,inc death,2023-06-10,7,ECDC
Austria,AT,hospitaladmissions,2023-06-10,2,ECDC
Austria,AT,inc death,2023-06-03,9,ECDC
Austria,AT,hospitaladmissions,2023-06-03,4,ECDC
Austria,AT,inc death,2023-05-27,10,ECDC
Austria,AT,hospitaladmissions,2023-05-27,3,ECDC
Austria,AT,inc death,2023-05-20,14,ECDC
Austria,AT,hospitaladmissions,2023-05-20,2,ECDC
Austria,AT,inc death,2023-05-13,11,ECDC
Austria,AT,hospitaladmissions,2023-05-13,4,ECDC
Austria,AT,ICUadmissions,2023-05-13,1,ECDC
Austria,AT,inc death,2023-05-06,22,ECDC
Austria,AT,hospitaladmissions,2023-05-06,1,ECDC
Austria,AT,inc death,2023-04-29,24,ECDC
Austria,AT,hospitaladmissions,2023-04-29,4,ECDC
Austria,AT,ICUadmissions,2023-04-29,2,ECDC
Austria,AT,inc death,2023-04-22,38,ECDC
Austria,AT,hospitaladmissions,2023-04-22,4,ECDC
Austria,AT,inc death,2023-04-15,31,ECDC
Austria,AT,hospitaladmissions,2023-04-15,14,ECDC
Austria,AT,ICUadmissions,2023-04-15,1,ECDC
Austria,AT,inc death,2023-04-08,31,ECDC
Austria,AT,hospitaladmissions,2023-04-08,15,ECDC
Austria,AT,ICUadmissions,2023-04-08,5,ECDC
Austria,AT,inc death,2023-04-01,45,ECDC
Austria,AT,hospitaladmissions,2023-04-01,30,ECDC
Austria,AT,ICUadmissions,2023-04-01,25,ECDC
Austria,AT,inc death,2023-03-25,50,ECDC
Austria,AT,hospitaladmissions,2023-03-25,67,ECDC
Austria,AT,ICUadmissions,2023-03-25,60,ECDC
Austria,AT,inc death,2023-03-18,56,ECDC
Austria,AT,hospitaladmissions,2023-03-18,73,ECDC
Austria,AT,ICUadmissions,2023-03-18,66,ECDC
Austria,AT,inc death,2023-03-11,60,ECDC
Austria,AT,hospitaladmissions,2023-03-11,102,ECDC
Austria,AT,ICUadmissions,2023-03-11,91,ECDC
Austria,AT,inc death,2023-03-04,64,ECDC
Austria,AT,hospitaladmissions,2023-03-04,72,ECDC
Austria,AT,ICUadmissions,2023-03-04,61,ECDC
Austria,AT,inc death,2023-02-25,59,ECDC
Austria,AT,hospitaladmissions,2023-02-25,113,ECDC
Austria,AT,ICUadmissions,2023-02-25,94,ECDC
Austria,AT,inc death,2023-02-18,35,ECDC
Austria,AT,hospitaladmissions,2023-02-18,122,ECDC
Austria,AT,ICUadmissions,2023-02-18,110,ECDC
Austria,AT,inc death,2023-02-11,37,ECDC
Austria,AT,hospitaladmissions,2023-02-11,91,ECDC
Austria,AT,ICUadmissions,2023-02-11,80,ECDC
Austria,AT,inc death,2023-02-04,47,ECDC
Austria,AT,hospitaladmissions,2023-02-04,76,ECDC
Austria,AT,ICUadmissions,2023-02-04,70,ECDC
Austria,AT,inc death,2023-01-28,48,ECDC
Austria,AT,hospitaladmissions,2023-01-28,85,ECDC
Austria,AT,ICUadmissions,2023-01-28,73,ECDC
Austria,AT,inc death,2023-01-21,45,ECDC
Austria,AT,hospitaladmissions,2023-01-21,68,ECDC
Austria,AT,ICUadmissions,2023-01-21,61,ECDC
Austria,AT,inc death,2023-01-14,54,ECDC
Austria,AT,hospitaladmissions,2023-01-14,68,ECDC
Austria,AT,ICUadmissions,2023-01-14,61,ECDC
Austria,AT,inc death,2023-01-07,64,ECDC
Austria,AT,hospitaladmissions,2023-01-07,126,ECDC
Austria,AT,ICUadmissions,2023-01-07,110,ECDC
Austria,AT,inc death,2022-12-31,77,ECDC
Austria,AT,hospitaladmissions,2022-12-31,111,ECDC
Austria,AT,ICUadmissions,2022-12-31,96,ECDC
Austria,AT,inc death,2022-12-24,73,ECDC
Austria,AT,hospitaladmissions,2022-12-24,167,ECDC
Austria,AT,ICUadmissions,2022-12-24,156,ECDC
Austria,AT,inc death,2022-12-17,58,ECDC
Austria,AT,hospitaladmissions,2022-12-17,160,ECDC
Austria,AT,ICUadmissions,2022-12-17,146,ECDC
Austria,AT,inc death,2022-12-10,42,ECDC
Austria,AT,hospitaladmissions,2022-12-10,158,ECDC
Austria,AT,ICUadmissions,2022-12-10,146,ECDC
Austria,AT,inc death,2022-12-03,53,ECDC
Austria,AT,hospitaladmissions,2022-12-03,128,ECDC
Austria,AT,ICUadmissions,2022-12-03,118,ECDC
Austria,AT,inc death,2022-11-26,43,ECDC
Austria,AT,hospitaladmissions,2022-11-26,148,ECDC
Austria,AT,ICUadmissions,2022-11-26,136,ECDC
Austria,AT,inc death,2022-11-19,55,ECDC
Austria,AT,hospitaladmissions,2022-11-19,141,ECDC
Austria,AT,ICUadmissions,2022-11-19,136,ECDC
Austria,AT,inc death,2022-11-12,53,ECDC
Austria,AT,hospitaladmissions,2022-11-12,149,ECDC
Austria,AT,ICUadmissions,2022-11-12,142,ECDC
Austria,AT,inc death,2022-11-05,52,ECDC
Austria,AT,hospitaladmissions,2022-11-05,140,ECDC
Austria,AT,ICUadmissions,2022-11-05,133,ECDC
Austria,AT,inc death,2022-10-29,76,ECDC
Austria,AT,hospitaladmissions,2022-10-29,166,ECDC
Austria,AT,ICUadmissions,2022-10-29,158,ECDC
Austria,AT,inc death,2022-10-22,79,ECDC
Austria,AT,hospitaladmissions,2022-10-22,184,ECDC
Austria,AT,ICUadmissions,2022-10-22,171,ECDC
Austria,AT,inc death,2022-10-15,87,ECDC
Austria,AT,hospitaladmissions,2022-10-15,238,ECDC
Austria,AT,ICUadmissions,2022-10-15,220,ECDC
Austria,AT,inc death,2022-10-08,103,ECDC
Austria,AT,hospitaladmissions,2022-10-08,1,ECDC
Austria,AT,ICUadmissions,2022-10-08,222,ECDC
Austria,AT,inc death,2022-10-01,47,ECDC
Austria,AT,hospitaladmissions,2022-10-01,681,ECDC
Austria,AT,ICUadmissions,2022-10-01,207,ECDC
Austria,AT,inc death,2022-09-24,38,ECDC
Austria,AT,hospitaladmissions,2022-09-24,778,ECDC
Austria,AT,ICUadmissions,2022-09-24,264,ECDC
Austria,AT,inc death,2022-09-17,30,ECDC
Austria,AT,hospitaladmissions,2022-09-17,598,ECDC
Austria,AT,ICUadmissions,2022-09-17,197,ECDC
Austria,AT,inc death,2022-09-10,47,ECDC
Austria,AT,hospitaladmissions,2022-09-10,450,ECDC
Austria,AT,ICUadmissions,2022-09-10,102,ECDC
Austria,AT,inc death,2022-09-03,38,ECDC
Austria,AT,hospitaladmissions,2022-09-03,369,ECDC
Austria,AT,ICUadmissions,2022-09-03,111,ECDC
Austria,AT,inc death,2022-08-27,53,ECDC
Austria,AT,hospitaladmissions,2022-08-27,276,ECDC
Austria,AT,ICUadmissions,2022-08-27,64,ECDC
Austria,AT,inc death,2022-08-20,62,ECDC
Austria,AT,hospitaladmissions,2022-08-20,325,ECDC
Austria,AT,ICUadmissions,2022-08-20,89,ECDC
Austria,AT,inc death,2022-08-13,71,ECDC
Austria,AT,hospitaladmissions,2022-08-13,255,ECDC
Austria,AT,ICUadmissions,2022-08-13,50,ECDC
Austria,AT,inc death,2022-08-06,68,ECDC
Austria,AT,hospitaladmissions,2022-08-06,310,ECDC
Austria,AT,ICUadmissions,2022-08-06,49,ECDC
Austria,AT,inc death,2022-07-30,103,ECDC
Austria,AT,hospitaladmissions,2022-07-30,511,ECDC
Austria,AT,ICUadmissions,2022-07-30,103,ECDC
Austria,AT,inc death,2022-07-23,96,ECDC
