location_name,location,date,value,source,snapshot_date,status
Austria,AT,2020-02-29,4,ECDC,2024-09-06,final
Austria,AT,2020-03-07,14,ECDC,2024-09-06,final
Austria,AT,2020-03-14,46,ECDC,2024-09-06,final
Austria,AT,2020-03-21,269,ECDC,2024-09-06,final
Austria,AT,2020-03-28,514,ECDC,2024-09-06,final
Austria,AT,2020-04-04,332,ECDC,2024-09-06,final
Austria,AT,2020-04-11,219,ECDC,2024-09-06,final
Austria,AT,2020-04-18,110,ECDC,2024-09-06,final
Austria,AT,2020-04-25,67,ECDC,2024-09-06,final
Austria,AT,2020-05-02,41,ECDC,2024-09-06,final
Austria,AT,2020-05-09,25,ECDC,2024-09-06,final
Austria,AT,2020-05-16,15,ECDC,2024-09-06,final
Austria,AT,2020-05-23,17,ECDC,2024-09-06,final
Austria,AT,2020-05-30,11,ECDC,2024-09-06,final
Austria,AT,2020-06-06,14,ECDC,2024-09-06,final
Austria,AT,2020-06-13,15,ECDC,2024-09-06,final
Austria,AT,2020-06-20,18,ECDC,2024-09-06,final
Austria,AT,2020-06-27,20,ECDC,2024-09-06,final
Austria,AT,2020-07-04,37,ECDC,2024-09-06,final
Austria,AT,2020-07-11,42,ECDC,2024-09-06,final
Austria,AT,2020-07-18,48,ECDC,2024-09-06,final
Austria,AT,2020-07-25,35,ECDC,2024-09-06,final
Austria,AT,2020-08-01,30,ECDC,2024-09-06,final
Austria,AT,2020-08-08,41,ECDC,2024-09-06,final
Austria,AT,2020-08-15,49,ECDC,2024-09-06,final
Austria,AT,2020-08-22,50,ECDC,2024-09-06,final
Austria,AT,2020-08-29,42,ECDC,2024-09-06,final
Austria,AT,2020-09-05,47,ECDC,2024-09-06,final
Austria,AT,2020-09-12,95,ECDC,2024-09-06,final
Austria,AT,2020-09-19,111,ECDC,2024-09-06,final
Austria,AT,2020-09-26,133,ECDC,2024-09-06,final
Austria,AT,2020-10-03,149,ECDC,2024-09-06,final
Austria,AT,2020-10-10,211,ECDC,2024-09-06,final
Austria,AT,2020-10-17,310,ECDC,2024-09-06,final
Austria,AT,2020-10-24,537,ECDC,2024-09-06,final
Austria,AT,2020-10-31,761,ECDC,2024-09-06,final
Austria,AT,2020-11-07,1207,ECDC,2024-09-06,final
Austria,AT,2020-11-14,1452,ECDC,2024-09-06,final
Austria,AT,2020-11-21,1432,ECDC,2024-09-06,final
Austria,AT,2020-11-28,1254,ECDC,2024-09-06,final
Austria,AT,2020-12-05,1170,ECDC,2024-09-06,final
Austria,AT,2020-12-12,1051,ECDC,2024-09-06,final
Austria,AT,2020-12-19,776,ECDC,2024-09-06,final
Austria,AT,2020-12-26,670,ECDC,2024-09-06,final
Austria,AT,2021-01-02,693,ECDC,2024-09-06,final
Austria,AT,2021-01-09,702,ECDC,2024-09-06,final
Austria,AT,2021-01-16,606,ECDC,2024-09-06,final
Austria,AT,2021-01-23,559,ECDC,2024-09-06,final
Austria,AT,2021-01-30,538,ECDC,2024-09-06,final
Austria,AT,2021-02-06,442,ECDC,2024-09-06,final
Austria,AT,2021-02-13,396,ECDC,2024-09-06,final
Austria,AT,2021-02-20,409,ECDC,2024-09-06,final
Austria,AT,2021-02-27,440,ECDC,2024-09-06,final
Austria,AT,2021-03-06,531,ECDC,2024-09-06,final
Austria,AT,2021-03-13,615,ECDC,2024-09-06,final
Austria,AT,2021-03-20,698,ECDC,2024-09-06,final
Austria,AT,2021-03-27,681,ECDC,2024-09-06,final
Austria,AT,2021-04-03,671,ECDC,2024-09-06,final
Austria,AT,2021-04-10,611,ECDC,2024-09-06,final
Austria,AT,2021-04-17,578,ECDC,2024-09-06,final
Austria,AT,2021-04-24,441,ECDC,2024-09-06,final
Austria,AT,2021-05-01,346,ECDC,2024-09-06,final
Austria,AT,2021-05-08,260,ECDC,2024-09-06,final
Austria,AT,2021-05-15,184,ECDC,2024-09-06,final
Austria,AT,2021-05-22,115,ECDC,2024-09-06,final
Austria,AT,2021-05-29,78,ECDC,2024-09-06,final
Austria,AT,2021-06-05,71,ECDC,2024-09-06,final
Austria,AT,2021-06-12,57,ECDC,2024-09-06,final
Austria,AT,2021-06-19,36,ECDC,2024-09-06,final
Austria,AT,2021-06-26,34,ECDC,2024-09-06,final
Austria,AT,2021-07-03,25,ECDC,2024-09-06,final
Austria,AT,2021-07-10,23,ECDC,2024-09-06,final
Austria,AT,2021-07-17,37,ECDC,2024-09-06,final
Austria,AT,2021-07-24,41,ECDC,2024-09-06,final
Austria,AT,2021-07-31,43,ECDC,2024-09-06,final
Austria,AT,2021-08-07,74,ECDC,2024-09-06,final
Austria,AT,2021-08-14,125,ECDC,2024-09-06,final
Austria,AT,2021-08-21,165,ECDC,2024-09-06,final
Austria,AT,2021-08-28,219,ECDC,2024-09-06,final
Austria,AT,2021-09-04,242,ECDC,2024-09-06,final
Austria,AT,2021-09-11,285,ECDC,2024-09-06,final
Austria,AT,2021-09-18,260,ECDC,2024-09-06,final
Austria,AT,2021-09-25,257,ECDC,2024-09-06,final
Austria,AT,2021-10-02,273,ECDC,2024-09-06,final
Austria,AT,2021-10-09,278,ECDC,2024-09-06,final
Austria,AT,2021-10-16,281,ECDC,2024-09-06,final
Austria,AT,2021-10-23,443,ECDC,2024-09-06,final
Austria,AT,2021-10-30,563,ECDC,2024-09-06,final
Austria,AT,2021-11-06,740,ECDC,2024-09-06,final
Austria,AT,2021-11-13,922,ECDC,2024-09-06,final
Austria,AT,2021-11-20,1088,ECDC,2024-09-06,final
Austria,AT,2021-11-27,1020,ECDC,2024-09-06,final
Austria,AT,2021-12-04,752,ECDC,2024-09-06,final
Austria,AT,2021-12-11,441,ECDC,2024-09-06,final
Austria,AT,2021-12-18,327,ECDC,2024-09-06,final
Austria,AT,2021-12-25,209,ECDC,2024-09-06,final
Austria,AT,2022-01-01,225,ECDC,2024-09-06,final
Austria,AT,2022-01-08,276,ECDC,2024-09-06,final
Austria,AT,2022-01-15,391,ECDC,2024-09-06,final
Austria,AT,2022-01-22,486,ECDC,2024-09-06,final
Austria,AT,2022-01-29,621,ECDC,2024-09-06,final
Austria,AT,2022-02-05,711,ECDC,2024-09-06,final
Austria,AT,2022-02-12,707,ECDC,2024-09-06,final
Austria,AT,2022-02-19,763,ECDC,2024-09-06,final
Austria,AT,2022-02-26,752,ECDC,2024-09-06,final
Austria,AT,2022-03-05,786,ECDC,2024-09-06,final
Austria,AT,2022-03-12,875,ECDC,2024-09-06,final
Austria,AT,2022-03-19,870,ECDC,2024-09-06,final
Austria,AT,2022-03-26,953,ECDC,2024-09-06,final
Austria,AT,2022-04-02,743,ECDC,2024-09-06,final
Austria,AT,2022-04-09,569,ECDC,2024-09-06,final
Austria,AT,2022-04-16,457,ECDC,2024-09-06,final
Austria,AT,2022-04-23,331,ECDC,2024-09-06,final
Austria,AT,2022-04-30,332,ECDC,2024-09-06,final
Austria,AT,2022-05-07,287,ECDC,2024-09-06,final
Austria,AT,2022-05-14,230,ECDC,2024-09-06,final
Austria,AT,2022-05-21,173,ECDC,2024-09-06,final
Austria,AT,2022-05-28,170,ECDC,2024-09-06,final
Austria,AT,2022-06-04,205,ECDC,2024-09-06,final
Austria,AT,2022-06-11,191,ECDC,2024-09-06,final
Austria,AT,2022-06-18,269,ECDC,2024-09-06,final
Austria,AT,2022-06-25,377,ECDC,2024-09-06,final
Austria,AT,2022-07-02,409,ECDC,2024-09-06,final
Austria,AT,2022-07-09,449,ECDC,2024-09-06,final
Austria,AT,2022-07-16,609,ECDC,2024-09-06,final
Austria,AT,2022-07-23,559,ECDC,2024-09-06,final
Austria,AT,2022-07-30,469,ECDC,2024-09-06,final
Austria,AT,2022-08-06,298,ECDC,2024-09-06,final
Austria,AT,2022-08-13,249,ECDC,2024-09-06,final
Austria,AT,2022-08-20,310,ECDC,2024-09-06,final
Austria,AT,2022-08-27,261,ECDC,2024-09-06,final
Austria,AT,2022-09-03,242,ECDC,2024-09-06,final
Austria,AT,2022-09-10,222,ECDC,2024-09-06,final
Austria,AT,2022-09-17,296,ECDC,2024-09-06,final
Austria,AT,2022-09-24,385,ECDC,2024-09-06,final
Austria,AT,2022-10-01,423,ECDC,2024-09-06,final
Austria,AT,2022-10-08,25,ECDC,2024-09-06,final
Austria,AT,2022-10-15,238,ECDC,2024-09-06,final
Austria,AT,2022-10-22,184,ECDC,2024-09-06,final
Austria,AT,2022-10-29,166,ECDC,2024-09-06,final
Austria,AT,2022-11-05,140,ECDC,2024-09-06,final
Austria,AT,2022-11-12,149,ECDC,2024-09-06,final
Austria,AT,2022-11-19,141,ECDC,2024-09-06,final
