week_start,location,location_name,value
2019-12-30,AUT,Austria,0
2020-01-06,AUT,Austria,0
2020-01-13,AUT,Austria,0
2020-01-20,AUT,Austria,0
2020-01-27,AUT,Austria,0
2020-02-03,AUT,Austria,0
2020-02-10,AUT,Austria,0
2020-02-17,AUT,Austria,0
2020-02-24,AUT,Austria,14
2020-03-02,AUT,Austria,88
2020-03-09,AUT,Austria,758
2020-03-16,AUT,Austria,2771
2020-03-23,AUT,Austria,5182
2020-03-30,AUT,Austria,3170
2020-04-06,AUT,Austria,1954
2020-04-13,AUT,Austria,773
2020-04-20,AUT,Austria,479
2020-04-27,AUT,Austria,349
2020-05-04,AUT,Austria,249
2020-05-11,AUT,Austria,367
2020-05-18,AUT,Austria,285
2020-05-25,AUT,Austria,203
2020-06-01,AUT,Austria,226
2020-06-08,AUT,Austria,170
2020-06-15,AUT,Austria,247
2020-06-22,AUT,Austria,340
2020-06-29,AUT,Austria,644
2020-07-06,AUT,Austria,578
2020-07-13,AUT,Austria,724
2020-07-20,AUT,Austria,915
2020-07-27,AUT,Austria,823
2020-08-03,AUT,Austria,702
2020-08-10,AUT,Austria,1362
2020-08-17,AUT,Austria,1866
2020-08-24,AUT,Austria,1979
2020-08-31,AUT,Austria,1976
2020-09-07,AUT,Austria,4141
2020-09-14,AUT,Austria,5222
2020-09-21,AUT,Austria,4909
2020-09-28,AUT,Austria,5152
2020-10-05,AUT,Austria,7365
2020-10-12,AUT,Austria,9574
2020-10-19,AUT,Austria,16979
2020-10-26,AUT,Austria,28574
2020-11-02,AUT,Austria,41398
2020-11-09,AUT,Austria,50986
2020-11-16,AUT,Austria,42630
2020-11-23,AUT,Austria,32058
2020-11-30,AUT,Austria,22794
2020-12-07,AUT,Austria,19060
2020-12-14,AUT,Austria,16186
2020-12-21,AUT,Austria,15164
2020-12-28,AUT,Austria,13188
2021-01-04,AUT,Austria,15133
2021-01-11,AUT,Austria,11406
2021-01-18,AUT,Austria,10421
2021-01-25,AUT,Austria,9451
2021-02-01,AUT,Austria,10467
2021-02-08,AUT,Austria,8442
2021-02-15,AUT,Austria,11848
2021-02-22,AUT,Austria,14370
2021-03-01,AUT,Austria,15708
2019-12-30,BEL,Belgium,0
2020-01-06,BEL,Belgium,0
2020-01-13,BEL,Belgium,0
2020-01-20,BEL,Belgium,0
2020-01-27,BEL,Belgium,0
2020-02-03,BEL,Belgium,0
2020-02-10,BEL,Belgium,0
2020-02-17,BEL,Belgium,343
2020-02-24,BEL,Belgium,-324
2020-03-02,BEL,Belgium,388
2020-03-09,BEL,Belgium,1348
2020-03-16,BEL,Belgium,3673
2020-03-23,BEL,Belgium,8130
2020-03-30,BEL,Belgium,9694
2020-04-06,BEL,Belgium,11175
2020-04-13,BEL,Belgium,7963
2020-04-20,BEL,Belgium,5703
2020-04-27,BEL,Belgium,3095
2020-05-04,BEL,Belgium,3051
2020-05-11,BEL,Belgium,2071
2020-05-18,BEL,Belgium,1510
2020-05-25,BEL,Belgium,1144
2020-06-01,BEL,Belgium,847
2020-06-08,BEL,Belgium,671
2020-06-15,BEL,Belgium,668
2020-06-22,BEL,Belgium,607
2020-06-29,BEL,Belgium,637
2020-07-06,BEL,Belgium,704
2020-07-13,BEL,Belgium,1385
2020-07-20,BEL,Belgium,2489
2020-07-27,BEL,Belgium,3759
2020-08-03,BEL,Belgium,4340
2020-08-10,BEL,Belgium,3751
2020-08-17,BEL,Belgium,3453
2020-08-24,BEL,Belgium,3121
2020-08-31,BEL,Belgium,3655
2020-09-07,BEL,Belgium,6158
2020-09-14,BEL,Belgium,10108
2020-09-21,BEL,Belgium,11274
2020-09-28,BEL,Belgium,18884
2020-10-05,BEL,Belgium,38831
2020-10-12,BEL,Belgium,72200
2020-10-19,BEL,Belgium,105333
2020-10-26,BEL,Belgium,99548
2020-11-02,BEL,Belgium,53994
2020-11-09,BEL,Belgium,33962
2020-11-16,BEL,Belgium,22306
2020-11-23,BEL,Belgium,16255
2020-11-30,BEL,Belgium,15276
2020-12-07,BEL,Belgium,16796
2020-12-14,BEL,Belgium,17684
2020-12-21,BEL,Belgium,12586
2020-12-28,BEL,Belgium,11395
2021-01-04,BEL,Belgium,14749
2021-01-11,BEL,Belgium,14074
2021-01-18,BEL,Belgium,15324
2021-01-25,BEL,Belgium,16879
2021-02-01,BEL,Belgium,15253
2021-02-08,BEL,Belgium,12817
2021-02-15,BEL,Belgium,15543
2021-02-22,BEL,Belgium,16742
2021-03-01,BEL,Belgium,16469
2020-03-02,BGR,Bulgaria,4
2020-03-09,BGR,Bulgaria,47
2020-03-16,BGR,Bulgaria,134
2020-03-23,BGR,Bulgaria,161
2020-03-30,BGR,Bulgaria,185
2020-04-06,BGR,Bulgaria,144
2020-04-13,BGR,Bulgaria,240
2020-04-20,BGR,Bulgaria,385
2020-04-27,BGR,Bulgaria,318
2020-05-04,BGR,Bulgaria,347
2020-05-11,BGR,Bulgaria,270
2020-05-18,BGR,Bulgaria,198
2020-05-25,BGR,Bulgaria,80
2020-06-01,BGR,Bulgaria,214
2020-06-08,BGR,Bulgaria,563
2020-06-15,BGR,Bulgaria,615
2020-06-22,BGR,Bulgaria,786
2020-06-29,BGR,Bulgaria,1049
2020-07-06,BGR,Bulgaria,1512
2020-07-13,BGR,Bulgaria,1481
2020-07-20,BGR,Bulgaria,1694
2020-07-27,BGR,Bulgaria,1528
2020-08-03,BGR,Bulgaria,1441
2020-08-10,BGR,Bulgaria,969
2020-08-17,BGR,Bulgaria,922
2020-08-24,BGR,Bulgaria,903
2020-08-31,BGR,Bulgaria,860
2020-09-07,BGR,Bulgaria,868
2020-09-14,BGR,Bulgaria,945
2020-09-21,BGR,Bulgaria,1192
2020-09-28,BGR,Bulgaria,1532
2020-10-05,BGR,Bulgaria,2815
2020-10-12,BGR,Bulgaria,5101
2020-10-19,BGR,Bulgaria,8386
2020-10-26,BGR,Bulgaria,16180
2020-11-02,BGR,Bulgaria,21091
2020-11-09,BGR,Bulgaria,23091
2020-11-16,BGR,Bulgaria,23569
2020-11-23,BGR,Bulgaria,20666
2020-11-30,BGR,Bulgaria,18935
2020-12-07,BGR,Bulgaria,18028
2020-12-14,BGR,Bulgaria,11746
2020-12-21,BGR,Bulgaria,6521
2020-12-28,BGR,Bulgaria,5335
2021-01-04,BGR,Bulgaria,5460
2021-01-11,BGR,Bulgaria,3302
2021-01-18,BGR,Bulgaria,3004
2021-01-25,BGR,Bulgaria,3931
2021-02-01,BGR,Bulgaria,4986
2021-02-08,BGR,Bulgaria,5945
2021-02-15,BGR,Bulgaria,6987
2021-02-22,BGR,Bulgaria,10372
2021-03-01,BGR,Bulgaria,13270
2019-12-30,HRV,Croatia,0
2020-01-06,HRV,Croatia,0
2020-01-13,HRV,Croatia,0
2020-01-20,HRV,Croatia,0
2020-01-27,HRV,Croatia,0
2020-02-03,HRV,Croatia,0
2020-02-10,HRV,Croatia,0
2020-02-17,HRV,Croatia,0
2020-02-24,HRV,Croatia,7
2020-03-02,HRV,Croatia,5
2020-03-09,HRV,Croatia,36
2020-03-16,HRV,Croatia,187
2020-03-23,HRV,Croatia,478
2020-03-30,HRV,Croatia,469
2020-04-06,HRV,Croatia,418
2020-04-13,HRV,Croatia,271
2020-04-20,HRV,Croatia,159
2020-04-27,HRV,Croatia,66
2020-05-04,HRV,Croatia,91
2020-05-11,HRV,Croatia,39
2020-05-18,HRV,Croatia,18
2020-05-25,HRV,Croatia,2
2020-06-01,HRV,Croatia,1
2020-06-08,HRV,Croatia,5
2020-06-15,HRV,Croatia,65
2020-06-22,HRV,Croatia,374
2020-06-29,HRV,Croatia,460
2020-07-06,HRV,Croatia,571
2020-07-13,HRV,Croatia,632
2020-07-20,HRV,Croatia,503
2020-07-27,HRV,Croatia,403
2020-08-03,HRV,Croatia,344
2020-08-10,HRV,Croatia,967
2020-08-17,HRV,Croatia,1604
2020-08-24,HRV,Croatia,1948
2020-08-31,HRV,Croatia,1841
2020-09-07,HRV,Croatia,1569
2020-09-14,HRV,Croatia,1389
2020-09-21,HRV,Croatia,1275
2020-09-28,HRV,Croatia,1462
2020-10-05,HRV,Croatia,2781
2020-10-12,HRV,Croatia,5140
2020-10-19,HRV,Croatia,10800
2020-10-26,HRV,Croatia,15115
2020-11-02,HRV,Croatia,15752
2020-11-09,HRV,Croatia,16959
2020-11-16,HRV,Croatia,19512
2020-11-23,HRV,Croatia,22894
2020-11-30,HRV,Croatia,23741
2020-12-07,HRV,Croatia,25533
2020-12-14,HRV,Croatia,19842
2020-12-21,HRV,Croatia,9518
2020-12-28,HRV,Croatia,7712
2021-01-04,HRV,Croatia,7265
2021-01-11,HRV,Croatia,4905
2021-01-18,HRV,Croatia,3926
2021-01-25,HRV,Croatia,3466
2021-02-01,HRV,Croatia,2953
2021-02-08,HRV,Croatia,2252
2021-02-15,HRV,Croatia,2292
2021-02-22,HRV,Croatia,3047
2021-03-01,HRV,Croatia,3544
2020-03-09,CYP,Cyprus,30
2020-03-16,CYP,Cyprus,65
2020-03-23,CYP,Cyprus,119
2020-03-30,CYP,Cyprus,232
2020-04-06,CYP,Cyprus,187
2020-04-13,CYP,Cyprus,134
2020-04-20,CYP,Cyprus,50
2020-04-27,CYP,Cyprus,55
2020-05-04,CYP,Cyprus,26
2020-05-11,CYP,Cyprus,18
2020-05-18,CYP,Cyprus,19
2020-05-25,CYP,Cyprus,9
2020-06-01,CYP,Cyprus,20
2020-06-08,CYP,Cyprus,19
2020-06-15,CYP,Cyprus,3
2020-06-22,CYP,Cyprus,8
2020-06-29,CYP,Cyprus,9
2020-07-06,CYP,Cyprus,18
2020-07-13,CYP,Cyprus,17
2020-07-20,CYP,Cyprus,19
2020-07-27,CYP,Cyprus,93
2020-08-03,CYP,Cyprus,92
2020-08-10,CYP,Cyprus,90
2020-08-17,CYP,Cyprus,89
2020-08-24,CYP,Cyprus,66
2020-08-31,CYP,Cyprus,22
2020-09-07,CYP,Cyprus,17
2020-09-14,CYP,Cyprus,74
2020-09-21,CYP,Cyprus,96
2020-09-28,CYP,Cyprus,128
2020-10-05,CYP,Cyprus,162
2020-10-12,CYP,Cyprus,658
2020-10-19,CYP,Cyprus,901
2020-10-26,CYP,Cyprus,1018
2020-11-02,CYP,Cyprus,1424
2020-11-09,CYP,Cyprus,1191
2020-11-16,CYP,Cyprus,1465
2020-11-23,CYP,Cyprus,1740
2020-11-30,CYP,Cyprus,2068
2020-12-07,CYP,Cyprus,2650
2020-12-14,CYP,Cyprus,2587
2020-12-21,CYP,Cyprus,1969
2020-12-28,CYP,Cyprus,4317
2021-01-04,CYP,Cyprus,3376
2021-01-11,CYP,Cyprus,1618
2021-01-18,CYP,Cyprus,1049
2021-01-25,CYP,Cyprus,859
2021-02-01,CYP,Cyprus,883
2021-02-08,CYP,Cyprus,754
2021-02-15,CYP,Cyprus,747
2021-02-22,CYP,Cyprus,1447
