location_name,location,date,value,source,type
Cyprus,CY,2020-03-07,1,TESSy,ECDC
Cyprus,CY,2020-03-14,11,TESSy,ECDC
Cyprus,CY,2020-03-21,31,TESSy,ECDC
Cyprus,CY,2020-03-28,70,TESSy,ECDC
Cyprus,CY,2020-04-04,49,TESSy,ECDC
Cyprus,CY,2020-04-11,27,TESSy,ECDC
Cyprus,CY,2020-04-18,15,TESSy,ECDC
Cyprus,CY,2020-04-25,8,TESSy,ECDC
Cyprus,CY,2020-05-02,8,TESSy,ECDC
Cyprus,CY,2020-05-09,8,TESSy,ECDC
Cyprus,CY,2020-05-16,1,TESSy,ECDC
Cyprus,CY,2020-05-23,1,TESSy,ECDC
Cyprus,CY,2020-05-30,1,TESSy,ECDC
Cyprus,CY,2020-06-06,1,TESSy,ECDC
Cyprus,CY,2020-06-13,1,TESSy,ECDC
Cyprus,CY,2020-06-20,1,TESSy,ECDC
Cyprus,CY,2020-06-27,3,TESSy,ECDC
Cyprus,CY,2020-07-18,1,TESSy,ECDC
Cyprus,CY,2020-07-25,1,TESSy,ECDC
Cyprus,CY,2020-08-01,11,TESSy,ECDC
Cyprus,CY,2020-08-08,5,TESSy,ECDC
Cyprus,CY,2020-08-15,3,TESSy,ECDC
Cyprus,CY,2020-08-22,5,TESSy,ECDC
Cyprus,CY,2020-08-29,7,TESSy,ECDC
Cyprus,CY,2020-09-05,1,TESSy,ECDC
Cyprus,CY,2020-09-12,3,TESSy,ECDC
Cyprus,CY,2020-09-19,8,TESSy,ECDC
Cyprus,CY,2020-09-26,20,TESSy,ECDC
Cyprus,CY,2020-10-03,5,TESSy,ECDC
Cyprus,CY,2020-10-10,9,TESSy,ECDC
Cyprus,CY,2020-10-17,39,TESSy,ECDC
Cyprus,CY,2020-10-24,44,TESSy,ECDC
Cyprus,CY,2020-10-31,53,TESSy,ECDC
Cyprus,CY,2020-11-07,85,TESSy,ECDC
Cyprus,CY,2020-11-14,80,TESSy,ECDC
Cyprus,CY,2020-11-21,96,TESSy,ECDC
Cyprus,CY,2020-11-28,110,TESSy,ECDC
Cyprus,CY,2020-12-05,101,TESSy,ECDC
Cyprus,CY,2020-12-12,105,TESSy,ECDC
Cyprus,CY,2020-12-19,139,TESSy,ECDC
Cyprus,CY,2020-12-26,135,TESSy,ECDC
Cyprus,CY,2021-01-02,165,TESSy,ECDC
Cyprus,CY,2021-01-09,182,TESSy,ECDC
Cyprus,CY,2021-01-16,155,TESSy,ECDC
Cyprus,CY,2021-01-23,126,TESSy,ECDC
Cyprus,CY,2021-01-30,93,TESSy,ECDC
Cyprus,CY,2021-02-06,93,TESSy,ECDC
Cyprus,CY,2021-02-13,72,TESSy,ECDC
Cyprus,CY,2021-02-20,88,TESSy,ECDC
Cyprus,CY,2021-02-27,80,TESSy,ECDC
Cyprus,CY,2021-03-06,142,TESSy,ECDC
Cyprus,CY,2021-03-13,236,TESSy,ECDC
Cyprus,CY,2021-03-20,222,TESSy,ECDC
Cyprus,CY,2021-03-27,194,TESSy,ECDC
Cyprus,CY,2021-04-03,201,TESSy,ECDC
Cyprus,CY,2021-04-10,234,TESSy,ECDC
Cyprus,CY,2021-04-17,271,TESSy,ECDC
Cyprus,CY,2021-04-24,331,TESSy,ECDC
Cyprus,CY,2021-05-01,302,TESSy,ECDC
Cyprus,CY,2021-05-08,247,TESSy,ECDC
Cyprus,CY,2021-05-15,147,TESSy,ECDC
Cyprus,CY,2021-05-22,89,TESSy,ECDC
Cyprus,CY,2021-05-29,46,TESSy,ECDC
Cyprus,CY,2021-06-05,29,TESSy,ECDC
Cyprus,CY,2021-06-12,28,TESSy,ECDC
Cyprus,CY,2021-06-19,46,TESSy,ECDC
Cyprus,CY,2021-06-26,44,TESSy,ECDC
Cyprus,CY,2021-07-03,102,TESSy,ECDC
Cyprus,CY,2021-07-10,174,TESSy,ECDC
Cyprus,CY,2021-07-17,267,TESSy,ECDC
Cyprus,CY,2021-07-24,311,TESSy,ECDC
Cyprus,CY,2021-07-31,307,TESSy,ECDC
Cyprus,CY,2021-08-07,270,TESSy,ECDC
Cyprus,CY,2021-08-14,197,TESSy,ECDC
Cyprus,CY,2021-08-21,166,TESSy,ECDC
Cyprus,CY,2021-08-28,122,TESSy,ECDC
Cyprus,CY,2021-09-04,122,TESSy,ECDC
Cyprus,CY,2021-09-11,97,TESSy,ECDC
Cyprus,CY,2021-09-18,73,TESSy,ECDC
Cyprus,CY,2021-09-25,53,TESSy,ECDC
Cyprus,CY,2021-10-02,43,TESSy,ECDC
Cyprus,CY,2021-10-09,40,TESSy,ECDC
Cyprus,CY,2021-10-16,49,TESSy,ECDC
Cyprus,CY,2021-10-23,48,TESSy,ECDC
Cyprus,CY,2021-10-30,60,TESSy,ECDC
Cyprus,CY,2021-11-06,52,TESSy,ECDC
Cyprus,CY,2021-11-13,78,TESSy,ECDC
Cyprus,CY,2021-11-20,90,TESSy,ECDC
Cyprus,CY,2021-11-27,98,TESSy,ECDC
Cyprus,CY,2021-12-04,110,TESSy,ECDC
Cyprus,CY,2021-12-11,142,TESSy,ECDC
Cyprus,CY,2021-12-18,163,TESSy,ECDC
Cyprus,CY,2021-12-25,141,TESSy,ECDC
Cyprus,CY,2022-01-01,181,TESSy,ECDC
Cyprus,CY,2022-01-08,275,TESSy,ECDC
Cyprus,CY,2022-01-15,272,TESSy,ECDC
Cyprus,CY,2022-01-22,223,TESSy,ECDC
Cyprus,CY,2022-01-29,198,TESSy,ECDC
Cyprus,CY,2022-02-05,218,TESSy,ECDC
Cyprus,CY,2022-02-12,191,TESSy,ECDC
Cyprus,CY,2022-02-19,195,TESSy,ECDC
Cyprus,CY,2022-02-26,153,TESSy,ECDC
Cyprus,CY,2022-03-05,149,TESSy,ECDC
Cyprus,CY,2022-03-12,133,TESSy,ECDC
Cyprus,CY,2022-03-19,217,TESSy,ECDC
Cyprus,CY,2022-03-26,238,TESSy,ECDC
Cyprus,CY,2022-04-02,242,TESSy,ECDC
Cyprus,CY,2022-04-09,210,TESSy,ECDC
Czechia,CZ,2020-01-04,0,TESSy,ECDC
Czechia,CZ,2020-01-11,0,TESSy,ECDC
Czechia,CZ,2020-01-18,0,TESSy,ECDC
Czechia,CZ,2020-01-25,0,TESSy,ECDC
