location,location_name,weeks_back,mean_relative_revision
BE,Belgium,1,0.0016371625836573975
BE,Belgium,2,0
BE,Belgium,3,0
BE,Belgium,4,0
BE,Belgium,5,0
BG,Bulgaria,1,0
BG,Bulgaria,2,0
BG,Bulgaria,3,0
BG,Bulgaria,4,0
BG,Bulgaria,5,0
CH,Switzerland,1,0.8169327737096533
CH,Switzerland,2,0.15355338485058545
CH,Switzerland,3,0.06262707123212109
CH,Switzerland,4,0.01840334745784013
CH,Switzerland,5,6.144485312539443e-5
CY,Cyprus,1,0
CY,Cyprus,2,0
CY,Cyprus,3,0
CY,Cyprus,4,0
CY,Cyprus,5,0
CZ,Czechia,1,0.11495290194070634
CZ,Czechia,2,0.03425949470281375
CZ,Czechia,3,0.019442317953040997
CZ,Czechia,4,0.00933736944713143
CZ,Czechia,5,4.459088813703986e-5
DE,Germany,1,0.27192347853137894
DE,Germany,2,0.06678380507696728
DE,Germany,3,0.027922845676226746
DE,Germany,4,0.01038822583567255
DE,Germany,5,1.9219320171825392e-4
DK,Denmark,1,0.011276143117236398
DK,Denmark,2,0.001740785963279378
DK,Denmark,3,0.0016145229004730012
DK,Denmark,4,0.0011439589464948081
DK,Denmark,5,0.0013287724824671263
EE,Estonia,1,0.11241677269032892
EE,Estonia,2,0.02554388985800602
EE,Estonia,3,0.0065717415115005475
EE,Estonia,4,0
EE,Estonia,5,0
ES,Spain,1,7.342048050724756e-5
ES,Spain,2,1.9725138670659905e-4
ES,Spain,3,1.4069842767200678e-4
ES,Spain,4,1.7829849908660166e-4
ES,Spain,5,1.3257104556186296e-4
FR,France,1,0
FR,France,2,0
FR,France,3,0
FR,France,4,0
FR,France,5,0
GB,United Kingdom,1,2.80503131496794e-4
GB,United Kingdom,2,3.9777215687345017e-4
GB,United Kingdom,3,1.8675712817835865e-4
GB,United Kingdom,4,1.2392886728478927e-4
GB,United Kingdom,5,8.825610054889895e-5
GR,Greece,1,0
GR,Greece,2,0
GR,Greece,3,0
GR,Greece,4,0
GR,Greece,5,0
HR,Croatia,1,0
HR,Croatia,2,0
HR,Croatia,3,0
HR,Croatia,4,0
HR,Croatia,5,0
IE,Ireland,1,0
IE,Ireland,2,0
IE,Ireland,3,0
IE,Ireland,4,0
IE,Ireland,5,0
IS,Iceland,1,0
IS,Iceland,2,0
IS,Iceland,3,0
IS,Iceland,4,0
IS,Iceland,5,0
IT,Italy,1,0.08396573778359313
IT,Italy,2,0.037518338016419746
IT,Italy,3,0.017179501297497266
IT,Italy,4,0.006970880277709335
IT,Italy,5,2.3293084338524273e-4
LI,Liechtenstein,1,NA
LI,Liechtenstein,2,NA
LI,Liechtenstein,3,NA
LI,Liechtenstein,4,NA
LI,Liechtenstein,5,NA
LU,Luxembourg,1,0.11988304093567251
LU,Luxembourg,2,0.04298864081472777
LU,Luxembourg,3,0.04277596562079321
LU,Luxembourg,4,0.017434988179669028
LU,Luxembourg,5,0.05357142857142857
LV,Latvia,1,0
LV,Latvia,2,0
LV,Latvia,3,0
LV,Latvia,4,0
LV,Latvia,5,0
MT,Malta,1,0.009259259259259259
MT,Malta,2,0
MT,Malta,3,0
MT,Malta,4,0
MT,Malta,5,0
NL,Netherlands,1,7.344424384783129e-5
NL,Netherlands,2,0
NL,Netherlands,3,0
NL,Netherlands,4,0
NL,Netherlands,5,0
NO,Norway,1,0.09627063209008191
NO,Norway,2,0.008477652082433763
NO,Norway,3,0.002378917378917379
NO,Norway,4,8.250825082508251e-4
NO,Norway,5,0
SI,Slovenia,1,0
SI,Slovenia,2,0
SI,Slovenia,3,0
SI,Slovenia,4,0
SI,Slovenia,5,0
SK,Slovakia,1,0.25689715805113233
SK,Slovakia,2,0.06316478075606921
SK,Slovakia,3,0.024947785249360466
SK,Slovakia,4,0.007412755297779157
SK,Slovakia,5,0.010977306786555341
