location_name,location,source,target_end_date,value,snapshot_date,status
Belgium,BE,OWID,2020-03-28,16253,2022-07-18,final
Belgium,BE,OWID,2020-04-04,26599,2022-07-18,final
Belgium,BE,OWID,2020-04-11,22543,2022-07-18,final
Belgium,BE,OWID,2020-04-18,16793,2022-07-18,final
Belgium,BE,OWID,2020-04-25,12197,2022-07-18,final
Belgium,BE,OWID,2020-05-02,8553,2022-07-18,final
Belgium,BE,OWID,2020-05-09,5402,2022-07-18,final
Belgium,BE,OWID,2020-05-16,3848,2022-07-18,final
Belgium,BE,OWID,2020-05-23,2955,2022-07-18,final
Belgium,BE,OWID,2020-05-30,2214,2022-07-18,final
Belgium,BE,OWID,2020-06-06,1589,2022-07-18,final
Belgium,BE,OWID,2020-06-13,1227,2022-07-18,final
Belgium,BE,OWID,2020-06-20,967,2022-07-18,final
Belgium,BE,OWID,2020-06-27,827,2022-07-18,final
Belgium,BE,OWID,2020-07-04,677,2022-07-18,final
Belgium,BE,OWID,2020-07-11,539,2022-07-18,final
Belgium,BE,OWID,2020-07-18,536,2022-07-18,final
Belgium,BE,OWID,2020-07-25,882,2022-07-18,final
Belgium,BE,OWID,2020-08-01,1332,2022-07-18,final
Belgium,BE,OWID,2020-08-08,1484,2022-07-18,final
Belgium,BE,OWID,2020-08-15,1798,2022-07-18,final
Belgium,BE,OWID,2020-08-22,1695,2022-07-18,final
Belgium,BE,OWID,2020-08-29,1120,2022-07-18,final
Belgium,BE,OWID,2020-09-05,880,2022-07-18,final
Belgium,BE,OWID,2020-09-12,1175,2022-07-18,final
Belgium,BE,OWID,2020-09-19,1909,2022-07-18,final
Belgium,BE,OWID,2020-09-26,2979,2022-07-18,final
Belgium,BE,OWID,2020-10-03,3612,2022-07-18,final
Belgium,BE,OWID,2020-10-10,4920,2022-07-18,final
Belgium,BE,OWID,2020-10-17,9011,2022-07-18,final
Belgium,BE,OWID,2020-10-24,16876,2022-07-18,final
Belgium,BE,OWID,2020-10-31,29077,2022-07-18,final
Belgium,BE,OWID,2020-11-07,33342,2022-07-18,final
Belgium,BE,OWID,2020-11-14,26537,2022-07-18,final
Belgium,BE,OWID,2020-11-21,19599,2022-07-18,final
Belgium,BE,OWID,2020-11-28,13652,2022-07-18,final
Belgium,BE,OWID,2020-12-05,10253,2022-07-18,final
Belgium,BE,OWID,2020-12-12,9426,2022-07-18,final
Belgium,BE,OWID,2020-12-19,9202,2022-07-18,final
Belgium,BE,OWID,2020-12-26,8853,2022-07-18,final
Belgium,BE,OWID,2021-01-02,7843,2022-07-18,final
Belgium,BE,OWID,2021-01-09,6864,2022-07-18,final
Belgium,BE,OWID,2021-01-16,6210,2022-07-18,final
Belgium,BE,OWID,2021-01-23,6303,2022-07-18,final
