target_end_date,target_variable,location,location_name,anomaly
2021-01-01,inc hosp,DK,Denmark,No data reported
2021-01-08,inc hosp,DK,Denmark,No data reported
2021-01-15,inc hosp,DK,Denmark,No data reported
2021-03-06,inc case,ES,Spain,Negative case reporting
2021-03-08,inc hosp,AT,Austria,Replaced data source
2021-03-08,inc hosp,BE,Belgium,Replaced data source
2021-03-08,inc hosp,BG,Bulgaria,Replaced data source
2021-03-08,inc hosp,CH,Switzerland,Replaced data source
2021-03-08,inc hosp,CY,Cyprus,Replaced data source
2021-03-08,inc hosp,CZ,Czechia,Replaced data source
2021-03-08,inc hosp,DE,Germany,Replaced data source
2021-03-08,inc hosp,DK,Denmark,Replaced data source
2021-03-08,inc hosp,EE,Estonia,Replaced data source
2021-03-08,inc hosp,ES,Spain,Replaced data source
2021-03-08,inc hosp,FI,Finland,Replaced data source
2021-03-08,inc hosp,FR,France,Replaced data source
2021-03-08,inc hosp,GB,United Kingdom,Replaced data source
2021-03-08,inc hosp,GR,Greece,Replaced data source
2021-03-08,inc hosp,HR,Croatia,Replaced data source
2021-03-08,inc hosp,HU,Hungary,Replaced data source
2021-03-08,inc hosp,IE,Ireland,Replaced data source
2021-03-08,inc hosp,IS,Iceland,Replaced data source
2021-03-08,inc hosp,IT,Italy,Replaced data source
2021-03-08,inc hosp,LI,Liechtenstein,Replaced data source
2021-03-08,inc hosp,LT,Lithuania,Replaced data source
2021-03-08,inc hosp,LU,Luxembourg,Replaced data source
2021-03-08,inc hosp,LV,Latvia,Replaced data source
2021-03-08,inc hosp,MT,Malta,Replaced data source
2021-03-08,inc hosp,NL,Netherlands,Replaced data source
2021-03-08,inc hosp,NO,Norway,Replaced data source
2021-03-08,inc hosp,PL,Poland,Replaced data source
2021-03-08,inc hosp,PT,Portugal,Replaced data source
2021-03-08,inc hosp,RO,Romania,Replaced data source
2021-03-08,inc hosp,SE,Sweden,Replaced data source
2021-03-08,inc hosp,SI,Slovenia,Replaced data source
2021-03-08,inc hosp,SK,Slovakia,Replaced data source
2021-03-09,inc hosp,BE,Belgium,Replaced data source
2021-03-09,inc hosp,CH,Switzerland,Replaced data source
2021-03-09,inc hosp,CZ,Czechia,Replaced data source
2021-03-09,inc hosp,DE,Germany,Replaced data source
2021-03-09,inc hosp,DK,Denmark,Replaced data source
2021-03-09,inc hosp,ES,Spain,Replaced data source
2021-03-09,inc hosp,FR,France,Replaced data source
2021-03-09,inc hosp,IT,Italy,Replaced data source
2021-03-09,inc hosp,NL,Netherlands,Replaced data source
2021-03-10,inc hosp,BE,Belgium,Replaced data source
2021-03-10,inc hosp,CH,Switzerland,Replaced data source
2021-03-10,inc hosp,CZ,Czechia,Replaced data source
2021-03-10,inc hosp,DE,Germany,Replaced data source
2021-03-10,inc hosp,DK,Denmark,Replaced data source
2021-03-10,inc hosp,ES,Spain,Replaced data source
2021-03-10,inc hosp,FR,France,Replaced data source
2021-03-10,inc hosp,IT,Italy,Replaced data source
2021-03-10,inc hosp,NL,Netherlands,Replaced data source
2021-03-11,inc hosp,BE,Belgium,Replaced data source
2021-03-11,inc hosp,CH,Switzerland,Replaced data source
2021-03-11,inc hosp,CZ,Czechia,Replaced data source
