team_name,model_abbr,institution_affil,country,institution_affil_clean
BIOCOMSC,BIOCOMSC-Gompertz,Universitat PolitÃ¨cnica de Catalunya and Institut de Recerca Germans Trias i Pujol.,Spain,Institut Germans Trias i Pujol
Centre for Modelling of Biological and Social Processes,bisop-seirfilter,NA,Czechia,Masarykova Univerzita
Centre for Modelling of Biological and Social Processes,bisop-seirfilterlite,NA,Czechia,Masarykova Univerzita
Univertity of Cologne Covid Metrics,CovidMetrics-epiBATS,University of Cologne,Germany,University of Cologne
"Priesemann Group, MPI-DS",DSMPG-bayes,Max Planck Institute for Dynamics and Self-Organization,Germany,Max Planck Institute for Dynamics and Self-Organization
Epiforecasts / London School of Hygiene and Tropical Medicine,epiforecasts-EpiExpert,NA,UK,London School of Hygiene and Tropical Medicine
Epiforecasts / London School of Hygiene and Tropical Medicine,epiforecasts-EpiNow2,London School of Hygiene and Tropical Medicine,UK,London School of Hygiene and Tropical Medicine
epiMOX,epiMOX-SUIHTER,NA,Italy,Politecnico di Milano
Frankfurt Institute for Advanced Studies & Forschungszentrum JÃ¼lich,FIAS_FZJ-Epi1Ger,NA,Germany,Frankfurt Institute for Advanced Studies
Helmholtz Zentrum fuer Infektionsforschung,HZI-AgeExtendedSEIR,"Helmholtz Zentrum fuer Infektionsforschung,  Leibniz Universitaet Hannover, Technische Universitaet Kaiserslautern",Germany,Universitaet Kaiserslautern
ICM / University of Warsaw,ICM-agentModel,NA,Poland,University of Warsaw
IEM Health,IEM_Health-CovidProject,NA,USA,IEM Health
ILM,ILM-EKF,NA,Germany,Technische Universitat Ilmenau
Imperial College London,Imperial-DeCa,NA,UK,Imperial College London
Imperial College London,Imperial-RtI0,NA,UK,Imperial College London
Imperial College London,Imperial-sbkp,NA,UK,Imperial College London
Fraunhofer Institute for Industrial Mathematics ITWM,itwm-dSEIR,NA,Germany,Fraunhofer Institute for Industrial Mathematics ITWM
ITWW,ITWW-county_repro,NA,Poland,Unclear
Karlen Working Group,Karlen-pypm,NA,Canada,University of Victoria
KITmetricslab,KITmetricslab-bivariate_branching,NA,Germany,Karlsruher Institut fur Technologie
Los Alamos National Labs,LANL-GrowthRate,NA,USA,Los Alamos National Labs
Universitaet Leipzig IMISE/GenStat,LeipzigIMISE-SECIR,NA,Germany,Universitaet Leipzig
"Faculty of Mathematics, Informatics, and Mechanics, University of Warsaw",MIMUW-StochSEIR,NA,Poland,University of Warsaw
CovidAnalytics at MIT,MIT_CovidAnalytics-DELPHI,NA,USA,MIT
MOCOS group,MOCOS-agent1,NA,Poland,MOCOS group
Masaryk University,MUNI-ARIMA,NA,Czechia,Masaryk University
Department of Mathematics and Statistics Masaryk University Team,MUNI_DMS-SEIAR,NA,Czechia,Masaryk University
Grzegorz Redlarski,PL_GRedlarski-DistrictsSum,NA,Poland,GDANSKI UNIWERSYTET MEDYCZNY
Robert Walraven,RobertWalraven-ESG,NA,USA,Multiware Inc
Swiss Data Science Center / University of Geneva,SDSC_ISG-TrendModel,NA,Switzerland,University of Geneva
UB,UB-BSLCoV,Universitat de Barcelona -- UB (www.ub.edu),Spain,Universitat de Barcelona
UMass-Amherst,UMass-MechBayes,NA,USA,UMass-Amherst
UMass-Amherst,UMass-SemiMech,NA,USA,UMass-Amherst
UNED,UNED-PreCoV2,"Universidad Nacional de Educacion a Distancia -- UNED (www.uned.es), Inverence -- Bayesian Data Modelling to drive Business Strategy (www.inverence.com), Populate (www.populate.tools)",Spain,Universidad Nacional de Educacion a Distancia
UNIPV Periscope Working Group,UNIPV-BayesINGARCHX,"University of Pavia, Department of Economics and Management",Italy,University of Pavia
UNIPG_UNIMIB_USI_UNINSUBRIA,UpgUmibUsi-MultiBayes,NA,Italy,University of Perugia
University of Southern California,USC-SIkJalpha,NA,USA,University of Southern California
University of Sydney Forecast Lab,USyd-OneModelMan,NA,Australia,University of Sydney
"University of Virginia, Biocomplexity COVID-19 Response Team",UVA-Ensemble,NA,USA,University of Virginia
