forecast_date,target,target_end_date,location,type,quantile,value
2021-11-29,1 wk ahead inc case,2021-12-04,AT,point,NA,88855
2021-11-29,2 wk ahead inc case,2021-12-11,AT,point,NA,82282
2021-11-29,3 wk ahead inc case,2021-12-18,AT,point,NA,77822
2021-11-29,4 wk ahead inc case,2021-12-25,AT,point,NA,78121
2021-11-29,1 wk ahead inc case,2021-12-04,BE,point,NA,140383
2021-11-29,2 wk ahead inc case,2021-12-11,BE,point,NA,154382
2021-11-29,3 wk ahead inc case,2021-12-18,BE,point,NA,162747
2021-11-29,4 wk ahead inc case,2021-12-25,BE,point,NA,171375
2021-11-29,1 wk ahead inc case,2021-12-04,BG,point,NA,12911
2021-11-29,2 wk ahead inc case,2021-12-11,BG,point,NA,10573
2021-11-29,3 wk ahead inc case,2021-12-18,BG,point,NA,8626
2021-11-29,4 wk ahead inc case,2021-12-25,BG,point,NA,6974
2021-11-29,1 wk ahead inc case,2021-12-04,CH,point,NA,58297
2021-11-29,2 wk ahead inc case,2021-12-11,CH,point,NA,70727
2021-11-29,3 wk ahead inc case,2021-12-18,CH,point,NA,83409
2021-11-29,4 wk ahead inc case,2021-12-25,CH,point,NA,96742
2021-11-29,1 wk ahead inc case,2021-12-04,CY,point,NA,2916
2021-11-29,2 wk ahead inc case,2021-12-11,CY,point,NA,3406
2021-11-29,3 wk ahead inc case,2021-12-18,CY,point,NA,3970
2021-11-29,4 wk ahead inc case,2021-12-25,CY,point,NA,4644
2021-11-29,1 wk ahead inc case,2021-12-04,CZ,point,NA,161969
2021-11-29,2 wk ahead inc case,2021-12-11,CZ,point,NA,182363
2021-11-29,3 wk ahead inc case,2021-12-18,CZ,point,NA,197710
2021-11-29,4 wk ahead inc case,2021-12-25,CZ,point,NA,215674
2021-11-29,1 wk ahead inc case,2021-12-04,DE,point,NA,466650
2021-11-29,2 wk ahead inc case,2021-12-11,DE,point,NA,512859
2021-11-29,3 wk ahead inc case,2021-12-18,DE,point,NA,544462
2021-11-29,4 wk ahead inc case,2021-12-25,DE,point,NA,578822
2021-11-29,1 wk ahead inc case,2021-12-04,EE,point,NA,3479
2021-11-29,2 wk ahead inc case,2021-12-11,EE,point,NA,2773
2021-11-29,3 wk ahead inc case,2021-12-18,EE,point,NA,2227
2021-11-29,4 wk ahead inc case,2021-12-25,EE,point,NA,1912
2021-11-29,1 wk ahead inc case,2021-12-04,ES,point,NA,69315
2021-11-29,2 wk ahead inc case,2021-12-11,ES,point,NA,91443
2021-11-29,3 wk ahead inc case,2021-12-18,ES,point,NA,118351
2021-11-29,4 wk ahead inc case,2021-12-25,ES,point,NA,151305
2021-11-29,1 wk ahead inc case,2021-12-04,FR,point,NA,242585
2021-11-29,2 wk ahead inc case,2021-12-11,FR,point,NA,325540
2021-11-29,3 wk ahead inc case,2021-12-18,FR,point,NA,418797
2021-11-29,4 wk ahead inc case,2021-12-25,FR,point,NA,556796
2021-11-29,1 wk ahead inc case,2021-12-04,GB,point,NA,287243
2021-11-29,2 wk ahead inc case,2021-12-11,GB,point,NA,282052
2021-11-29,3 wk ahead inc case,2021-12-18,GB,point,NA,274151
2021-11-29,4 wk ahead inc case,2021-12-25,GB,point,NA,265919
2021-11-29,1 wk ahead inc case,2021-12-04,GR,point,NA,45951
2021-11-29,2 wk ahead inc case,2021-12-11,GR,point,NA,44731
2021-11-29,3 wk ahead inc case,2021-12-18,GR,point,NA,42585
2021-11-29,4 wk ahead inc case,2021-12-25,GR,point,NA,40371
2021-11-29,1 wk ahead inc case,2021-12-04,HR,point,NA,32329
2021-11-29,2 wk ahead inc case,2021-12-11,HR,point,NA,29928
2021-11-29,3 wk ahead inc case,2021-12-18,HR,point,NA,26992
2021-11-29,4 wk ahead inc case,2021-12-25,HR,point,NA,23837
2021-11-29,1 wk ahead inc case,2021-12-04,HU,point,NA,81342
2021-11-29,2 wk ahead inc case,2021-12-11,HU,point,NA,90025
2021-11-29,3 wk ahead inc case,2021-12-18,HU,point,NA,96289
2021-11-29,4 wk ahead inc case,2021-12-25,HU,point,NA,101551
2021-11-29,1 wk ahead inc case,2021-12-04,IE,point,NA,32882
2021-11-29,2 wk ahead inc case,2021-12-11,IE,point,NA,32741
2021-11-29,3 wk ahead inc case,2021-12-18,IE,point,NA,32178
2021-11-29,4 wk ahead inc case,2021-12-25,IE,point,NA,31404
2021-11-29,1 wk ahead inc case,2021-12-04,IS,point,NA,1006
2021-11-29,2 wk ahead inc case,2021-12-11,IS,point,NA,937
2021-11-29,3 wk ahead inc case,2021-12-18,IS,point,NA,887
2021-11-29,4 wk ahead inc case,2021-12-25,IS,point,NA,879
2021-11-29,1 wk ahead inc case,2021-12-04,IT,point,NA,94113
2021-11-29,2 wk ahead inc case,2021-12-11,IT,point,NA,106479
2021-11-29,3 wk ahead inc case,2021-12-18,IT,point,NA,115076
2021-11-29,4 wk ahead inc case,2021-12-25,IT,point,NA,125178
2021-11-29,1 wk ahead inc case,2021-12-04,LI,point,NA,437
2021-11-29,2 wk ahead inc case,2021-12-11,LI,point,NA,544
2021-11-29,3 wk ahead inc case,2021-12-18,LI,point,NA,671
2021-11-29,4 wk ahead inc case,2021-12-25,LI,point,NA,819
2021-11-29,1 wk ahead inc case,2021-12-04,LT,point,NA,10383
2021-11-29,2 wk ahead inc case,2021-12-11,LT,point,NA,8888
2021-11-29,3 wk ahead inc case,2021-12-18,LT,point,NA,7543
2021-11-29,4 wk ahead inc case,2021-12-25,LT,point,NA,6337
2021-11-29,1 wk ahead inc case,2021-12-04,LU,point,NA,2447
2021-11-29,2 wk ahead inc case,2021-12-11,LU,point,NA,2785
2021-11-29,3 wk ahead inc case,2021-12-18,LU,point,NA,3111
2021-11-29,4 wk ahead inc case,2021-12-25,LU,point,NA,3418
2021-11-29,1 wk ahead inc case,2021-12-04,LV,point,NA,4411
2021-11-29,2 wk ahead inc case,2021-12-11,LV,point,NA,3266
2021-11-29,3 wk ahead inc case,2021-12-18,LV,point,NA,2539
2021-11-29,4 wk ahead inc case,2021-12-25,LV,point,NA,1969
2021-11-29,1 wk ahead inc case,2021-12-04,MT,point,NA,663
2021-11-29,2 wk ahead inc case,2021-12-11,MT,point,NA,757
2021-11-29,3 wk ahead inc case,2021-12-18,MT,point,NA,864
2021-11-29,4 wk ahead inc case,2021-12-25,MT,point,NA,1001
2021-11-29,1 wk ahead inc case,2021-12-04,NO,point,NA,20668
2021-11-29,2 wk ahead inc case,2021-12-11,NO,point,NA,22335
2021-11-29,3 wk ahead inc case,2021-12-18,NO,point,NA,22813
2021-11-29,4 wk ahead inc case,2021-12-25,NO,point,NA,23677
2021-11-29,1 wk ahead inc case,2021-12-04,PL,point,NA,187730
2021-11-29,2 wk ahead inc case,2021-12-11,PL,point,NA,206368
