forecast_date,target,target_end_date,location,type,quantile,value
2021-10-11,1 wk ahead inc case,2021-10-16,AT,point,NA,12954
2021-10-11,2 wk ahead inc case,2021-10-23,AT,point,NA,13336
2021-10-11,3 wk ahead inc case,2021-10-30,AT,point,NA,13678
2021-10-11,4 wk ahead inc case,2021-11-06,AT,point,NA,13976
2021-10-11,1 wk ahead inc case,2021-10-16,BE,point,NA,13597
2021-10-11,2 wk ahead inc case,2021-10-23,BE,point,NA,13527
2021-10-11,3 wk ahead inc case,2021-10-30,BE,point,NA,13446
2021-10-11,4 wk ahead inc case,2021-11-06,BE,point,NA,13362
2021-10-11,1 wk ahead inc case,2021-10-16,BG,point,NA,15672
2021-10-11,2 wk ahead inc case,2021-10-23,BG,point,NA,16572
2021-10-11,3 wk ahead inc case,2021-10-30,BG,point,NA,17544
2021-10-11,4 wk ahead inc case,2021-11-06,BG,point,NA,18388
2021-10-11,1 wk ahead inc case,2021-10-16,CH,point,NA,5799
2021-10-11,2 wk ahead inc case,2021-10-23,CH,point,NA,4928
2021-10-11,3 wk ahead inc case,2021-10-30,CH,point,NA,4180
2021-10-11,4 wk ahead inc case,2021-11-06,CH,point,NA,3522
2021-10-11,1 wk ahead inc case,2021-10-16,CZ,point,NA,6848
2021-10-11,2 wk ahead inc case,2021-10-23,CZ,point,NA,8503
2021-10-11,3 wk ahead inc case,2021-10-30,CZ,point,NA,10655
2021-10-11,4 wk ahead inc case,2021-11-06,CZ,point,NA,13372
2021-10-11,1 wk ahead inc case,2021-10-16,DE,point,NA,58583
2021-10-11,2 wk ahead inc case,2021-10-23,DE,point,NA,58938
2021-10-11,3 wk ahead inc case,2021-10-30,DE,point,NA,59158
2021-10-11,4 wk ahead inc case,2021-11-06,DE,point,NA,59161
2021-10-11,1 wk ahead inc case,2021-10-16,DK,point,NA,4266
2021-10-11,2 wk ahead inc case,2021-10-23,DK,point,NA,4577
2021-10-11,3 wk ahead inc case,2021-10-30,DK,point,NA,4788
2021-10-11,4 wk ahead inc case,2021-11-06,DK,point,NA,4817
2021-10-11,1 wk ahead inc case,2021-10-16,EE,point,NA,7168
2021-10-11,2 wk ahead inc case,2021-10-23,EE,point,NA,8628
2021-10-11,3 wk ahead inc case,2021-10-30,EE,point,NA,10171
2021-10-11,4 wk ahead inc case,2021-11-06,EE,point,NA,11790
2021-10-11,1 wk ahead inc case,2021-10-16,ES,point,NA,11138
2021-10-11,2 wk ahead inc case,2021-10-23,ES,point,NA,9992
2021-10-11,3 wk ahead inc case,2021-10-30,ES,point,NA,9038
2021-10-11,4 wk ahead inc case,2021-11-06,ES,point,NA,8229
2021-10-11,1 wk ahead inc case,2021-10-16,FR,point,NA,25822
2021-10-11,2 wk ahead inc case,2021-10-23,FR,point,NA,23940
2021-10-11,3 wk ahead inc case,2021-10-30,FR,point,NA,20494
2021-10-11,4 wk ahead inc case,2021-11-06,FR,point,NA,17540
2021-10-11,1 wk ahead inc case,2021-10-16,GB,point,NA,257724
2021-10-11,2 wk ahead inc case,2021-10-23,GB,point,NA,266563
2021-10-11,3 wk ahead inc case,2021-10-30,GB,point,NA,272148
2021-10-11,4 wk ahead inc case,2021-11-06,GB,point,NA,271682
2021-10-11,1 wk ahead inc case,2021-10-16,GR,point,NA,15146
2021-10-11,2 wk ahead inc case,2021-10-23,GR,point,NA,15175
2021-10-11,3 wk ahead inc case,2021-10-30,GR,point,NA,15174
2021-10-11,4 wk ahead inc case,2021-11-06,GR,point,NA,15172
2021-10-11,1 wk ahead inc case,2021-10-16,HR,point,NA,9817
2021-10-11,2 wk ahead inc case,2021-10-23,HR,point,NA,10325
2021-10-11,3 wk ahead inc case,2021-10-30,HR,point,NA,10865
2021-10-11,4 wk ahead inc case,2021-11-06,HR,point,NA,11087
2021-10-11,1 wk ahead inc case,2021-10-16,HU,point,NA,4582
2021-10-11,2 wk ahead inc case,2021-10-23,HU,point,NA,5177
2021-10-11,3 wk ahead inc case,2021-10-30,HU,point,NA,5900
2021-10-11,4 wk ahead inc case,2021-11-06,HU,point,NA,6536
2021-10-11,1 wk ahead inc case,2021-10-16,IE,point,NA,9074
2021-10-11,2 wk ahead inc case,2021-10-23,IE,point,NA,8784
2021-10-11,3 wk ahead inc case,2021-10-30,IE,point,NA,8298
2021-10-11,4 wk ahead inc case,2021-11-06,IE,point,NA,7797
2021-10-11,1 wk ahead inc case,2021-10-16,IS,point,NA,189
2021-10-11,2 wk ahead inc case,2021-10-23,IS,point,NA,164
2021-10-11,3 wk ahead inc case,2021-10-30,IS,point,NA,147
2021-10-11,4 wk ahead inc case,2021-11-06,IS,point,NA,133
2021-10-11,1 wk ahead inc case,2021-10-16,IT,point,NA,16449
2021-10-11,2 wk ahead inc case,2021-10-23,IT,point,NA,14362
2021-10-11,3 wk ahead inc case,2021-10-30,IT,point,NA,12588
2021-10-11,4 wk ahead inc case,2021-11-06,IT,point,NA,10869
2021-10-11,1 wk ahead inc case,2021-10-16,LT,point,NA,16802
2021-10-11,2 wk ahead inc case,2021-10-23,LT,point,NA,19164
2021-10-11,3 wk ahead inc case,2021-10-30,LT,point,NA,21291
2021-10-11,4 wk ahead inc case,2021-11-06,LT,point,NA,23169
2021-10-11,1 wk ahead inc case,2021-10-16,LU,point,NA,673
2021-10-11,2 wk ahead inc case,2021-10-23,LU,point,NA,707
2021-10-11,3 wk ahead inc case,2021-10-30,LU,point,NA,725
2021-10-11,4 wk ahead inc case,2021-11-06,LU,point,NA,749
2021-10-11,1 wk ahead inc case,2021-10-16,LV,point,NA,12664
2021-10-11,2 wk ahead inc case,2021-10-23,LV,point,NA,17410
2021-10-11,3 wk ahead inc case,2021-10-30,LV,point,NA,22504
2021-10-11,4 wk ahead inc case,2021-11-06,LV,point,NA,26644
2021-10-11,1 wk ahead inc case,2021-10-16,MT,point,NA,142
2021-10-11,2 wk ahead inc case,2021-10-23,MT,point,NA,140
2021-10-11,3 wk ahead inc case,2021-10-30,MT,point,NA,137
2021-10-11,4 wk ahead inc case,2021-11-06,MT,point,NA,131
