forecast_date,target,target_end_date,location,type,quantile,value
2021-05-17,1 wk ahead inc case,2021-05-22,AT,point,NA,4627
2021-05-17,2 wk ahead inc case,2021-05-29,AT,point,NA,3379
2021-05-17,3 wk ahead inc case,2021-06-05,AT,point,NA,2666
2021-05-17,4 wk ahead inc case,2021-06-12,AT,point,NA,2369
2021-05-17,1 wk ahead inc case,2021-05-22,BE,point,NA,14243
2021-05-17,2 wk ahead inc case,2021-05-29,BE,point,NA,12146
2021-05-17,3 wk ahead inc case,2021-06-05,BE,point,NA,10655
2021-05-17,4 wk ahead inc case,2021-06-12,BE,point,NA,9605
2021-05-17,1 wk ahead inc case,2021-05-22,BG,point,NA,3076
2021-05-17,2 wk ahead inc case,2021-05-29,BG,point,NA,2453
2021-05-17,3 wk ahead inc case,2021-06-05,BG,point,NA,2038
2021-05-17,4 wk ahead inc case,2021-06-12,BG,point,NA,1829
2021-05-17,1 wk ahead inc case,2021-05-22,CH,point,NA,7141
2021-05-17,2 wk ahead inc case,2021-05-29,CH,point,NA,6118
2021-05-17,3 wk ahead inc case,2021-06-05,CH,point,NA,5361
2021-05-17,4 wk ahead inc case,2021-06-12,CH,point,NA,4821
2021-05-17,1 wk ahead inc case,2021-05-22,CY,point,NA,1382
2021-05-17,2 wk ahead inc case,2021-05-29,CY,point,NA,988
2021-05-17,3 wk ahead inc case,2021-06-05,CY,point,NA,773
2021-05-17,4 wk ahead inc case,2021-06-12,CY,point,NA,660
2021-05-17,1 wk ahead inc case,2021-05-22,CZ,point,NA,6354
2021-05-17,2 wk ahead inc case,2021-05-29,CZ,point,NA,4993
2021-05-17,3 wk ahead inc case,2021-06-05,CZ,point,NA,4013
2021-05-17,4 wk ahead inc case,2021-06-12,CZ,point,NA,3293
2021-05-17,1 wk ahead inc case,2021-05-22,DE,point,NA,56631
2021-05-17,2 wk ahead inc case,2021-05-29,DE,point,NA,43034
2021-05-17,3 wk ahead inc case,2021-06-05,DE,point,NA,34337
