forecast_date,target,target_end_date,location,type,quantile,value
2021-05-03,1 wk ahead inc case,2021-05-08,AT,point,NA,12262
2021-05-03,2 wk ahead inc case,2021-05-15,AT,point,NA,11181
2021-05-03,3 wk ahead inc case,2021-05-22,AT,point,NA,10328
2021-05-03,4 wk ahead inc case,2021-05-29,AT,point,NA,10037
2021-05-03,1 wk ahead inc case,2021-05-08,BE,point,NA,20930
2021-05-03,2 wk ahead inc case,2021-05-15,BE,point,NA,19507
2021-05-03,3 wk ahead inc case,2021-05-22,BE,point,NA,17976
2021-05-03,4 wk ahead inc case,2021-05-29,BE,point,NA,17443
2021-05-03,1 wk ahead inc case,2021-05-08,BG,point,NA,6630
2021-05-03,2 wk ahead inc case,2021-05-15,BG,point,NA,5056
2021-05-03,3 wk ahead inc case,2021-05-22,BG,point,NA,3855
2021-05-03,4 wk ahead inc case,2021-05-29,BG,point,NA,3147
2021-05-03,1 wk ahead inc case,2021-05-08,CH,point,NA,12646
2021-05-03,2 wk ahead inc case,2021-05-15,CH,point,NA,12110
2021-05-03,3 wk ahead inc case,2021-05-22,CH,point,NA,11612
2021-05-03,4 wk ahead inc case,2021-05-29,CH,point,NA,11146
2021-05-03,1 wk ahead inc case,2021-05-08,CY,point,NA,4598
2021-05-03,2 wk ahead inc case,2021-05-15,CY,point,NA,4333
2021-05-03,3 wk ahead inc case,2021-05-22,CY,point,NA,4146
2021-05-03,4 wk ahead inc case,2021-05-29,CY,point,NA,4071
2021-05-03,1 wk ahead inc case,2021-05-08,CZ,point,NA,11989
2021-05-03,2 wk ahead inc case,2021-05-15,CZ,point,NA,9824
2021-05-03,3 wk ahead inc case,2021-05-22,CZ,point,NA,8001
2021-05-03,4 wk ahead inc case,2021-05-29,CZ,point,NA,7220
2021-05-03,1 wk ahead inc case,2021-05-08,DE,point,NA,118931
2021-05-03,2 wk ahead inc case,2021-05-15,DE,point,NA,107219
2021-05-03,3 wk ahead inc case,2021-05-22,DE,point,NA,99624
2021-05-03,4 wk ahead inc case,2021-05-29,DE,point,NA,93307
2021-05-03,1 wk ahead inc case,2021-05-08,DK,point,NA,4974
2021-05-03,2 wk ahead inc case,2021-05-15,DK,point,NA,5239
2021-05-03,3 wk ahead inc case,2021-05-22,DK,point,NA,5518
2021-05-03,4 wk ahead inc case,2021-05-29,DK,point,NA,5609
2021-05-03,1 wk ahead inc case,2021-05-08,EE,point,NA,2346
2021-05-03,2 wk ahead inc case,2021-05-15,EE,point,NA,2175
2021-05-03,3 wk ahead inc case,2021-05-22,EE,point,NA,2036
2021-05-03,4 wk ahead inc case,2021-05-29,EE,point,NA,2066
2021-05-03,1 wk ahead inc case,2021-05-08,ES,point,NA,46243
2021-05-03,2 wk ahead inc case,2021-05-15,ES,point,NA,40362
2021-05-03,3 wk ahead inc case,2021-05-22,ES,point,NA,39166
2021-05-03,4 wk ahead inc case,2021-05-29,ES,point,NA,37760
2021-05-03,1 wk ahead inc case,2021-05-08,FI,point,NA,1311
2021-05-03,2 wk ahead inc case,2021-05-15,FI,point,NA,1175
2021-05-03,3 wk ahead inc case,2021-05-22,FI,point,NA,1032
2021-05-03,4 wk ahead inc case,2021-05-29,FI,point,NA,898
2021-05-03,1 wk ahead inc case,2021-05-08,FR,point,NA,145732
2021-05-03,2 wk ahead inc case,2021-05-15,FR,point,NA,119689
2021-05-03,3 wk ahead inc case,2021-05-22,FR,point,NA,97574
2021-05-03,4 wk ahead inc case,2021-05-29,FR,point,NA,82872
2021-05-03,1 wk ahead inc case,2021-05-08,GB,point,NA,13994
2021-05-03,2 wk ahead inc case,2021-05-15,GB,point,NA,13358
2021-05-03,3 wk ahead inc case,2021-05-22,GB,point,NA,12825
2021-05-03,4 wk ahead inc case,2021-05-29,GB,point,NA,12251
2021-05-03,1 wk ahead inc case,2021-05-08,GR,point,NA,11680
2021-05-03,2 wk ahead inc case,2021-05-15,GR,point,NA,11530
2021-05-03,3 wk ahead inc case,2021-05-22,GR,point,NA,10358
2021-05-03,4 wk ahead inc case,2021-05-29,GR,point,NA,8951
2021-05-03,1 wk ahead inc case,2021-05-08,HR,point,NA,13041
2021-05-03,2 wk ahead inc case,2021-05-15,HR,point,NA,12023
2021-05-03,3 wk ahead inc case,2021-05-22,HR,point,NA,11010
2021-05-03,4 wk ahead inc case,2021-05-29,HR,point,NA,10053
2021-05-03,1 wk ahead inc case,2021-05-08,HU,point,NA,10084
2021-05-03,2 wk ahead inc case,2021-05-15,HU,point,NA,7099
2021-05-03,3 wk ahead inc case,2021-05-22,HU,point,NA,4957
2021-05-03,4 wk ahead inc case,2021-05-29,HU,point,NA,4731
2021-05-03,1 wk ahead inc case,2021-05-08,IE,point,NA,3394
2021-05-03,2 wk ahead inc case,2021-05-15,IE,point,NA,3600
2021-05-03,3 wk ahead inc case,2021-05-22,IE,point,NA,3823
2021-05-03,4 wk ahead inc case,2021-05-29,IE,point,NA,3974
2021-05-03,1 wk ahead inc case,2021-05-08,IS,point,NA,72
2021-05-03,2 wk ahead inc case,2021-05-15,IS,point,NA,82
2021-05-03,3 wk ahead inc case,2021-05-22,IS,point,NA,82
2021-05-03,4 wk ahead inc case,2021-05-29,IS,point,NA,79
2021-05-03,1 wk ahead inc case,2021-05-08,IT,point,NA,78181
2021-05-03,2 wk ahead inc case,2021-05-15,IT,point,NA,70625
2021-05-03,3 wk ahead inc case,2021-05-22,IT,point,NA,65561
2021-05-03,4 wk ahead inc case,2021-05-29,IT,point,NA,69559
2021-05-03,1 wk ahead inc case,2021-05-08,LI,point,NA,59
2021-05-03,2 wk ahead inc case,2021-05-15,LI,point,NA,56
2021-05-03,3 wk ahead inc case,2021-05-22,LI,point,NA,57
2021-05-03,4 wk ahead inc case,2021-05-29,LI,point,NA,59
2021-05-03,1 wk ahead inc case,2021-05-08,LT,point,NA,8641
2021-05-03,2 wk ahead inc case,2021-05-15,LT,point,NA,9137
2021-05-03,3 wk ahead inc case,2021-05-22,LT,point,NA,9503
2021-05-03,4 wk ahead inc case,2021-05-29,LT,point,NA,9615
2021-05-03,1 wk ahead inc case,2021-05-08,LU,point,NA,1130
2021-05-03,2 wk ahead inc case,2021-05-15,LU,point,NA,1047
2021-05-03,3 wk ahead inc case,2021-05-22,LU,point,NA,988
2021-05-03,4 wk ahead inc case,2021-05-29,LU,point,NA,905
2021-05-03,1 wk ahead inc case,2021-05-08,LV,point,NA,4484
2021-05-03,2 wk ahead inc case,2021-05-15,LV,point,NA,4804
2021-05-03,3 wk ahead inc case,2021-05-22,LV,point,NA,5131
2021-05-03,4 wk ahead inc case,2021-05-29,LV,point,NA,5443
2021-05-03,1 wk ahead inc case,2021-05-08,MT,point,NA,129
2021-05-03,2 wk ahead inc case,2021-05-15,MT,point,NA,100
2021-05-03,3 wk ahead inc case,2021-05-22,MT,point,NA,79
2021-05-03,4 wk ahead inc case,2021-05-29,MT,point,NA,74
2021-05-03,1 wk ahead inc case,2021-05-08,NL,point,NA,45395
2021-05-03,2 wk ahead inc case,2021-05-15,NL,point,NA,42783
2021-05-03,3 wk ahead inc case,2021-05-22,NL,point,NA,37995
2021-05-03,4 wk ahead inc case,2021-05-29,NL,point,NA,33493
2021-05-03,1 wk ahead inc case,2021-05-08,NO,point,NA,2475
2021-05-03,2 wk ahead inc case,2021-05-15,NO,point,NA,2167
