forecast_date,target,target_end_date,location,type,quantile,value
2021-05-10,1 wk ahead inc case,2021-05-15,AT,point,NA,8235
2021-05-10,2 wk ahead inc case,2021-05-22,AT,point,NA,6668
2021-05-10,3 wk ahead inc case,2021-05-29,AT,point,NA,5396
2021-05-10,4 wk ahead inc case,2021-06-05,AT,point,NA,4658
2021-05-10,1 wk ahead inc case,2021-05-15,BE,point,NA,20214
2021-05-10,2 wk ahead inc case,2021-05-22,BE,point,NA,18844
2021-05-10,3 wk ahead inc case,2021-05-29,BE,point,NA,17998
2021-05-10,4 wk ahead inc case,2021-06-05,BE,point,NA,17273
2021-05-10,1 wk ahead inc case,2021-05-15,BG,point,NA,3866
2021-05-10,2 wk ahead inc case,2021-05-22,BG,point,NA,2685
2021-05-10,3 wk ahead inc case,2021-05-29,BG,point,NA,1917
2021-05-10,4 wk ahead inc case,2021-06-05,BG,point,NA,2003
2021-05-10,1 wk ahead inc case,2021-05-15,CH,point,NA,9162
2021-05-10,2 wk ahead inc case,2021-05-22,CH,point,NA,7985
2021-05-10,3 wk ahead inc case,2021-05-29,CH,point,NA,7174
2021-05-10,4 wk ahead inc case,2021-06-05,CH,point,NA,6532
2021-05-10,1 wk ahead inc case,2021-05-15,CY,point,NA,2810
2021-05-10,2 wk ahead inc case,2021-05-22,CY,point,NA,2406
2021-05-10,3 wk ahead inc case,2021-05-29,CY,point,NA,2247
2021-05-10,4 wk ahead inc case,2021-06-05,CY,point,NA,2247
2021-05-10,1 wk ahead inc case,2021-05-15,CZ,point,NA,9630
2021-05-10,2 wk ahead inc case,2021-05-22,CZ,point,NA,7578
2021-05-10,3 wk ahead inc case,2021-05-29,CZ,point,NA,5918
2021-05-10,4 wk ahead inc case,2021-06-05,CZ,point,NA,5533
2021-05-10,1 wk ahead inc case,2021-05-15,DE,point,NA,91175
2021-05-10,2 wk ahead inc case,2021-05-22,DE,point,NA,79236
2021-05-10,3 wk ahead inc case,2021-05-29,DE,point,NA,70916
2021-05-10,4 wk ahead inc case,2021-06-05,DE,point,NA,62639
2021-05-10,1 wk ahead inc case,2021-05-15,DK,point,NA,5597
2021-05-10,2 wk ahead inc case,2021-05-22,DK,point,NA,6054
2021-05-10,3 wk ahead inc case,2021-05-29,DK,point,NA,6499
2021-05-10,4 wk ahead inc case,2021-06-05,DK,point,NA,6715
2021-05-10,1 wk ahead inc case,2021-05-15,EE,point,NA,2372
2021-05-10,2 wk ahead inc case,2021-05-22,EE,point,NA,2308
2021-05-10,3 wk ahead inc case,2021-05-29,EE,point,NA,2256
2021-05-10,4 wk ahead inc case,2021-06-05,EE,point,NA,2270
2021-05-10,1 wk ahead inc case,2021-05-15,ES,point,NA,38755
2021-05-10,2 wk ahead inc case,2021-05-22,ES,point,NA,33918
2021-05-10,3 wk ahead inc case,2021-05-29,ES,point,NA,30856
2021-05-10,4 wk ahead inc case,2021-06-05,ES,point,NA,27896
2021-05-10,1 wk ahead inc case,2021-05-15,FI,point,NA,1408
2021-05-10,2 wk ahead inc case,2021-05-22,FI,point,NA,1399
2021-05-10,3 wk ahead inc case,2021-05-29,FI,point,NA,1410
2021-05-10,4 wk ahead inc case,2021-06-05,FI,point,NA,1437
2021-05-10,1 wk ahead inc case,2021-05-15,FR,point,NA,113859
2021-05-10,2 wk ahead inc case,2021-05-22,FR,point,NA,97470
2021-05-10,3 wk ahead inc case,2021-05-29,FR,point,NA,85098
2021-05-10,4 wk ahead inc case,2021-06-05,FR,point,NA,73823
2021-05-10,1 wk ahead inc case,2021-05-15,GB,point,NA,13717
2021-05-10,2 wk ahead inc case,2021-05-22,GB,point,NA,13155
2021-05-10,3 wk ahead inc case,2021-05-29,GB,point,NA,12784
2021-05-10,4 wk ahead inc case,2021-06-05,GB,point,NA,12380
2021-05-10,1 wk ahead inc case,2021-05-15,GR,point,NA,12886
2021-05-10,2 wk ahead inc case,2021-05-22,GR,point,NA,11803
2021-05-10,3 wk ahead inc case,2021-05-29,GR,point,NA,11809
2021-05-10,4 wk ahead inc case,2021-06-05,GR,point,NA,12092
2021-05-10,1 wk ahead inc case,2021-05-15,HR,point,NA,8937
2021-05-10,2 wk ahead inc case,2021-05-22,HR,point,NA,7427
2021-05-10,3 wk ahead inc case,2021-05-29,HR,point,NA,6203
2021-05-10,4 wk ahead inc case,2021-06-05,HR,point,NA,5259
2021-05-10,1 wk ahead inc case,2021-05-15,HU,point,NA,6388
2021-05-10,2 wk ahead inc case,2021-05-22,HU,point,NA,4253
2021-05-10,3 wk ahead inc case,2021-05-29,HU,point,NA,3245
2021-05-10,4 wk ahead inc case,2021-06-05,HU,point,NA,3674
2021-05-10,1 wk ahead inc case,2021-05-15,IE,point,NA,3163
2021-05-10,2 wk ahead inc case,2021-05-22,IE,point,NA,3264
2021-05-10,3 wk ahead inc case,2021-05-29,IE,point,NA,3389
2021-05-10,4 wk ahead inc case,2021-06-05,IE,point,NA,3485
2021-05-10,1 wk ahead inc case,2021-05-15,IS,point,NA,40
2021-05-10,2 wk ahead inc case,2021-05-22,IS,point,NA,34
2021-05-10,3 wk ahead inc case,2021-05-29,IS,point,NA,31
2021-05-10,4 wk ahead inc case,2021-06-05,IS,point,NA,27
2021-05-10,1 wk ahead inc case,2021-05-15,IT,point,NA,55679
2021-05-10,2 wk ahead inc case,2021-05-22,IT,point,NA,45652
2021-05-10,3 wk ahead inc case,2021-05-29,IT,point,NA,39160
2021-05-10,4 wk ahead inc case,2021-06-05,IT,point,NA,35169
2021-05-10,1 wk ahead inc case,2021-05-15,LI,point,NA,37
2021-05-10,2 wk ahead inc case,2021-05-22,LI,point,NA,32
2021-05-10,3 wk ahead inc case,2021-05-29,LI,point,NA,29
2021-05-10,4 wk ahead inc case,2021-06-05,LI,point,NA,28
2021-05-10,1 wk ahead inc case,2021-05-15,LT,point,NA,8669
2021-05-10,2 wk ahead inc case,2021-05-22,LT,point,NA,8965
2021-05-10,3 wk ahead inc case,2021-05-29,LT,point,NA,9209
2021-05-10,4 wk ahead inc case,2021-06-05,LT,point,NA,9092
2021-05-10,1 wk ahead inc case,2021-05-15,LU,point,NA,818
2021-05-10,2 wk ahead inc case,2021-05-22,LU,point,NA,776
2021-05-10,3 wk ahead inc case,2021-05-29,LU,point,NA,706
2021-05-10,4 wk ahead inc case,2021-06-05,LU,point,NA,660
2021-05-10,1 wk ahead inc case,2021-05-15,LV,point,NA,4387
2021-05-10,2 wk ahead inc case,2021-05-22,LV,point,NA,4530
2021-05-10,3 wk ahead inc case,2021-05-29,LV,point,NA,4656
2021-05-10,4 wk ahead inc case,2021-06-05,LV,point,NA,4760
2021-05-10,1 wk ahead inc case,2021-05-15,MT,point,NA,102
2021-05-10,2 wk ahead inc case,2021-05-22,MT,point,NA,79
2021-05-10,3 wk ahead inc case,2021-05-29,MT,point,NA,63
2021-05-10,4 wk ahead inc case,2021-06-05,MT,point,NA,64
2021-05-10,1 wk ahead inc case,2021-05-15,NL,point,NA,48940
2021-05-10,2 wk ahead inc case,2021-05-22,NL,point,NA,47220
2021-05-10,3 wk ahead inc case,2021-05-29,NL,point,NA,46549
2021-05-10,4 wk ahead inc case,2021-06-05,NL,point,NA,45725
2021-05-10,1 wk ahead inc case,2021-05-15,NO,point,NA,2618
2021-05-10,2 wk ahead inc case,2021-05-22,NO,point,NA,2544
2021-05-10,3 wk ahead inc case,2021-05-29,NO,point,NA,2564
2021-05-10,4 wk ahead inc case,2021-06-05,NO,point,NA,2587
2021-05-10,1 wk ahead inc case,2021-05-15,PL,point,NA,23109
2021-05-10,2 wk ahead inc case,2021-05-22,PL,point,NA,17222
2021-05-10,3 wk ahead inc case,2021-05-29,PL,point,NA,14674
2021-05-10,4 wk ahead inc case,2021-06-05,PL,point,NA,11444
2021-05-10,1 wk ahead inc case,2021-05-15,PT,point,NA,2272
2021-05-10,2 wk ahead inc case,2021-05-22,PT,point,NA,1994
2021-05-10,3 wk ahead inc case,2021-05-29,PT,point,NA,1747
2021-05-10,4 wk ahead inc case,2021-06-05,PT,point,NA,1532
2021-05-10,1 wk ahead inc case,2021-05-15,RO,point,NA,7514
2021-05-10,2 wk ahead inc case,2021-05-22,RO,point,NA,6149
2021-05-10,3 wk ahead inc case,2021-05-29,RO,point,NA,5214
2021-05-10,4 wk ahead inc case,2021-06-05,RO,point,NA,5105
2021-05-10,1 wk ahead inc case,2021-05-15,SE,point,NA,31820
2021-05-10,2 wk ahead inc case,2021-05-22,SE,point,NA,29746
2021-05-10,3 wk ahead inc case,2021-05-29,SE,point,NA,27846
2021-05-10,4 wk ahead inc case,2021-06-05,SE,point,NA,26446
2021-05-10,1 wk ahead inc case,2021-05-15,SI,point,NA,4170
2021-05-10,2 wk ahead inc case,2021-05-22,SI,point,NA,3948
2021-05-10,3 wk ahead inc case,2021-05-29,SI,point,NA,3771
2021-05-10,4 wk ahead inc case,2021-06-05,SI,point,NA,3657
2021-05-10,1 wk ahead inc case,2021-05-15,SK,point,NA,2195
2021-05-10,2 wk ahead inc case,2021-05-22,SK,point,NA,1809
2021-05-10,3 wk ahead inc case,2021-05-29,SK,point,NA,1510
2021-05-10,4 wk ahead inc case,2021-06-05,SK,point,NA,1318
2021-05-10,1 wk ahead inc death,2021-05-15,AT,point,NA,116
2021-05-10,2 wk ahead inc death,2021-05-22,AT,point,NA,92
2021-05-10,3 wk ahead inc death,2021-05-29,AT,point,NA,69
2021-05-10,4 wk ahead inc death,2021-06-05,AT,point,NA,50
2021-05-10,1 wk ahead inc death,2021-05-15,BE,point,NA,243
2021-05-10,2 wk ahead inc death,2021-05-22,BE,point,NA,226
2021-05-10,3 wk ahead inc death,2021-05-29,BE,point,NA,220
2021-05-10,4 wk ahead inc death,2021-06-05,BE,point,NA,204
2021-05-10,1 wk ahead inc death,2021-05-15,BG,point,NA,345
2021-05-10,2 wk ahead inc death,2021-05-22,BG,point,NA,257
2021-05-10,3 wk ahead inc death,2021-05-29,BG,point,NA,186
2021-05-10,4 wk ahead inc death,2021-06-05,BG,point,NA,131
2021-05-10,1 wk ahead inc death,2021-05-15,CH,point,NA,62
2021-05-10,2 wk ahead inc death,2021-05-22,CH,point,NA,57
2021-05-10,3 wk ahead inc death,2021-05-29,CH,point,NA,51
2021-05-10,4 wk ahead inc death,2021-06-05,CH,point,NA,45
2021-05-10,1 wk ahead inc death,2021-05-15,CY,point,NA,18
2021-05-10,2 wk ahead inc death,2021-05-22,CY,point,NA,17
2021-05-10,3 wk ahead inc death,2021-05-29,CY,point,NA,15
2021-05-10,4 wk ahead inc death,2021-06-05,CY,point,NA,14
2021-05-10,1 wk ahead inc death,2021-05-15,CZ,point,NA,258
2021-05-10,2 wk ahead inc death,2021-05-22,CZ,point,NA,202
2021-05-10,3 wk ahead inc death,2021-05-29,CZ,point,NA,162
2021-05-10,4 wk ahead inc death,2021-06-05,CZ,point,NA,127
2021-05-10,1 wk ahead inc death,2021-05-15,DE,point,NA,1419
2021-05-10,2 wk ahead inc death,2021-05-22,DE,point,NA,1261
2021-05-10,3 wk ahead inc death,2021-05-29,DE,point,NA,1137
2021-05-10,4 wk ahead inc death,2021-06-05,DE,point,NA,1003
2021-05-10,1 wk ahead inc death,2021-05-15,DK,point,NA,13
2021-05-10,2 wk ahead inc death,2021-05-22,DK,point,NA,13
2021-05-10,3 wk ahead inc death,2021-05-29,DK,point,NA,13
2021-05-10,4 wk ahead inc death,2021-06-05,DK,point,NA,14
2021-05-10,1 wk ahead inc death,2021-05-15,EE,point,NA,24
2021-05-10,2 wk ahead inc death,2021-05-22,EE,point,NA,23
2021-05-10,3 wk ahead inc death,2021-05-29,EE,point,NA,22
2021-05-10,4 wk ahead inc death,2021-06-05,EE,point,NA,22
2021-05-10,1 wk ahead inc death,2021-05-15,ES,point,NA,517
2021-05-10,2 wk ahead inc death,2021-05-22,ES,point,NA,460
2021-05-10,3 wk ahead inc death,2021-05-29,ES,point,NA,409
2021-05-10,4 wk ahead inc death,2021-06-05,ES,point,NA,373
