forecast_date,target,target_end_date,location,type,quantile,value
2021-10-04,1 wk ahead inc case,2021-10-09,AT,point,NA,13046
2021-10-04,2 wk ahead inc case,2021-10-16,AT,point,NA,13058
2021-10-04,3 wk ahead inc case,2021-10-23,AT,point,NA,13074
2021-10-04,4 wk ahead inc case,2021-10-30,AT,point,NA,12900
2021-10-04,1 wk ahead inc case,2021-10-09,BE,point,NA,12820
2021-10-04,2 wk ahead inc case,2021-10-16,BE,point,NA,12611
2021-10-04,3 wk ahead inc case,2021-10-23,BE,point,NA,12292
2021-10-04,4 wk ahead inc case,2021-10-30,BE,point,NA,11968
2021-10-04,1 wk ahead inc case,2021-10-09,BG,point,NA,13835
2021-10-04,2 wk ahead inc case,2021-10-16,BG,point,NA,14929
2021-10-04,3 wk ahead inc case,2021-10-23,BG,point,NA,16014
2021-10-04,4 wk ahead inc case,2021-10-30,BG,point,NA,17163
2021-10-04,1 wk ahead inc case,2021-10-09,CH,point,NA,7081
2021-10-04,2 wk ahead inc case,2021-10-16,CH,point,NA,6166
2021-10-04,3 wk ahead inc case,2021-10-23,CH,point,NA,5441
2021-10-04,4 wk ahead inc case,2021-10-30,CH,point,NA,4916
2021-10-04,1 wk ahead inc case,2021-10-09,CY,point,NA,466
2021-10-04,2 wk ahead inc case,2021-10-16,CY,point,NA,384
2021-10-04,3 wk ahead inc case,2021-10-23,CY,point,NA,319
2021-10-04,4 wk ahead inc case,2021-10-30,CY,point,NA,264
2021-10-04,1 wk ahead inc case,2021-10-09,CZ,point,NA,5082
2021-10-04,2 wk ahead inc case,2021-10-16,CZ,point,NA,6325
2021-10-04,3 wk ahead inc case,2021-10-23,CZ,point,NA,7962
2021-10-04,4 wk ahead inc case,2021-10-30,CZ,point,NA,10170
2021-10-04,1 wk ahead inc case,2021-10-09,DE,point,NA,53541
2021-10-04,2 wk ahead inc case,2021-10-16,DE,point,NA,52119
2021-10-04,3 wk ahead inc case,2021-10-23,DE,point,NA,49639
2021-10-04,4 wk ahead inc case,2021-10-30,DE,point,NA,47604
2021-10-04,1 wk ahead inc case,2021-10-09,DK,point,NA,2937
2021-10-04,2 wk ahead inc case,2021-10-16,DK,point,NA,3171
2021-10-04,3 wk ahead inc case,2021-10-23,DK,point,NA,3442
2021-10-04,4 wk ahead inc case,2021-10-30,DK,point,NA,3808
2021-10-04,1 wk ahead inc case,2021-10-09,EE,point,NA,5429
2021-10-04,2 wk ahead inc case,2021-10-16,EE,point,NA,6313
2021-10-04,3 wk ahead inc case,2021-10-23,EE,point,NA,7153
2021-10-04,4 wk ahead inc case,2021-10-30,EE,point,NA,7910
2021-10-04,1 wk ahead inc case,2021-10-09,ES,point,NA,11544
2021-10-04,2 wk ahead inc case,2021-10-16,ES,point,NA,9792
2021-10-04,3 wk ahead inc case,2021-10-23,ES,point,NA,8510
2021-10-04,4 wk ahead inc case,2021-10-30,ES,point,NA,7529
2021-10-04,1 wk ahead inc case,2021-10-09,FI,point,NA,3194
2021-10-04,2 wk ahead inc case,2021-10-16,FI,point,NA,3426
2021-10-04,3 wk ahead inc case,2021-10-23,FI,point,NA,3560
2021-10-04,4 wk ahead inc case,2021-10-30,FI,point,NA,3706
2021-10-04,1 wk ahead inc case,2021-10-09,FR,point,NA,27085
2021-10-04,2 wk ahead inc case,2021-10-16,FR,point,NA,23285
