forecast_date,target,target_end_date,location,type,quantile,value
2021-10-11,1 wk ahead inc case,2021-10-16,AT,point,NA,12858
2021-10-11,2 wk ahead inc case,2021-10-23,AT,point,NA,13169
2021-10-11,3 wk ahead inc case,2021-10-30,AT,point,NA,13441
2021-10-11,4 wk ahead inc case,2021-11-06,AT,point,NA,13682
2021-10-11,1 wk ahead inc case,2021-10-16,BE,point,NA,13616
2021-10-11,2 wk ahead inc case,2021-10-23,BE,point,NA,13570
2021-10-11,3 wk ahead inc case,2021-10-30,BE,point,NA,13520
2021-10-11,4 wk ahead inc case,2021-11-06,BE,point,NA,13453
2021-10-11,1 wk ahead inc case,2021-10-16,BG,point,NA,15674
2021-10-11,2 wk ahead inc case,2021-10-23,BG,point,NA,16572
2021-10-11,3 wk ahead inc case,2021-10-30,BG,point,NA,17558
2021-10-11,4 wk ahead inc case,2021-11-06,BG,point,NA,18419
2021-10-11,1 wk ahead inc case,2021-10-16,CH,point,NA,5673
2021-10-11,2 wk ahead inc case,2021-10-23,CH,point,NA,4719
2021-10-11,3 wk ahead inc case,2021-10-30,CH,point,NA,3908
2021-10-11,4 wk ahead inc case,2021-11-06,CH,point,NA,3228
2021-10-11,1 wk ahead inc case,2021-10-16,CZ,point,NA,6902
2021-10-11,2 wk ahead inc case,2021-10-23,CZ,point,NA,8760
2021-10-11,3 wk ahead inc case,2021-10-30,CZ,point,NA,11113
2021-10-11,4 wk ahead inc case,2021-11-06,CZ,point,NA,14187
2021-10-11,1 wk ahead inc case,2021-10-16,DE,point,NA,58557
2021-10-11,2 wk ahead inc case,2021-10-23,DE,point,NA,58931
2021-10-11,3 wk ahead inc case,2021-10-30,DE,point,NA,59204
2021-10-11,4 wk ahead inc case,2021-11-06,DE,point,NA,59222
2021-10-11,1 wk ahead inc case,2021-10-16,DK,point,NA,4274
2021-10-11,2 wk ahead inc case,2021-10-23,DK,point,NA,4616
2021-10-11,3 wk ahead inc case,2021-10-30,DK,point,NA,4890
2021-10-11,4 wk ahead inc case,2021-11-06,DK,point,NA,4923
2021-10-11,1 wk ahead inc case,2021-10-16,EE,point,NA,7161
2021-10-11,2 wk ahead inc case,2021-10-23,EE,point,NA,8626
2021-10-11,3 wk ahead inc case,2021-10-30,EE,point,NA,10170
2021-10-11,4 wk ahead inc case,2021-11-06,EE,point,NA,11785
2021-10-11,1 wk ahead inc case,2021-10-16,ES,point,NA,11254
2021-10-11,2 wk ahead inc case,2021-10-23,ES,point,NA,10251
2021-10-11,3 wk ahead inc case,2021-10-30,ES,point,NA,9478
2021-10-11,4 wk ahead inc case,2021-11-06,ES,point,NA,8810
2021-10-11,1 wk ahead inc case,2021-10-16,FR,point,NA,26927
2021-10-11,2 wk ahead inc case,2021-10-23,FR,point,NA,25773
2021-10-11,3 wk ahead inc case,2021-10-30,FR,point,NA,22486
2021-10-11,4 wk ahead inc case,2021-11-06,FR,point,NA,19340
2021-10-11,1 wk ahead inc case,2021-10-16,GB,point,NA,257725
2021-10-11,2 wk ahead inc case,2021-10-23,GB,point,NA,266721
2021-10-11,3 wk ahead inc case,2021-10-30,GB,point,NA,272760
2021-10-11,4 wk ahead inc case,2021-11-06,GB,point,NA,270989
2021-10-11,1 wk ahead inc case,2021-10-16,GR,point,NA,15090
2021-10-11,2 wk ahead inc case,2021-10-23,GR,point,NA,15106
2021-10-11,3 wk ahead inc case,2021-10-30,GR,point,NA,15160
2021-10-11,4 wk ahead inc case,2021-11-06,GR,point,NA,15234
2021-10-11,1 wk ahead inc case,2021-10-16,HR,point,NA,9805
2021-10-11,2 wk ahead inc case,2021-10-23,HR,point,NA,10276
2021-10-11,3 wk ahead inc case,2021-10-30,HR,point,NA,10805
2021-10-11,4 wk ahead inc case,2021-11-06,HR,point,NA,11007
2021-10-11,1 wk ahead inc case,2021-10-16,HU,point,NA,4478
2021-10-11,2 wk ahead inc case,2021-10-23,HU,point,NA,4937
2021-10-11,3 wk ahead inc case,2021-10-30,HU,point,NA,5536
2021-10-11,4 wk ahead inc case,2021-11-06,HU,point,NA,6075
2021-10-11,1 wk ahead inc case,2021-10-16,IE,point,NA,9207
2021-10-11,2 wk ahead inc case,2021-10-23,IE,point,NA,9014
2021-10-11,3 wk ahead inc case,2021-10-30,IE,point,NA,8625
2021-10-11,4 wk ahead inc case,2021-11-06,IE,point,NA,8169
2021-10-11,1 wk ahead inc case,2021-10-16,IS,point,NA,189
2021-10-11,2 wk ahead inc case,2021-10-23,IS,point,NA,164
2021-10-11,3 wk ahead inc case,2021-10-30,IS,point,NA,147
2021-10-11,4 wk ahead inc case,2021-11-06,IS,point,NA,133
2021-10-11,1 wk ahead inc case,2021-10-16,IT,point,NA,16450
2021-10-11,2 wk ahead inc case,2021-10-23,IT,point,NA,14326
2021-10-11,3 wk ahead inc case,2021-10-30,IT,point,NA,12413
2021-10-11,4 wk ahead inc case,2021-11-06,IT,point,NA,10723
2021-10-11,1 wk ahead inc case,2021-10-16,LT,point,NA,16813
2021-10-11,2 wk ahead inc case,2021-10-23,LT,point,NA,19158
2021-10-11,3 wk ahead inc case,2021-10-30,LT,point,NA,21307
2021-10-11,4 wk ahead inc case,2021-11-06,LT,point,NA,23184
2021-10-11,1 wk ahead inc case,2021-10-16,LU,point,NA,673
2021-10-11,2 wk ahead inc case,2021-10-23,LU,point,NA,706
2021-10-11,3 wk ahead inc case,2021-10-30,LU,point,NA,726
2021-10-11,4 wk ahead inc case,2021-11-06,LU,point,NA,751
2021-10-11,1 wk ahead inc case,2021-10-16,LV,point,NA,12671
2021-10-11,2 wk ahead inc case,2021-10-23,LV,point,NA,17517
2021-10-11,3 wk ahead inc case,2021-10-30,LV,point,NA,22439
2021-10-11,4 wk ahead inc case,2021-11-06,LV,point,NA,25763
2021-10-11,1 wk ahead inc case,2021-10-16,MT,point,NA,141
2021-10-11,2 wk ahead inc case,2021-10-23,MT,point,NA,140
2021-10-11,3 wk ahead inc case,2021-10-30,MT,point,NA,136
2021-10-11,4 wk ahead inc case,2021-11-06,MT,point,NA,131
2021-10-11,1 wk ahead inc case,2021-10-16,NO,point,NA,2562
2021-10-11,2 wk ahead inc case,2021-10-23,NO,point,NA,2120
2021-10-11,3 wk ahead inc case,2021-10-30,NO,point,NA,1771
2021-10-11,4 wk ahead inc case,2021-11-06,NO,point,NA,1496
2021-10-11,1 wk ahead inc case,2021-10-16,PL,point,NA,14641
2021-10-11,2 wk ahead inc case,2021-10-23,PL,point,NA,19582
2021-10-11,3 wk ahead inc case,2021-10-30,PL,point,NA,26718
2021-10-11,4 wk ahead inc case,2021-11-06,PL,point,NA,36177
2021-10-11,1 wk ahead inc case,2021-10-16,PT,point,NA,3868
2021-10-11,2 wk ahead inc case,2021-10-23,PT,point,NA,3671
2021-10-11,3 wk ahead inc case,2021-10-30,PT,point,NA,3413
2021-10-11,4 wk ahead inc case,2021-11-06,PT,point,NA,3109
2021-10-11,1 wk ahead inc case,2021-10-16,RO,point,NA,114537
2021-10-11,2 wk ahead inc case,2021-10-23,RO,point,NA,144677
2021-10-11,3 wk ahead inc case,2021-10-30,RO,point,NA,178582
2021-10-11,4 wk ahead inc case,2021-11-06,RO,point,NA,215109
2021-10-11,1 wk ahead inc case,2021-10-16,SE,point,NA,3761
2021-10-11,2 wk ahead inc case,2021-10-23,SE,point,NA,3363
2021-10-11,3 wk ahead inc case,2021-10-30,SE,point,NA,2950
2021-10-11,4 wk ahead inc case,2021-11-06,SE,point,NA,2546
2021-10-11,1 wk ahead inc case,2021-10-16,SI,point,NA,5389
2021-10-11,2 wk ahead inc case,2021-10-23,SI,point,NA,5087
2021-10-11,3 wk ahead inc case,2021-10-30,SI,point,NA,4749
2021-10-11,4 wk ahead inc case,2021-11-06,SI,point,NA,4407
2021-10-11,1 wk ahead inc death,2021-10-16,AT,point,NA,66
2021-10-11,2 wk ahead inc death,2021-10-23,AT,point,NA,64
2021-10-11,3 wk ahead inc death,2021-10-30,AT,point,NA,64
2021-10-11,4 wk ahead inc death,2021-11-06,AT,point,NA,64
2021-10-11,1 wk ahead inc death,2021-10-16,BE,point,NA,59
2021-10-11,2 wk ahead inc death,2021-10-23,BE,point,NA,56
2021-10-11,3 wk ahead inc death,2021-10-30,BE,point,NA,56
2021-10-11,4 wk ahead inc death,2021-11-06,BE,point,NA,55
2021-10-11,1 wk ahead inc death,2021-10-16,BG,point,NA,629
2021-10-11,2 wk ahead inc death,2021-10-23,BG,point,NA,684
2021-10-11,3 wk ahead inc death,2021-10-30,BG,point,NA,718
2021-10-11,4 wk ahead inc death,2021-11-06,BG,point,NA,733
2021-10-11,1 wk ahead inc death,2021-10-16,CH,point,NA,26
