forecast_date,target,target_end_date,location,type,quantile,value
2021-07-12,1 wk ahead inc case,2021-07-17,AT,point,NA,1055
2021-07-12,2 wk ahead inc case,2021-07-24,AT,point,NA,1860
2021-07-12,3 wk ahead inc case,2021-07-31,AT,point,NA,4155
2021-07-12,4 wk ahead inc case,2021-08-07,AT,point,NA,10535
2021-07-12,1 wk ahead inc case,2021-07-17,BE,point,NA,2972
2021-07-12,2 wk ahead inc case,2021-07-24,BE,point,NA,3533
2021-07-12,3 wk ahead inc case,2021-07-31,BE,point,NA,4015
2021-07-12,4 wk ahead inc case,2021-08-07,BE,point,NA,4450
2021-07-12,1 wk ahead inc case,2021-07-17,BG,point,NA,334
2021-07-12,2 wk ahead inc case,2021-07-24,BG,point,NA,288
2021-07-12,3 wk ahead inc case,2021-07-31,BG,point,NA,254
2021-07-12,4 wk ahead inc case,2021-08-07,BG,point,NA,226
2021-07-12,1 wk ahead inc case,2021-07-17,CH,point,NA,1064
2021-07-12,2 wk ahead inc case,2021-07-24,CH,point,NA,1011
2021-07-12,3 wk ahead inc case,2021-07-31,CH,point,NA,920
2021-07-12,4 wk ahead inc case,2021-08-07,CH,point,NA,820
2021-07-12,1 wk ahead inc case,2021-07-17,CY,point,NA,9370
2021-07-12,2 wk ahead inc case,2021-07-24,CY,point,NA,16789
2021-07-12,3 wk ahead inc case,2021-07-31,CY,point,NA,22019
2021-07-12,4 wk ahead inc case,2021-08-07,CY,point,NA,18458
2021-07-12,1 wk ahead inc case,2021-07-17,CZ,point,NA,1655
2021-07-12,2 wk ahead inc case,2021-07-24,CZ,point,NA,2228
2021-07-12,3 wk ahead inc case,2021-07-31,CZ,point,NA,3060
2021-07-12,4 wk ahead inc case,2021-08-07,CZ,point,NA,4385
2021-07-12,1 wk ahead inc case,2021-07-17,DE,point,NA,4544
2021-07-12,2 wk ahead inc case,2021-07-24,DE,point,NA,4591
2021-07-12,3 wk ahead inc case,2021-07-31,DE,point,NA,4721
2021-07-12,4 wk ahead inc case,2021-08-07,DE,point,NA,5166
2021-07-12,1 wk ahead inc case,2021-07-17,EE,point,NA,304
2021-07-12,2 wk ahead inc case,2021-07-24,EE,point,NA,413
2021-07-12,3 wk ahead inc case,2021-07-31,EE,point,NA,605
