forecast_date,target,target_end_date,location,type,quantile,value
2021-06-28,1 wk ahead inc case,2021-07-03,AT,point,NA,566
2021-06-28,2 wk ahead inc case,2021-07-10,AT,point,NA,420
2021-06-28,3 wk ahead inc case,2021-07-17,AT,point,NA,305
2021-06-28,4 wk ahead inc case,2021-07-24,AT,point,NA,227
2021-06-28,1 wk ahead inc case,2021-07-03,BE,point,NA,2154
2021-06-28,2 wk ahead inc case,2021-07-10,BE,point,NA,1341
2021-06-28,3 wk ahead inc case,2021-07-17,BE,point,NA,799
2021-06-28,4 wk ahead inc case,2021-07-24,BE,point,NA,471
2021-06-28,1 wk ahead inc case,2021-07-03,BG,point,NA,435
2021-06-28,2 wk ahead inc case,2021-07-10,BG,point,NA,347
2021-06-28,3 wk ahead inc case,2021-07-17,BG,point,NA,271
2021-06-28,4 wk ahead inc case,2021-07-24,BG,point,NA,213
2021-06-28,1 wk ahead inc case,2021-07-03,CH,point,NA,646
2021-06-28,2 wk ahead inc case,2021-07-10,CH,point,NA,414
2021-06-28,3 wk ahead inc case,2021-07-17,CH,point,NA,275
2021-06-28,4 wk ahead inc case,2021-07-24,CH,point,NA,191
2021-06-28,1 wk ahead inc case,2021-07-03,CY,point,NA,1842
2021-06-28,2 wk ahead inc case,2021-07-10,CY,point,NA,2996
2021-06-28,3 wk ahead inc case,2021-07-17,CY,point,NA,2614
2021-06-28,4 wk ahead inc case,2021-07-24,CY,point,NA,1862
2021-06-28,1 wk ahead inc case,2021-07-03,CZ,point,NA,640
2021-06-28,2 wk ahead inc case,2021-07-10,CZ,point,NA,540
2021-06-28,3 wk ahead inc case,2021-07-17,CZ,point,NA,475
2021-06-28,4 wk ahead inc case,2021-07-24,CZ,point,NA,432
2021-06-28,1 wk ahead inc case,2021-07-03,DE,point,NA,3081
2021-06-28,2 wk ahead inc case,2021-07-10,DE,point,NA,1948
2021-06-28,3 wk ahead inc case,2021-07-17,DE,point,NA,1439
2021-06-28,4 wk ahead inc case,2021-07-24,DE,point,NA,1119
2021-06-28,1 wk ahead inc case,2021-07-03,EE,point,NA,148
2021-06-28,2 wk ahead inc case,2021-07-10,EE,point,NA,104
2021-06-28,3 wk ahead inc case,2021-07-17,EE,point,NA,75
2021-06-28,4 wk ahead inc case,2021-07-24,EE,point,NA,55
2021-06-28,1 wk ahead inc case,2021-07-03,FI,point,NA,705
2021-06-28,2 wk ahead inc case,2021-07-10,FI,point,NA,757
2021-06-28,3 wk ahead inc case,2021-07-17,FI,point,NA,797
2021-06-28,4 wk ahead inc case,2021-07-24,FI,point,NA,826
2021-06-28,1 wk ahead inc case,2021-07-03,FR,point,NA,8949
2021-06-28,2 wk ahead inc case,2021-07-10,FR,point,NA,7261
2021-06-28,3 wk ahead inc case,2021-07-17,FR,point,NA,6265
2021-06-28,4 wk ahead inc case,2021-07-24,FR,point,NA,5425
2021-06-28,1 wk ahead inc case,2021-07-03,GB,point,NA,133460
2021-06-28,2 wk ahead inc case,2021-07-10,GB,point,NA,181501
2021-06-28,3 wk ahead inc case,2021-07-17,GB,point,NA,245560
2021-06-28,4 wk ahead inc case,2021-07-24,GB,point,NA,336591
2021-06-28,1 wk ahead inc case,2021-07-03,GR,point,NA,1984
2021-06-28,2 wk ahead inc case,2021-07-10,GR,point,NA,1419
2021-06-28,3 wk ahead inc case,2021-07-17,GR,point,NA,1014
2021-06-28,4 wk ahead inc case,2021-07-24,GR,point,NA,718
2021-06-28,1 wk ahead inc case,2021-07-03,HR,point,NA,294
2021-06-28,2 wk ahead inc case,2021-07-10,HR,point,NA,246
2021-06-28,3 wk ahead inc case,2021-07-17,HR,point,NA,209
2021-06-28,4 wk ahead inc case,2021-07-24,HR,point,NA,180
2021-06-28,1 wk ahead inc case,2021-07-03,HU,point,NA,319
2021-06-28,2 wk ahead inc case,2021-07-10,HU,point,NA,235
2021-06-28,3 wk ahead inc case,2021-07-17,HU,point,NA,180
2021-06-28,4 wk ahead inc case,2021-07-24,HU,point,NA,145
2021-06-28,1 wk ahead inc case,2021-07-03,IS,point,NA,1
2021-06-28,2 wk ahead inc case,2021-07-10,IS,point,NA,0
2021-06-28,3 wk ahead inc case,2021-07-17,IS,point,NA,0
2021-06-28,4 wk ahead inc case,2021-07-24,IS,point,NA,0
2021-06-28,1 wk ahead inc case,2021-07-03,IT,point,NA,4025
2021-06-28,2 wk ahead inc case,2021-07-10,IT,point,NA,2894
2021-06-28,3 wk ahead inc case,2021-07-17,IT,point,NA,2111
2021-06-28,4 wk ahead inc case,2021-07-24,IT,point,NA,1574
2021-06-28,1 wk ahead inc case,2021-07-03,LI,point,NA,2
2021-06-28,2 wk ahead inc case,2021-07-10,LI,point,NA,2
2021-06-28,3 wk ahead inc case,2021-07-17,LI,point,NA,1
2021-06-28,4 wk ahead inc case,2021-07-24,LI,point,NA,1
2021-06-28,1 wk ahead inc case,2021-07-03,LT,point,NA,153
2021-06-28,2 wk ahead inc case,2021-07-10,LT,point,NA,52
2021-06-28,3 wk ahead inc case,2021-07-17,LT,point,NA,27
2021-06-28,4 wk ahead inc case,2021-07-24,LT,point,NA,15
2021-06-28,1 wk ahead inc case,2021-07-03,LU,point,NA,77
2021-06-28,2 wk ahead inc case,2021-07-10,LU,point,NA,53
2021-06-28,3 wk ahead inc case,2021-07-17,LU,point,NA,37
2021-06-28,4 wk ahead inc case,2021-07-24,LU,point,NA,26
2021-06-28,1 wk ahead inc case,2021-07-03,LV,point,NA,170
2021-06-28,2 wk ahead inc case,2021-07-10,LV,point,NA,64
2021-06-28,3 wk ahead inc case,2021-07-17,LV,point,NA,23
2021-06-28,4 wk ahead inc case,2021-07-24,LV,point,NA,8
2021-06-28,1 wk ahead inc case,2021-07-03,MT,point,NA,11
2021-06-28,2 wk ahead inc case,2021-07-10,MT,point,NA,10
2021-06-28,3 wk ahead inc case,2021-07-17,MT,point,NA,8
2021-06-28,4 wk ahead inc case,2021-07-24,MT,point,NA,7
2021-06-28,1 wk ahead inc case,2021-07-03,NL,point,NA,2932
2021-06-28,2 wk ahead inc case,2021-07-10,NL,point,NA,1817
2021-06-28,3 wk ahead inc case,2021-07-17,NL,point,NA,1092
2021-06-28,4 wk ahead inc case,2021-07-24,NL,point,NA,651
2021-06-28,1 wk ahead inc case,2021-07-03,PL,point,NA,615
2021-06-28,2 wk ahead inc case,2021-07-10,PL,point,NA,380
2021-06-28,3 wk ahead inc case,2021-07-17,PL,point,NA,229
2021-06-28,4 wk ahead inc case,2021-07-24,PL,point,NA,153
2021-06-28,1 wk ahead inc case,2021-07-03,PT,point,NA,11478
2021-06-28,2 wk ahead inc case,2021-07-10,PT,point,NA,14684
2021-06-28,3 wk ahead inc case,2021-07-17,PT,point,NA,18599
2021-06-28,4 wk ahead inc case,2021-07-24,PT,point,NA,23413
2021-06-28,1 wk ahead inc case,2021-07-03,RO,point,NA,292
2021-06-28,2 wk ahead inc case,2021-07-10,RO,point,NA,201
2021-06-28,3 wk ahead inc case,2021-07-17,RO,point,NA,140
2021-06-28,4 wk ahead inc case,2021-07-24,RO,point,NA,91
2021-06-28,1 wk ahead inc case,2021-07-03,SE,point,NA,1712
2021-06-28,2 wk ahead inc case,2021-07-10,SE,point,NA,1217
2021-06-28,3 wk ahead inc case,2021-07-17,SE,point,NA,852
2021-06-28,4 wk ahead inc case,2021-07-24,SE,point,NA,590
2021-06-28,1 wk ahead inc case,2021-07-03,SI,point,NA,196
2021-06-28,2 wk ahead inc case,2021-07-10,SI,point,NA,104
2021-06-28,3 wk ahead inc case,2021-07-17,SI,point,NA,53
2021-06-28,4 wk ahead inc case,2021-07-24,SI,point,NA,32
2021-06-28,1 wk ahead inc case,2021-07-03,SK,point,NA,247
2021-06-28,2 wk ahead inc case,2021-07-10,SK,point,NA,228
2021-06-28,3 wk ahead inc case,2021-07-17,SK,point,NA,209
2021-06-28,4 wk ahead inc case,2021-07-24,SK,point,NA,195
2021-06-28,1 wk ahead inc death,2021-07-03,AT,point,NA,10
2021-06-28,2 wk ahead inc death,2021-07-10,AT,point,NA,7
2021-06-28,3 wk ahead inc death,2021-07-17,AT,point,NA,5
2021-06-28,4 wk ahead inc death,2021-07-24,AT,point,NA,4
2021-06-28,1 wk ahead inc death,2021-07-03,BE,point,NA,22
2021-06-28,2 wk ahead inc death,2021-07-10,BE,point,NA,15
2021-06-28,3 wk ahead inc death,2021-07-17,BE,point,NA,11
2021-06-28,4 wk ahead inc death,2021-07-24,BE,point,NA,9
2021-06-28,1 wk ahead inc death,2021-07-03,BG,point,NA,36
2021-06-28,2 wk ahead inc death,2021-07-10,BG,point,NA,26
2021-06-28,3 wk ahead inc death,2021-07-17,BG,point,NA,19
2021-06-28,4 wk ahead inc death,2021-07-24,BG,point,NA,15
2021-06-28,1 wk ahead inc death,2021-07-03,CH,point,NA,7
2021-06-28,2 wk ahead inc death,2021-07-10,CH,point,NA,4
2021-06-28,3 wk ahead inc death,2021-07-17,CH,point,NA,3
2021-06-28,4 wk ahead inc death,2021-07-24,CH,point,NA,2
2021-06-28,1 wk ahead inc death,2021-07-03,CY,point,NA,3
2021-06-28,2 wk ahead inc death,2021-07-10,CY,point,NA,3
2021-06-28,3 wk ahead inc death,2021-07-17,CY,point,NA,4
2021-06-28,4 wk ahead inc death,2021-07-24,CY,point,NA,6
2021-06-28,1 wk ahead inc death,2021-07-03,CZ,point,NA,16
2021-06-28,2 wk ahead inc death,2021-07-10,CZ,point,NA,11
2021-06-28,3 wk ahead inc death,2021-07-17,CZ,point,NA,8
2021-06-28,4 wk ahead inc death,2021-07-24,CZ,point,NA,6
2021-06-28,1 wk ahead inc death,2021-07-03,DE,point,NA,255
2021-06-28,2 wk ahead inc death,2021-07-10,DE,point,NA,175
2021-06-28,3 wk ahead inc death,2021-07-17,DE,point,NA,125
2021-06-28,4 wk ahead inc death,2021-07-24,DE,point,NA,86
2021-06-28,1 wk ahead inc death,2021-07-03,EE,point,NA,1
2021-06-28,2 wk ahead inc death,2021-07-10,EE,point,NA,1
2021-06-28,3 wk ahead inc death,2021-07-17,EE,point,NA,1
2021-06-28,4 wk ahead inc death,2021-07-24,EE,point,NA,0
2021-06-28,1 wk ahead inc death,2021-07-03,ES,point,NA,111
2021-06-28,2 wk ahead inc death,2021-07-10,ES,point,NA,103
2021-06-28,3 wk ahead inc death,2021-07-17,ES,point,NA,94
2021-06-28,4 wk ahead inc death,2021-07-24,ES,point,NA,86
2021-06-28,1 wk ahead inc death,2021-07-03,FI,point,NA,2
2021-06-28,2 wk ahead inc death,2021-07-10,FI,point,NA,2
2021-06-28,3 wk ahead inc death,2021-07-17,FI,point,NA,2
