forecast_date,target,target_end_date,location,type,quantile,value
2021-09-06,1 wk ahead inc case,2021-09-11,AT,point,NA,13045
2021-09-06,2 wk ahead inc case,2021-09-18,AT,point,NA,15383
2021-09-06,3 wk ahead inc case,2021-09-25,AT,point,NA,17530
2021-09-06,4 wk ahead inc case,2021-10-02,AT,point,NA,19744
2021-09-06,1 wk ahead inc case,2021-09-11,BG,point,NA,10323
2021-09-06,2 wk ahead inc case,2021-09-18,BG,point,NA,10261
2021-09-06,3 wk ahead inc case,2021-09-25,BG,point,NA,10226
2021-09-06,4 wk ahead inc case,2021-10-02,BG,point,NA,10161
2021-09-06,1 wk ahead inc case,2021-09-11,CY,point,NA,1151
2021-09-06,2 wk ahead inc case,2021-09-18,CY,point,NA,1018
2021-09-06,3 wk ahead inc case,2021-09-25,CY,point,NA,980
2021-09-06,4 wk ahead inc case,2021-10-02,CY,point,NA,999
2021-09-06,1 wk ahead inc case,2021-09-11,CZ,point,NA,1757
2021-09-06,2 wk ahead inc case,2021-09-18,CZ,point,NA,1913
2021-09-06,3 wk ahead inc case,2021-09-25,CZ,point,NA,2023
2021-09-06,4 wk ahead inc case,2021-10-02,CZ,point,NA,2179
2021-09-06,1 wk ahead inc case,2021-09-11,DE,point,NA,86350
2021-09-06,2 wk ahead inc case,2021-09-18,DE,point,NA,107645
2021-09-06,3 wk ahead inc case,2021-09-25,DE,point,NA,125837
2021-09-06,4 wk ahead inc case,2021-10-02,DE,point,NA,145952
2021-09-06,1 wk ahead inc case,2021-09-11,EE,point,NA,2505
2021-09-06,2 wk ahead inc case,2021-09-18,EE,point,NA,2646
2021-09-06,3 wk ahead inc case,2021-09-25,EE,point,NA,2780
2021-09-06,4 wk ahead inc case,2021-10-02,EE,point,NA,2876
2021-09-06,1 wk ahead inc case,2021-09-11,FI,point,NA,5075
2021-09-06,2 wk ahead inc case,2021-09-18,FI,point,NA,5205
2021-09-06,3 wk ahead inc case,2021-09-25,FI,point,NA,5459
2021-09-06,4 wk ahead inc case,2021-10-02,FI,point,NA,5588
2021-09-06,1 wk ahead inc case,2021-09-11,HR,point,NA,5794
2021-09-06,2 wk ahead inc case,2021-09-18,HR,point,NA,7550
2021-09-06,3 wk ahead inc case,2021-09-25,HR,point,NA,9508
2021-09-06,4 wk ahead inc case,2021-10-02,HR,point,NA,11637
2021-09-06,1 wk ahead inc case,2021-09-11,HU,point,NA,1577
2021-09-06,2 wk ahead inc case,2021-09-18,HU,point,NA,2047
2021-09-06,3 wk ahead inc case,2021-09-25,HU,point,NA,2644
2021-09-06,4 wk ahead inc case,2021-10-02,HU,point,NA,3422
2021-09-06,1 wk ahead inc case,2021-09-11,IE,point,NA,8074
2021-09-06,2 wk ahead inc case,2021-09-18,IE,point,NA,7179
2021-09-06,3 wk ahead inc case,2021-09-25,IE,point,NA,7013
2021-09-06,4 wk ahead inc case,2021-10-02,IE,point,NA,7142
2021-09-06,1 wk ahead inc case,2021-09-11,LV,point,NA,2907
2021-09-06,2 wk ahead inc case,2021-09-18,LV,point,NA,4117
2021-09-06,3 wk ahead inc case,2021-09-25,LV,point,NA,5239
2021-09-06,4 wk ahead inc case,2021-10-02,LV,point,NA,6756
2021-09-06,1 wk ahead inc case,2021-09-11,NO,point,NA,13564
2021-09-06,2 wk ahead inc case,2021-09-18,NO,point,NA,18713
2021-09-06,3 wk ahead inc case,2021-09-25,NO,point,NA,25558
2021-09-06,4 wk ahead inc case,2021-10-02,NO,point,NA,34432
2021-09-06,1 wk ahead inc case,2021-09-11,PL,point,NA,2799
2021-09-06,2 wk ahead inc case,2021-09-18,PL,point,NA,4019
2021-09-06,3 wk ahead inc case,2021-09-25,PL,point,NA,4816
2021-09-06,4 wk ahead inc case,2021-10-02,PL,point,NA,5276
2021-09-06,1 wk ahead inc case,2021-09-11,RO,point,NA,12808
2021-09-06,2 wk ahead inc case,2021-09-18,RO,point,NA,19941
2021-09-06,3 wk ahead inc case,2021-09-25,RO,point,NA,27064
2021-09-06,4 wk ahead inc case,2021-10-02,RO,point,NA,31712
2021-09-06,1 wk ahead inc case,2021-09-11,SE,point,NA,8064
2021-09-06,2 wk ahead inc case,2021-09-18,SE,point,NA,8805
2021-09-06,3 wk ahead inc case,2021-09-25,SE,point,NA,9578
2021-09-06,4 wk ahead inc case,2021-10-02,SE,point,NA,10321
2021-09-06,1 wk ahead inc case,2021-09-11,SI,point,NA,4450
2021-09-06,2 wk ahead inc case,2021-09-18,SI,point,NA,5420
2021-09-06,3 wk ahead inc case,2021-09-25,SI,point,NA,6506
2021-09-06,4 wk ahead inc case,2021-10-02,SI,point,NA,7679
2021-09-06,1 wk ahead inc case,2021-09-11,SK,point,NA,1665
2021-09-06,2 wk ahead inc case,2021-09-18,SK,point,NA,2426
2021-09-06,3 wk ahead inc case,2021-09-25,SK,point,NA,3321
2021-09-06,4 wk ahead inc case,2021-10-02,SK,point,NA,4302
2021-09-06,1 wk ahead inc death,2021-09-11,AT,point,NA,25
2021-09-06,2 wk ahead inc death,2021-09-18,AT,point,NA,30
2021-09-06,3 wk ahead inc death,2021-09-25,AT,point,NA,35
2021-09-06,4 wk ahead inc death,2021-10-02,AT,point,NA,42
2021-09-06,1 wk ahead inc death,2021-09-11,BE,point,NA,33
2021-09-06,2 wk ahead inc death,2021-09-18,BE,point,NA,28
2021-09-06,3 wk ahead inc death,2021-09-25,BE,point,NA,28
2021-09-06,4 wk ahead inc death,2021-10-02,BE,point,NA,28
2021-09-06,1 wk ahead inc death,2021-09-11,BG,point,NA,471
2021-09-06,2 wk ahead inc death,2021-09-18,BG,point,NA,581
2021-09-06,3 wk ahead inc death,2021-09-25,BG,point,NA,673
2021-09-06,4 wk ahead inc death,2021-10-02,BG,point,NA,777
2021-09-06,1 wk ahead inc death,2021-09-11,CH,point,NA,50
2021-09-06,2 wk ahead inc death,2021-09-18,CH,point,NA,61
2021-09-06,3 wk ahead inc death,2021-09-25,CH,point,NA,76
2021-09-06,4 wk ahead inc death,2021-10-02,CH,point,NA,92
2021-09-06,1 wk ahead inc death,2021-09-11,CZ,point,NA,10
2021-09-06,2 wk ahead inc death,2021-09-18,CZ,point,NA,10
2021-09-06,3 wk ahead inc death,2021-09-25,CZ,point,NA,10
2021-09-06,4 wk ahead inc death,2021-10-02,CZ,point,NA,11
2021-09-06,1 wk ahead inc death,2021-09-11,DE,point,NA,225
2021-09-06,2 wk ahead inc death,2021-09-18,DE,point,NA,269
2021-09-06,3 wk ahead inc death,2021-09-25,DE,point,NA,296
2021-09-06,4 wk ahead inc death,2021-10-02,DE,point,NA,326
2021-09-06,1 wk ahead inc death,2021-09-11,DK,point,NA,10
2021-09-06,2 wk ahead inc death,2021-09-18,DK,point,NA,10
2021-09-06,3 wk ahead inc death,2021-09-25,DK,point,NA,11
2021-09-06,4 wk ahead inc death,2021-10-02,DK,point,NA,10
2021-09-06,1 wk ahead inc death,2021-09-11,EE,point,NA,9
2021-09-06,2 wk ahead inc death,2021-09-18,EE,point,NA,10
2021-09-06,3 wk ahead inc death,2021-09-25,EE,point,NA,12
2021-09-06,4 wk ahead inc death,2021-10-02,EE,point,NA,13
2021-09-06,1 wk ahead inc death,2021-09-11,ES,point,NA,885
2021-09-06,2 wk ahead inc death,2021-09-18,ES,point,NA,918
2021-09-06,3 wk ahead inc death,2021-09-25,ES,point,NA,986
2021-09-06,4 wk ahead inc death,2021-10-02,ES,point,NA,1042
2021-09-06,1 wk ahead inc death,2021-09-11,FI,point,NA,11
2021-09-06,2 wk ahead inc death,2021-09-18,FI,point,NA,11
