forecast_date,target,target_end_date,location,type,quantile,value
2021-05-03,1 wk ahead inc case,2021-05-08,AT,point,NA,13070
2021-05-03,2 wk ahead inc case,2021-05-15,AT,point,NA,12141
2021-05-03,3 wk ahead inc case,2021-05-22,AT,point,NA,11420
2021-05-03,4 wk ahead inc case,2021-05-29,AT,point,NA,10669
2021-05-03,1 wk ahead inc case,2021-05-08,BG,point,NA,6204
2021-05-03,2 wk ahead inc case,2021-05-15,BG,point,NA,5231
2021-05-03,3 wk ahead inc case,2021-05-22,BG,point,NA,4943
2021-05-03,4 wk ahead inc case,2021-05-29,BG,point,NA,4906
2021-05-03,1 wk ahead inc case,2021-05-08,CY,point,NA,6156
2021-05-03,2 wk ahead inc case,2021-05-15,CY,point,NA,6758
2021-05-03,3 wk ahead inc case,2021-05-22,CY,point,NA,7418
2021-05-03,4 wk ahead inc case,2021-05-29,CY,point,NA,8143
2021-05-03,1 wk ahead inc case,2021-05-08,CZ,point,NA,10081
2021-05-03,2 wk ahead inc case,2021-05-15,CZ,point,NA,8499
2021-05-03,3 wk ahead inc case,2021-05-22,CZ,point,NA,7520
2021-05-03,4 wk ahead inc case,2021-05-29,CZ,point,NA,6905
2021-05-03,1 wk ahead inc case,2021-05-08,DK,point,NA,4959
2021-05-03,2 wk ahead inc case,2021-05-15,DK,point,NA,5236
2021-05-03,3 wk ahead inc case,2021-05-22,DK,point,NA,5626
2021-05-03,4 wk ahead inc case,2021-05-29,DK,point,NA,5928
2021-05-03,1 wk ahead inc case,2021-05-08,EE,point,NA,2095
2021-05-03,2 wk ahead inc case,2021-05-15,EE,point,NA,2039
2021-05-03,3 wk ahead inc case,2021-05-22,EE,point,NA,2095
2021-05-03,4 wk ahead inc case,2021-05-29,EE,point,NA,2194
2021-05-03,1 wk ahead inc case,2021-05-08,FI,point,NA,1190
2021-05-03,2 wk ahead inc case,2021-05-15,FI,point,NA,1062
2021-05-03,3 wk ahead inc case,2021-05-22,FI,point,NA,1019
2021-05-03,4 wk ahead inc case,2021-05-29,FI,point,NA,1035
2021-05-03,1 wk ahead inc case,2021-05-08,FR,point,NA,0
2021-05-03,2 wk ahead inc case,2021-05-15,FR,point,NA,0
2021-05-03,3 wk ahead inc case,2021-05-22,FR,point,NA,0
2021-05-03,4 wk ahead inc case,2021-05-29,FR,point,NA,0
2021-05-03,1 wk ahead inc case,2021-05-08,GB,point,NA,14053
2021-05-03,2 wk ahead inc case,2021-05-15,GB,point,NA,12990
2021-05-03,3 wk ahead inc case,2021-05-22,GB,point,NA,12358
2021-05-03,4 wk ahead inc case,2021-05-29,GB,point,NA,12011
2021-05-03,1 wk ahead inc case,2021-05-08,HR,point,NA,11114
2021-05-03,2 wk ahead inc case,2021-05-15,HR,point,NA,10683
2021-05-03,3 wk ahead inc case,2021-05-22,HR,point,NA,10436
2021-05-03,4 wk ahead inc case,2021-05-29,HR,point,NA,10197
2021-05-03,1 wk ahead inc case,2021-05-08,HU,point,NA,9681
2021-05-03,2 wk ahead inc case,2021-05-15,HU,point,NA,7411
2021-05-03,3 wk ahead inc case,2021-05-22,HU,point,NA,6694
2021-05-03,4 wk ahead inc case,2021-05-29,HU,point,NA,6612
2021-05-03,1 wk ahead inc case,2021-05-08,IE,point,NA,3417
2021-05-03,2 wk ahead inc case,2021-05-15,IE,point,NA,3683
2021-05-03,3 wk ahead inc case,2021-05-22,IE,point,NA,3996
2021-05-03,4 wk ahead inc case,2021-05-29,IE,point,NA,4308
2021-05-03,1 wk ahead inc case,2021-05-08,IT,point,NA,65850
2021-05-03,2 wk ahead inc case,2021-05-15,IT,point,NA,62976
2021-05-03,3 wk ahead inc case,2021-05-22,IT,point,NA,64660
2021-05-03,4 wk ahead inc case,2021-05-29,IT,point,NA,69734
2021-05-03,1 wk ahead inc case,2021-05-08,LT,point,NA,8330
2021-05-03,2 wk ahead inc case,2021-05-15,LT,point,NA,8654
2021-05-03,3 wk ahead inc case,2021-05-22,LT,point,NA,8856
2021-05-03,4 wk ahead inc case,2021-05-29,LT,point,NA,9135
2021-05-03,1 wk ahead inc case,2021-05-08,MT,point,NA,121
2021-05-03,2 wk ahead inc case,2021-05-15,MT,point,NA,103
2021-05-03,3 wk ahead inc case,2021-05-22,MT,point,NA,93
2021-05-03,4 wk ahead inc case,2021-05-29,MT,point,NA,89
2021-05-03,1 wk ahead inc case,2021-05-08,NO,point,NA,2677
2021-05-03,2 wk ahead inc case,2021-05-15,NO,point,NA,2492
2021-05-03,3 wk ahead inc case,2021-05-22,NO,point,NA,2276
2021-05-03,4 wk ahead inc case,2021-05-29,NO,point,NA,2105
2021-05-03,1 wk ahead inc case,2021-05-08,PL,point,NA,33444
2021-05-03,2 wk ahead inc case,2021-05-15,PL,point,NA,25067
2021-05-03,3 wk ahead inc case,2021-05-22,PL,point,NA,19237
2021-05-03,4 wk ahead inc case,2021-05-29,PL,point,NA,16191
2021-05-03,1 wk ahead inc case,2021-05-08,PT,point,NA,2832
2021-05-03,2 wk ahead inc case,2021-05-15,PT,point,NA,2733
2021-05-03,3 wk ahead inc case,2021-05-22,PT,point,NA,2686
2021-05-03,4 wk ahead inc case,2021-05-29,PT,point,NA,2705
2021-05-03,1 wk ahead inc case,2021-05-08,RO,point,NA,8965
2021-05-03,2 wk ahead inc case,2021-05-15,RO,point,NA,6940
2021-05-03,3 wk ahead inc case,2021-05-22,RO,point,NA,6010
2021-05-03,4 wk ahead inc case,2021-05-29,RO,point,NA,5822
2021-05-03,1 wk ahead inc case,2021-05-08,SK,point,NA,2566
2021-05-03,2 wk ahead inc case,2021-05-15,SK,point,NA,2123
2021-05-03,3 wk ahead inc case,2021-05-22,SK,point,NA,1870
2021-05-03,4 wk ahead inc case,2021-05-29,SK,point,NA,1719
2021-05-03,1 wk ahead inc death,2021-05-08,AT,point,NA,136
2021-05-03,2 wk ahead inc death,2021-05-15,AT,point,NA,113
2021-05-03,3 wk ahead inc death,2021-05-22,AT,point,NA,94
2021-05-03,4 wk ahead inc death,2021-05-29,AT,point,NA,78
2021-05-03,1 wk ahead inc death,2021-05-08,BE,point,NA,247
2021-05-03,2 wk ahead inc death,2021-05-15,BE,point,NA,224
2021-05-03,3 wk ahead inc death,2021-05-22,BE,point,NA,203
2021-05-03,4 wk ahead inc death,2021-05-29,BE,point,NA,188
2021-05-03,1 wk ahead inc death,2021-05-08,BG,point,NA,461
2021-05-03,2 wk ahead inc death,2021-05-15,BG,point,NA,360
2021-05-03,3 wk ahead inc death,2021-05-22,BG,point,NA,275
2021-05-03,4 wk ahead inc death,2021-05-29,BG,point,NA,208
2021-05-03,1 wk ahead inc death,2021-05-08,CH,point,NA,69
2021-05-03,2 wk ahead inc death,2021-05-15,CH,point,NA,68
2021-05-03,3 wk ahead inc death,2021-05-22,CH,point,NA,65
2021-05-03,4 wk ahead inc death,2021-05-29,CH,point,NA,63
2021-05-03,1 wk ahead inc death,2021-05-08,CZ,point,NA,286
2021-05-03,2 wk ahead inc death,2021-05-15,CZ,point,NA,228
2021-05-03,3 wk ahead inc death,2021-05-22,CZ,point,NA,185
2021-05-03,4 wk ahead inc death,2021-05-29,CZ,point,NA,150
2021-05-03,1 wk ahead inc death,2021-05-08,DE,point,NA,1616
2021-05-03,2 wk ahead inc death,2021-05-15,DE,point,NA,1578
2021-05-03,3 wk ahead inc death,2021-05-22,DE,point,NA,1555
2021-05-03,4 wk ahead inc death,2021-05-29,DE,point,NA,1506
