forecast_date,target,target_end_date,location,type,quantile,value
2021-07-26,1 wk ahead inc case,2021-07-31,AT,point,NA,2791
2021-07-26,2 wk ahead inc case,2021-08-07,AT,point,NA,3206
2021-07-26,3 wk ahead inc case,2021-08-14,AT,point,NA,3424
2021-07-26,4 wk ahead inc case,2021-08-21,AT,point,NA,3470
2021-07-26,1 wk ahead inc case,2021-07-31,BE,point,NA,9830
2021-07-26,2 wk ahead inc case,2021-08-07,BE,point,NA,10538
2021-07-26,3 wk ahead inc case,2021-08-14,BE,point,NA,10107
2021-07-26,4 wk ahead inc case,2021-08-21,BE,point,NA,8860
2021-07-26,1 wk ahead inc case,2021-07-31,BG,point,NA,838
2021-07-26,2 wk ahead inc case,2021-08-07,BG,point,NA,1038
2021-07-26,3 wk ahead inc case,2021-08-14,BG,point,NA,1217
2021-07-26,4 wk ahead inc case,2021-08-21,BG,point,NA,1383
2021-07-26,1 wk ahead inc case,2021-07-31,CH,point,NA,5307
2021-07-26,2 wk ahead inc case,2021-08-07,CH,point,NA,5642
2021-07-26,3 wk ahead inc case,2021-08-14,CH,point,NA,5232
2021-07-26,4 wk ahead inc case,2021-08-21,CH,point,NA,4626
2021-07-26,1 wk ahead inc case,2021-07-31,CZ,point,NA,1492
2021-07-26,2 wk ahead inc case,2021-08-07,CZ,point,NA,1365
2021-07-26,3 wk ahead inc case,2021-08-14,CZ,point,NA,1194
2021-07-26,4 wk ahead inc case,2021-08-21,CZ,point,NA,1021
2021-07-26,1 wk ahead inc case,2021-07-31,DE,point,NA,14027
2021-07-26,2 wk ahead inc case,2021-08-07,DE,point,NA,17073
2021-07-26,3 wk ahead inc case,2021-08-14,DE,point,NA,20158
2021-07-26,4 wk ahead inc case,2021-08-21,DE,point,NA,23333
2021-07-26,1 wk ahead inc case,2021-07-31,EE,point,NA,796
2021-07-26,2 wk ahead inc case,2021-08-07,EE,point,NA,1095
2021-07-26,3 wk ahead inc case,2021-08-14,EE,point,NA,1172
2021-07-26,4 wk ahead inc case,2021-08-21,EE,point,NA,1185
2021-07-26,1 wk ahead inc case,2021-07-31,FI,point,NA,3412
2021-07-26,2 wk ahead inc case,2021-08-07,FI,point,NA,3948
