forecast_date,target,target_end_date,location,type,quantile,value
2021-08-09,1 wk ahead inc case,2021-08-14,AT,point,NA,3973
2021-08-09,2 wk ahead inc case,2021-08-21,AT,point,NA,4339
2021-08-09,3 wk ahead inc case,2021-08-28,AT,point,NA,4613
2021-08-09,4 wk ahead inc case,2021-09-04,AT,point,NA,4839
2021-08-09,1 wk ahead inc case,2021-08-14,BG,point,NA,5383
2021-08-09,2 wk ahead inc case,2021-08-21,BG,point,NA,10228
2021-08-09,3 wk ahead inc case,2021-08-28,BG,point,NA,18538
2021-08-09,4 wk ahead inc case,2021-09-04,BG,point,NA,33431
2021-08-09,1 wk ahead inc case,2021-08-14,CH,point,NA,5688
2021-08-09,2 wk ahead inc case,2021-08-21,CH,point,NA,5175
2021-08-09,3 wk ahead inc case,2021-08-28,CH,point,NA,4625
2021-08-09,4 wk ahead inc case,2021-09-04,CH,point,NA,4102
2021-08-09,1 wk ahead inc case,2021-08-14,CY,point,NA,3149
2021-08-09,2 wk ahead inc case,2021-08-21,CY,point,NA,3246
2021-08-09,3 wk ahead inc case,2021-08-28,CY,point,NA,3264
2021-08-09,4 wk ahead inc case,2021-09-04,CY,point,NA,3244
2021-08-09,1 wk ahead inc case,2021-08-14,CZ,point,NA,1223
2021-08-09,2 wk ahead inc case,2021-08-21,CZ,point,NA,1298
2021-08-09,3 wk ahead inc case,2021-08-28,CZ,point,NA,1407
2021-08-09,4 wk ahead inc case,2021-09-04,CZ,point,NA,1586
2021-08-09,1 wk ahead inc case,2021-08-14,DE,point,NA,23255
2021-08-09,2 wk ahead inc case,2021-08-21,DE,point,NA,27159
2021-08-09,3 wk ahead inc case,2021-08-28,DE,point,NA,30678
2021-08-09,4 wk ahead inc case,2021-09-04,DE,point,NA,32965
2021-08-09,1 wk ahead inc case,2021-08-14,EE,point,NA,1994
2021-08-09,2 wk ahead inc case,2021-08-21,EE,point,NA,2800
2021-08-09,3 wk ahead inc case,2021-08-28,EE,point,NA,3654
2021-08-09,4 wk ahead inc case,2021-09-04,EE,point,NA,4699
2021-08-09,1 wk ahead inc case,2021-08-14,FI,point,NA,5909
2021-08-09,2 wk ahead inc case,2021-08-21,FI,point,NA,5828
2021-08-09,3 wk ahead inc case,2021-08-28,FI,point,NA,6111
2021-08-09,4 wk ahead inc case,2021-09-04,FI,point,NA,5767
2021-08-09,1 wk ahead inc case,2021-08-14,FR,point,NA,129588
2021-08-09,2 wk ahead inc case,2021-08-21,FR,point,NA,120974
2021-08-09,3 wk ahead inc case,2021-08-28,FR,point,NA,120829
2021-08-09,4 wk ahead inc case,2021-09-04,FR,point,NA,120401
2021-08-09,1 wk ahead inc case,2021-08-14,GB,point,NA,104100
2021-08-09,2 wk ahead inc case,2021-08-21,GB,point,NA,71992
2021-08-09,3 wk ahead inc case,2021-08-28,GB,point,NA,48976
2021-08-09,4 wk ahead inc case,2021-09-04,GB,point,NA,32841
2021-08-09,1 wk ahead inc case,2021-08-14,GR,point,NA,19101
2021-08-09,2 wk ahead inc case,2021-08-21,GR,point,NA,19478
2021-08-09,3 wk ahead inc case,2021-08-28,GR,point,NA,19888
2021-08-09,4 wk ahead inc case,2021-09-04,GR,point,NA,20049
2021-08-09,1 wk ahead inc case,2021-08-14,HR,point,NA,1425
2021-08-09,2 wk ahead inc case,2021-08-21,HR,point,NA,1536
2021-08-09,3 wk ahead inc case,2021-08-28,HR,point,NA,1662
2021-08-09,4 wk ahead inc case,2021-09-04,HR,point,NA,1785
2021-08-09,1 wk ahead inc case,2021-08-14,HU,point,NA,279
2021-08-09,2 wk ahead inc case,2021-08-21,HU,point,NA,258
2021-08-09,3 wk ahead inc case,2021-08-28,HU,point,NA,244
2021-08-09,4 wk ahead inc case,2021-09-04,HU,point,NA,233
2021-08-09,1 wk ahead inc case,2021-08-14,IE,point,NA,13848
2021-08-09,2 wk ahead inc case,2021-08-21,IE,point,NA,11879
2021-08-09,3 wk ahead inc case,2021-08-28,IE,point,NA,9083
2021-08-09,4 wk ahead inc case,2021-09-04,IE,point,NA,6945
2021-08-09,1 wk ahead inc case,2021-08-14,IT,point,NA,41757
2021-08-09,2 wk ahead inc case,2021-08-21,IT,point,NA,45306
2021-08-09,3 wk ahead inc case,2021-08-28,IT,point,NA,49475
2021-08-09,4 wk ahead inc case,2021-09-04,IT,point,NA,53455
2021-08-09,1 wk ahead inc case,2021-08-14,LI,point,NA,12
2021-08-09,2 wk ahead inc case,2021-08-21,LI,point,NA,14
2021-08-09,3 wk ahead inc case,2021-08-28,LI,point,NA,16
2021-08-09,4 wk ahead inc case,2021-09-04,LI,point,NA,18
2021-08-09,1 wk ahead inc case,2021-08-14,LT,point,NA,4434
2021-08-09,2 wk ahead inc case,2021-08-21,LT,point,NA,5740
2021-08-09,3 wk ahead inc case,2021-08-28,LT,point,NA,6448
2021-08-09,4 wk ahead inc case,2021-09-04,LT,point,NA,7182
2021-08-09,1 wk ahead inc case,2021-08-14,LV,point,NA,593
2021-08-09,2 wk ahead inc case,2021-08-21,LV,point,NA,720
2021-08-09,3 wk ahead inc case,2021-08-28,LV,point,NA,846
2021-08-09,4 wk ahead inc case,2021-09-04,LV,point,NA,981
2021-08-09,1 wk ahead inc case,2021-08-14,PL,point,NA,1190
2021-08-09,2 wk ahead inc case,2021-08-21,PL,point,NA,1413
2021-08-09,3 wk ahead inc case,2021-08-28,PL,point,NA,1668
2021-08-09,4 wk ahead inc case,2021-09-04,PL,point,NA,1951
2021-08-09,1 wk ahead inc case,2021-08-14,RO,point,NA,1990
2021-08-09,2 wk ahead inc case,2021-08-21,RO,point,NA,2740
2021-08-09,3 wk ahead inc case,2021-08-28,RO,point,NA,3517
2021-08-09,4 wk ahead inc case,2021-09-04,RO,point,NA,4236
2021-08-09,1 wk ahead inc case,2021-08-14,SE,point,NA,4898
