forecast_date,target,target_end_date,location,type,quantile,value
2022-02-14,1 wk ahead inc case,2022-02-19,AT,point,NA,183570
2022-02-14,2 wk ahead inc case,2022-02-26,AT,point,NA,135323
2022-02-14,3 wk ahead inc case,2022-03-05,AT,point,NA,99031
2022-02-14,4 wk ahead inc case,2022-03-12,AT,point,NA,85081
2022-02-14,1 wk ahead inc case,2022-02-19,BE,point,NA,47340
2022-02-14,2 wk ahead inc case,2022-02-26,BE,point,NA,17989
2022-02-14,3 wk ahead inc case,2022-03-05,BE,point,NA,16951
2022-02-14,4 wk ahead inc case,2022-03-12,BE,point,NA,42989
2022-02-14,1 wk ahead inc case,2022-02-19,BG,point,NA,33339
2022-02-14,2 wk ahead inc case,2022-02-26,BG,point,NA,26645
2022-02-14,3 wk ahead inc case,2022-03-05,BG,point,NA,21970
2022-02-14,4 wk ahead inc case,2022-03-12,BG,point,NA,19079
2022-02-14,1 wk ahead inc case,2022-02-19,CH,point,NA,129591
2022-02-14,2 wk ahead inc case,2022-02-26,CH,point,NA,98507
2022-02-14,3 wk ahead inc case,2022-03-05,CH,point,NA,79865
2022-02-14,4 wk ahead inc case,2022-03-12,CH,point,NA,68203
2022-02-14,1 wk ahead inc case,2022-02-19,CZ,point,NA,88225
2022-02-14,2 wk ahead inc case,2022-02-26,CZ,point,NA,73077
2022-02-14,3 wk ahead inc case,2022-03-05,CZ,point,NA,60598
2022-02-14,4 wk ahead inc case,2022-03-12,CZ,point,NA,49913
2022-02-14,1 wk ahead inc case,2022-02-19,DE,point,NA,1245706
2022-02-14,2 wk ahead inc case,2022-02-26,DE,point,NA,1085710
2022-02-14,3 wk ahead inc case,2022-03-05,DE,point,NA,879888
2022-02-14,4 wk ahead inc case,2022-03-12,DE,point,NA,761598
2022-02-14,1 wk ahead inc case,2022-02-19,DK,point,NA,330516
2022-02-14,2 wk ahead inc case,2022-02-26,DK,point,NA,344278
2022-02-14,3 wk ahead inc case,2022-03-05,DK,point,NA,349154
2022-02-14,4 wk ahead inc case,2022-03-12,DK,point,NA,335778
2022-02-14,1 wk ahead inc case,2022-02-19,EE,point,NA,38274
2022-02-14,2 wk ahead inc case,2022-02-26,EE,point,NA,34602
2022-02-14,3 wk ahead inc case,2022-03-05,EE,point,NA,30760
2022-02-14,4 wk ahead inc case,2022-03-12,EE,point,NA,27777
2022-02-14,1 wk ahead inc case,2022-02-19,FR,point,NA,477509
2022-02-14,2 wk ahead inc case,2022-02-26,FR,point,NA,232951
2022-02-14,3 wk ahead inc case,2022-03-05,FR,point,NA,113083
2022-02-14,4 wk ahead inc case,2022-03-12,FR,point,NA,55993
2022-02-14,1 wk ahead inc case,2022-02-19,GB,point,NA,1240000
2022-02-14,2 wk ahead inc case,2022-02-26,GB,point,NA,1200000
2022-02-14,3 wk ahead inc case,2022-03-05,GB,point,NA,1160000
2022-02-14,4 wk ahead inc case,2022-03-12,GB,point,NA,1120000
2022-02-14,1 wk ahead inc case,2022-02-19,HR,point,NA,29943
2022-02-14,2 wk ahead inc case,2022-02-26,HR,point,NA,24114
2022-02-14,3 wk ahead inc case,2022-03-05,HR,point,NA,21299
2022-02-14,4 wk ahead inc case,2022-03-12,HR,point,NA,20300
2022-02-14,1 wk ahead inc case,2022-02-19,HU,point,NA,53112
2022-02-14,2 wk ahead inc case,2022-02-26,HU,point,NA,28437
2022-02-14,3 wk ahead inc case,2022-03-05,HU,point,NA,13368
