forecast_date,target,target_end_date,location,type,quantile,value
2021-11-22,1 wk ahead inc case,2021-11-27,AT,point,NA,113636
2021-11-22,1 wk ahead inc case,2021-11-27,BE,point,NA,126685
2021-11-22,1 wk ahead inc case,2021-11-27,BG,point,NA,12514
2021-11-22,1 wk ahead inc case,2021-11-27,CZ,point,NA,130470
2021-11-22,1 wk ahead inc case,2021-11-27,DE,point,NA,371936
2021-11-22,1 wk ahead inc case,2021-11-27,EE,point,NA,5088
2021-11-22,1 wk ahead inc case,2021-11-27,GR,point,NA,40102
2021-11-22,1 wk ahead inc case,2021-11-27,HR,point,NA,32009
2021-11-22,1 wk ahead inc case,2021-11-27,HU,point,NA,70134
2021-11-22,1 wk ahead inc case,2021-11-27,IE,point,NA,30381
2021-11-22,1 wk ahead inc case,2021-11-27,LI,point,NA,430
2021-11-22,1 wk ahead inc case,2021-11-27,LT,point,NA,10583
2021-11-22,1 wk ahead inc case,2021-11-27,NO,point,NA,15821
2021-11-22,1 wk ahead inc case,2021-11-27,PL,point,NA,173660
2021-11-22,1 wk ahead inc case,2021-11-27,RO,point,NA,12497
2021-11-22,1 wk ahead inc case,2021-11-27,SI,point,NA,22045
2021-11-22,2 wk ahead inc case,2021-12-04,AT,point,NA,130552
2021-11-22,2 wk ahead inc case,2021-12-04,BE,point,NA,153275
2021-11-22,2 wk ahead inc case,2021-12-04,BG,point,NA,8694
2021-11-22,2 wk ahead inc case,2021-12-04,CZ,point,NA,162452
2021-11-22,2 wk ahead inc case,2021-12-04,DE,point,NA,409738
2021-11-22,2 wk ahead inc case,2021-12-04,EE,point,NA,4305
2021-11-22,2 wk ahead inc case,2021-12-04,GR,point,NA,37292
2021-11-22,2 wk ahead inc case,2021-12-04,HR,point,NA,30125
2021-11-22,2 wk ahead inc case,2021-12-04,HU,point,NA,80090
2021-11-22,2 wk ahead inc case,2021-12-04,IE,point,NA,30750
2021-11-22,2 wk ahead inc case,2021-12-04,LI,point,NA,597
2021-11-22,2 wk ahead inc case,2021-12-04,LT,point,NA,8477
2021-11-22,2 wk ahead inc case,2021-12-04,NO,point,NA,16497
2021-11-22,2 wk ahead inc case,2021-12-04,PL,point,NA,204453
2021-11-22,2 wk ahead inc case,2021-12-04,RO,point,NA,6257
2021-11-22,2 wk ahead inc case,2021-12-04,SI,point,NA,20767
2021-11-22,3 wk ahead inc case,2021-12-11,AT,point,NA,148587
2021-11-22,3 wk ahead inc case,2021-12-11,BE,point,NA,172800
2021-11-22,3 wk ahead inc case,2021-12-11,BG,point,NA,5911
2021-11-22,3 wk ahead inc case,2021-12-11,CZ,point,NA,188994
2021-11-22,3 wk ahead inc case,2021-12-11,DE,point,NA,423216
2021-11-22,3 wk ahead inc case,2021-12-11,EE,point,NA,3704
2021-11-22,3 wk ahead inc case,2021-12-11,GR,point,NA,37021
2021-11-22,3 wk ahead inc case,2021-12-11,HR,point,NA,28602
2021-11-22,3 wk ahead inc case,2021-12-11,HU,point,NA,89158
2021-11-22,3 wk ahead inc case,2021-12-11,IE,point,NA,30996
2021-11-22,3 wk ahead inc case,2021-12-11,LI,point,NA,810
2021-11-22,3 wk ahead inc case,2021-12-11,LT,point,NA,6806
2021-11-22,3 wk ahead inc case,2021-12-11,NO,point,NA,16413
2021-11-22,3 wk ahead inc case,2021-12-11,PL,point,NA,221470
2021-11-22,3 wk ahead inc case,2021-12-11,RO,point,NA,2974
2021-11-22,3 wk ahead inc case,2021-12-11,SI,point,NA,18933
2021-11-22,4 wk ahead inc case,2021-12-18,AT,point,NA,171105
2021-11-22,4 wk ahead inc case,2021-12-18,BE,point,NA,178158
2021-11-22,4 wk ahead inc case,2021-12-18,BG,point,NA,4153
2021-11-22,4 wk ahead inc case,2021-12-18,CZ,point,NA,222832
2021-11-22,4 wk ahead inc case,2021-12-18,DE,point,NA,415712
2021-11-22,4 wk ahead inc case,2021-12-18,EE,point,NA,3241
2021-11-22,4 wk ahead inc case,2021-12-18,GR,point,NA,36831
2021-11-22,4 wk ahead inc case,2021-12-18,HR,point,NA,27454
2021-11-22,4 wk ahead inc case,2021-12-18,HU,point,NA,99248
