forecast_date,target,target_end_date,location,type,quantile,value
2021-05-31,1 wk ahead inc case,2021-06-05,AT,point,NA,3013
2021-05-31,1 wk ahead inc case,2021-06-05,BG,point,NA,1230
2021-05-31,1 wk ahead inc case,2021-06-05,CY,point,NA,310
2021-05-31,1 wk ahead inc case,2021-06-05,CZ,point,NA,2325
2021-05-31,1 wk ahead inc case,2021-06-05,DE,point,NA,21316
2021-05-31,1 wk ahead inc case,2021-06-05,DK,point,NA,7283
2021-05-31,1 wk ahead inc case,2021-06-05,EE,point,NA,558
2021-05-31,1 wk ahead inc case,2021-06-05,FI,point,NA,1044
2021-05-31,1 wk ahead inc case,2021-06-05,GB,point,NA,22114
2021-05-31,1 wk ahead inc case,2021-06-05,GR,point,NA,10646
2021-05-31,1 wk ahead inc case,2021-06-05,HR,point,NA,1504
2021-05-31,1 wk ahead inc case,2021-06-05,HU,point,NA,1890
2021-05-31,1 wk ahead inc case,2021-06-05,IS,point,NA,3
2021-05-31,1 wk ahead inc case,2021-06-05,IT,point,NA,17477
2021-05-31,1 wk ahead inc case,2021-06-05,LI,point,NA,4
2021-05-31,1 wk ahead inc case,2021-06-05,LT,point,NA,2360
2021-05-31,1 wk ahead inc case,2021-06-05,MT,point,NA,30
2021-05-31,1 wk ahead inc case,2021-06-05,NL,point,NA,17878
2021-05-31,1 wk ahead inc case,2021-06-05,PL,point,NA,3690
2021-05-31,1 wk ahead inc case,2021-06-05,PT,point,NA,3603
2021-05-31,1 wk ahead inc case,2021-06-05,RO,point,NA,1170
2021-05-31,1 wk ahead inc case,2021-06-05,SE,point,NA,7139
2021-05-31,1 wk ahead inc case,2021-06-05,SI,point,NA,1879
2021-05-31,1 wk ahead inc case,2021-06-05,SK,point,NA,680
2021-05-31,2 wk ahead inc case,2021-06-12,AT,point,NA,2827
2021-05-31,2 wk ahead inc case,2021-06-12,BG,point,NA,836
2021-05-31,2 wk ahead inc case,2021-06-12,CY,point,NA,246
2021-05-31,2 wk ahead inc case,2021-06-12,CZ,point,NA,1522
2021-05-31,2 wk ahead inc case,2021-06-12,DE,point,NA,12188
2021-05-31,2 wk ahead inc case,2021-06-12,DK,point,NA,6966
2021-05-31,2 wk ahead inc case,2021-06-12,EE,point,NA,213
2021-05-31,2 wk ahead inc case,2021-06-12,FI,point,NA,994
2021-05-31,2 wk ahead inc case,2021-06-12,GB,point,NA,25769
2021-05-31,2 wk ahead inc case,2021-06-12,GR,point,NA,9590
2021-05-31,2 wk ahead inc case,2021-06-12,HR,point,NA,813
2021-05-31,2 wk ahead inc case,2021-06-12,HU,point,NA,1224
2021-05-31,2 wk ahead inc case,2021-06-12,IS,point,NA,2
2021-05-31,2 wk ahead inc case,2021-06-12,IT,point,NA,12050
2021-05-31,2 wk ahead inc case,2021-06-12,LI,point,NA,3
2021-05-31,2 wk ahead inc case,2021-06-12,LT,point,NA,1375
2021-05-31,2 wk ahead inc case,2021-06-12,MT,point,NA,30
2021-05-31,2 wk ahead inc case,2021-06-12,NL,point,NA,16452
2021-05-31,2 wk ahead inc case,2021-06-12,PL,point,NA,2478
2021-05-31,2 wk ahead inc case,2021-06-12,PT,point,NA,3813
2021-05-31,2 wk ahead inc case,2021-06-12,RO,point,NA,536
2021-05-31,2 wk ahead inc case,2021-06-12,SE,point,NA,3579
2021-05-31,2 wk ahead inc case,2021-06-12,SI,point,NA,1713
2021-05-31,2 wk ahead inc case,2021-06-12,SK,point,NA,460
2021-05-31,3 wk ahead inc case,2021-06-19,AT,point,NA,2645
2021-05-31,3 wk ahead inc case,2021-06-19,BG,point,NA,531
2021-05-31,3 wk ahead inc case,2021-06-19,CY,point,NA,225
2021-05-31,3 wk ahead inc case,2021-06-19,CZ,point,NA,911
2021-05-31,3 wk ahead inc case,2021-06-19,DE,point,NA,6338
2021-05-31,3 wk ahead inc case,2021-06-19,DK,point,NA,6604
2021-05-31,3 wk ahead inc case,2021-06-19,EE,point,NA,75
2021-05-31,3 wk ahead inc case,2021-06-19,FI,point,NA,1000
2021-05-31,3 wk ahead inc case,2021-06-19,GB,point,NA,28203
2021-05-31,3 wk ahead inc case,2021-06-19,GR,point,NA,8618
2021-05-31,3 wk ahead inc case,2021-06-19,HR,point,NA,349
2021-05-31,3 wk ahead inc case,2021-06-19,HU,point,NA,745
2021-05-31,3 wk ahead inc case,2021-06-19,IS,point,NA,2
2021-05-31,3 wk ahead inc case,2021-06-19,IT,point,NA,8308
2021-05-31,3 wk ahead inc case,2021-06-19,LI,point,NA,2
2021-05-31,3 wk ahead inc case,2021-06-19,LT,point,NA,695
2021-05-31,3 wk ahead inc case,2021-06-19,MT,point,NA,29
2021-05-31,3 wk ahead inc case,2021-06-19,NL,point,NA,15246
2021-05-31,3 wk ahead inc case,2021-06-19,PL,point,NA,1634
2021-05-31,3 wk ahead inc case,2021-06-19,PT,point,NA,3979
