forecast_date,target,target_end_date,location,type,quantile,value
2021-11-01,1 wk ahead inc case,2021-11-06,AT,point,NA,35208
2021-11-01,1 wk ahead inc case,2021-11-06,BE,point,NA,65689
2021-11-01,1 wk ahead inc case,2021-11-06,BG,point,NA,38787
2021-11-01,1 wk ahead inc case,2021-11-06,CH,point,NA,11655
2021-11-01,1 wk ahead inc case,2021-11-06,CY,point,NA,1072
2021-11-01,1 wk ahead inc case,2021-11-06,CZ,point,NA,50150
2021-11-01,1 wk ahead inc case,2021-11-06,DE,point,NA,169371
2021-11-01,1 wk ahead inc case,2021-11-06,DK,point,NA,14008
2021-11-01,1 wk ahead inc case,2021-11-06,EE,point,NA,14275
2021-11-01,1 wk ahead inc case,2021-11-06,ES,point,NA,15023
2021-11-01,1 wk ahead inc case,2021-11-06,FI,point,NA,3935
2021-11-01,1 wk ahead inc case,2021-11-06,FR,point,NA,44222
2021-11-01,1 wk ahead inc case,2021-11-06,GB,point,NA,326727
2021-11-01,1 wk ahead inc case,2021-11-06,GR,point,NA,27476
2021-11-01,1 wk ahead inc case,2021-11-06,HR,point,NA,30219
2021-11-01,1 wk ahead inc case,2021-11-06,HU,point,NA,28395
2021-11-01,1 wk ahead inc case,2021-11-06,IE,point,NA,15833
2021-11-01,1 wk ahead inc case,2021-11-06,IS,point,NA,514
2021-11-01,1 wk ahead inc case,2021-11-06,IT,point,NA,36545
2021-11-01,1 wk ahead inc case,2021-11-06,LI,point,NA,40
2021-11-01,1 wk ahead inc case,2021-11-06,LT,point,NA,23228
2021-11-01,1 wk ahead inc case,2021-11-06,LU,point,NA,1411
2021-11-01,1 wk ahead inc case,2021-11-06,LV,point,NA,18787
2021-11-01,1 wk ahead inc case,2021-11-06,MT,point,NA,107
2021-11-01,1 wk ahead inc case,2021-11-06,NL,point,NA,67493
2021-11-01,1 wk ahead inc case,2021-11-06,NO,point,NA,7612
2021-11-01,1 wk ahead inc case,2021-11-06,PL,point,NA,72962
2021-11-01,1 wk ahead inc case,2021-11-06,PT,point,NA,5442
2021-11-01,1 wk ahead inc case,2021-11-06,RO,point,NA,84314
2021-11-01,1 wk ahead inc case,2021-11-06,SE,point,NA,6259
2021-11-01,1 wk ahead inc case,2021-11-06,SI,point,NA,21675
2021-11-01,1 wk ahead inc case,2021-11-06,SK,point,NA,33241
2021-11-01,2 wk ahead inc case,2021-11-13,AT,point,NA,42011
2021-11-01,2 wk ahead inc case,2021-11-13,BE,point,NA,84926
2021-11-01,2 wk ahead inc case,2021-11-13,BG,point,NA,43700
2021-11-01,2 wk ahead inc case,2021-11-13,CH,point,NA,13549
2021-11-01,2 wk ahead inc case,2021-11-13,CY,point,NA,1105
2021-11-01,2 wk ahead inc case,2021-11-13,CZ,point,NA,81117
2021-11-01,2 wk ahead inc case,2021-11-13,DE,point,NA,216879
2021-11-01,2 wk ahead inc case,2021-11-13,DK,point,NA,17701
2021-11-01,2 wk ahead inc case,2021-11-13,EE,point,NA,16774
2021-11-01,2 wk ahead inc case,2021-11-13,ES,point,NA,16785
2021-11-01,2 wk ahead inc case,2021-11-13,FI,point,NA,4094
2021-11-01,2 wk ahead inc case,2021-11-13,FR,point,NA,49412
2021-11-01,2 wk ahead inc case,2021-11-13,GB,point,NA,343125
2021-11-01,2 wk ahead inc case,2021-11-13,GR,point,NA,30029
2021-11-01,2 wk ahead inc case,2021-11-13,HR,point,NA,38402
2021-11-01,2 wk ahead inc case,2021-11-13,HU,point,NA,42963
2021-11-01,2 wk ahead inc case,2021-11-13,IE,point,NA,15994
2021-11-01,2 wk ahead inc case,2021-11-13,IS,point,NA,539
2021-11-01,2 wk ahead inc case,2021-11-13,IT,point,NA,47070
2021-11-01,2 wk ahead inc case,2021-11-13,LI,point,NA,46
2021-11-01,2 wk ahead inc case,2021-11-13,LT,point,NA,24529
2021-11-01,2 wk ahead inc case,2021-11-13,LU,point,NA,1982
2021-11-01,2 wk ahead inc case,2021-11-13,LV,point,NA,19282
2021-11-01,2 wk ahead inc case,2021-11-13,MT,point,NA,120
2021-11-01,2 wk ahead inc case,2021-11-13,NL,point,NA,94065
2021-11-01,2 wk ahead inc case,2021-11-13,NO,point,NA,9322
2021-11-01,2 wk ahead inc case,2021-11-13,PL,point,NA,105993
2021-11-01,2 wk ahead inc case,2021-11-13,PT,point,NA,5715
2021-11-01,2 wk ahead inc case,2021-11-13,RO,point,NA,75978
2021-11-01,2 wk ahead inc case,2021-11-13,SE,point,NA,8442
2021-11-01,2 wk ahead inc case,2021-11-13,SI,point,NA,28296
2021-11-01,2 wk ahead inc case,2021-11-13,SK,point,NA,40859
2021-11-01,3 wk ahead inc case,2021-11-20,AT,point,NA,46312
2021-11-01,3 wk ahead inc case,2021-11-20,BE,point,NA,98079
2021-11-01,3 wk ahead inc case,2021-11-20,BG,point,NA,46844
2021-11-01,3 wk ahead inc case,2021-11-20,CH,point,NA,15956
2021-11-01,3 wk ahead inc case,2021-11-20,CY,point,NA,1144
2021-11-01,3 wk ahead inc case,2021-11-20,CZ,point,NA,121810
2021-11-01,3 wk ahead inc case,2021-11-20,DE,point,NA,269112
2021-11-01,3 wk ahead inc case,2021-11-20,DK,point,NA,20540
2021-11-01,3 wk ahead inc case,2021-11-20,EE,point,NA,18569
2021-11-01,3 wk ahead inc case,2021-11-20,ES,point,NA,18975
2021-11-01,3 wk ahead inc case,2021-11-20,FI,point,NA,4140
2021-11-01,3 wk ahead inc case,2021-11-20,FR,point,NA,54743
2021-11-01,3 wk ahead inc case,2021-11-20,GB,point,NA,371787
2021-11-01,3 wk ahead inc case,2021-11-20,GR,point,NA,32606
2021-11-01,3 wk ahead inc case,2021-11-20,HR,point,NA,43532
2021-11-01,3 wk ahead inc case,2021-11-20,HU,point,NA,57526
2021-11-01,3 wk ahead inc case,2021-11-20,IE,point,NA,16065
2021-11-01,3 wk ahead inc case,2021-11-20,IS,point,NA,561
2021-11-01,3 wk ahead inc case,2021-11-20,IT,point,NA,58460
2021-11-01,3 wk ahead inc case,2021-11-20,LI,point,NA,50
2021-11-01,3 wk ahead inc case,2021-11-20,LT,point,NA,25186
2021-11-01,3 wk ahead inc case,2021-11-20,LU,point,NA,2808
2021-11-01,3 wk ahead inc case,2021-11-20,LV,point,NA,19478
2021-11-01,3 wk ahead inc case,2021-11-20,MT,point,NA,144
2021-11-01,3 wk ahead inc case,2021-11-20,NL,point,NA,120392
2021-11-01,3 wk ahead inc case,2021-11-20,NO,point,NA,10429
2021-11-01,3 wk ahead inc case,2021-11-20,PL,point,NA,147265
2021-11-01,3 wk ahead inc case,2021-11-20,PT,point,NA,6005
2021-11-01,3 wk ahead inc case,2021-11-20,RO,point,NA,68774
2021-11-01,3 wk ahead inc case,2021-11-20,SE,point,NA,11291
2021-11-01,3 wk ahead inc case,2021-11-20,SI,point,NA,33538
2021-11-01,3 wk ahead inc case,2021-11-20,SK,point,NA,51032
2021-11-01,4 wk ahead inc case,2021-11-27,AT,point,NA,49198
