forecast_date,target,target_end_date,location,type,quantile,value
2021-07-12,1 wk ahead inc case,2021-07-17,AT,point,NA,1177
2021-07-12,1 wk ahead inc case,2021-07-17,BE,point,NA,6454
2021-07-12,1 wk ahead inc case,2021-07-17,BG,point,NA,386
2021-07-12,1 wk ahead inc case,2021-07-17,CH,point,NA,1262
2021-07-12,1 wk ahead inc case,2021-07-17,CY,point,NA,9458
2021-07-12,1 wk ahead inc case,2021-07-17,CZ,point,NA,1517
2021-07-12,1 wk ahead inc case,2021-07-17,DE,point,NA,5536
2021-07-12,1 wk ahead inc case,2021-07-17,DK,point,NA,4272
2021-07-12,1 wk ahead inc case,2021-07-17,EE,point,NA,285
2021-07-12,1 wk ahead inc case,2021-07-17,ES,point,NA,162345
2021-07-12,1 wk ahead inc case,2021-07-17,FI,point,NA,1785
2021-07-12,1 wk ahead inc case,2021-07-17,FR,point,NA,28980
2021-07-12,1 wk ahead inc case,2021-07-17,GB,point,NA,278943
2021-07-12,1 wk ahead inc case,2021-07-17,GR,point,NA,14644
2021-07-12,1 wk ahead inc case,2021-07-17,HR,point,NA,558
2021-07-12,1 wk ahead inc case,2021-07-17,HU,point,NA,145
2021-07-12,1 wk ahead inc case,2021-07-17,IE,point,NA,4043
2021-07-12,1 wk ahead inc case,2021-07-17,IS,point,NA,0
2021-07-12,1 wk ahead inc case,2021-07-17,IT,point,NA,9296
2021-07-12,1 wk ahead inc case,2021-07-17,LI,point,NA,15
2021-07-12,1 wk ahead inc case,2021-07-17,LT,point,NA,196
2021-07-12,1 wk ahead inc case,2021-07-17,LU,point,NA,932
2021-07-12,1 wk ahead inc case,2021-07-17,LV,point,NA,217
2021-07-12,1 wk ahead inc case,2021-07-17,MT,point,NA,254
2021-07-12,1 wk ahead inc case,2021-07-17,NL,point,NA,70267
2021-07-12,1 wk ahead inc case,2021-07-17,NO,point,NA,1188
2021-07-12,1 wk ahead inc case,2021-07-17,PL,point,NA,460
2021-07-12,1 wk ahead inc case,2021-07-17,PT,point,NA,22260
2021-07-12,1 wk ahead inc case,2021-07-17,RO,point,NA,253
2021-07-12,1 wk ahead inc case,2021-07-17,SE,point,NA,1270
2021-07-12,1 wk ahead inc case,2021-07-17,SI,point,NA,287
2021-07-12,1 wk ahead inc case,2021-07-17,SK,point,NA,136
2021-07-12,2 wk ahead inc case,2021-07-24,AT,point,NA,1358
2021-07-12,2 wk ahead inc case,2021-07-24,BE,point,NA,7221
2021-07-12,2 wk ahead inc case,2021-07-24,BG,point,NA,340
2021-07-12,2 wk ahead inc case,2021-07-24,CH,point,NA,1380
2021-07-12,2 wk ahead inc case,2021-07-24,CY,point,NA,15157
2021-07-12,2 wk ahead inc case,2021-07-24,CZ,point,NA,1832
2021-07-12,2 wk ahead inc case,2021-07-24,DE,point,NA,5760
2021-07-12,2 wk ahead inc case,2021-07-24,DK,point,NA,4738
2021-07-12,2 wk ahead inc case,2021-07-24,EE,point,NA,334
2021-07-12,2 wk ahead inc case,2021-07-24,ES,point,NA,221498
2021-07-12,2 wk ahead inc case,2021-07-24,FI,point,NA,1969
2021-07-12,2 wk ahead inc case,2021-07-24,FR,point,NA,38642
2021-07-12,2 wk ahead inc case,2021-07-24,GB,point,NA,360088
2021-07-12,2 wk ahead inc case,2021-07-24,GR,point,NA,18642
2021-07-12,2 wk ahead inc case,2021-07-24,HR,point,NA,554
2021-07-12,2 wk ahead inc case,2021-07-24,HU,point,NA,127
2021-07-12,2 wk ahead inc case,2021-07-24,IE,point,NA,4446
2021-07-12,2 wk ahead inc case,2021-07-24,IS,point,NA,0
2021-07-12,2 wk ahead inc case,2021-07-24,IT,point,NA,10486
2021-07-12,2 wk ahead inc case,2021-07-24,LI,point,NA,17
2021-07-12,2 wk ahead inc case,2021-07-24,LT,point,NA,144
2021-07-12,2 wk ahead inc case,2021-07-24,LU,point,NA,1045
2021-07-12,2 wk ahead inc case,2021-07-24,LV,point,NA,137
2021-07-12,2 wk ahead inc case,2021-07-24,MT,point,NA,206
2021-07-12,2 wk ahead inc case,2021-07-24,NL,point,NA,97257
2021-07-12,2 wk ahead inc case,2021-07-24,NO,point,NA,1128
2021-07-12,2 wk ahead inc case,2021-07-24,PL,point,NA,385
2021-07-12,2 wk ahead inc case,2021-07-24,PT,point,NA,26895
2021-07-12,2 wk ahead inc case,2021-07-24,RO,point,NA,229
2021-07-12,2 wk ahead inc case,2021-07-24,SE,point,NA,1092
2021-07-12,2 wk ahead inc case,2021-07-24,SI,point,NA,257
2021-07-12,2 wk ahead inc case,2021-07-24,SK,point,NA,107
2021-07-12,3 wk ahead inc case,2021-07-31,AT,point,NA,1189
2021-07-12,3 wk ahead inc case,2021-07-31,BE,point,NA,7676
2021-07-12,3 wk ahead inc case,2021-07-31,BG,point,NA,304
2021-07-12,3 wk ahead inc case,2021-07-31,CH,point,NA,1416
2021-07-12,3 wk ahead inc case,2021-07-31,CY,point,NA,18224
2021-07-12,3 wk ahead inc case,2021-07-31,CZ,point,NA,2030
2021-07-12,3 wk ahead inc case,2021-07-31,DE,point,NA,5734
2021-07-12,3 wk ahead inc case,2021-07-31,DK,point,NA,5001
2021-07-12,3 wk ahead inc case,2021-07-31,EE,point,NA,358
2021-07-12,3 wk ahead inc case,2021-07-31,ES,point,NA,267160
2021-07-12,3 wk ahead inc case,2021-07-31,FI,point,NA,2106
2021-07-12,3 wk ahead inc case,2021-07-31,FR,point,NA,43565
2021-07-12,3 wk ahead inc case,2021-07-31,GB,point,NA,434592
2021-07-12,3 wk ahead inc case,2021-07-31,GR,point,NA,21572
2021-07-12,3 wk ahead inc case,2021-07-31,HR,point,NA,538
2021-07-12,3 wk ahead inc case,2021-07-31,HU,point,NA,103
2021-07-12,3 wk ahead inc case,2021-07-31,IE,point,NA,4623
2021-07-12,3 wk ahead inc case,2021-07-31,IS,point,NA,0
2021-07-12,3 wk ahead inc case,2021-07-31,IT,point,NA,10618
2021-07-12,3 wk ahead inc case,2021-07-31,LI,point,NA,21
2021-07-12,3 wk ahead inc case,2021-07-31,LT,point,NA,131
2021-07-12,3 wk ahead inc case,2021-07-31,LU,point,NA,1072
2021-07-12,3 wk ahead inc case,2021-07-31,LV,point,NA,95
2021-07-12,3 wk ahead inc case,2021-07-31,MT,point,NA,197
2021-07-12,3 wk ahead inc case,2021-07-31,NL,point,NA,129401
2021-07-12,3 wk ahead inc case,2021-07-31,NO,point,NA,1067
2021-07-12,3 wk ahead inc case,2021-07-31,PL,point,NA,385
2021-07-12,3 wk ahead inc case,2021-07-31,PT,point,NA,29080
2021-07-12,3 wk ahead inc case,2021-07-31,RO,point,NA,200
2021-07-12,3 wk ahead inc case,2021-07-31,SE,point,NA,962
2021-07-12,3 wk ahead inc case,2021-07-31,SI,point,NA,226
2021-07-12,3 wk ahead inc case,2021-07-31,SK,point,NA,99
2021-07-12,4 wk ahead inc case,2021-08-07,AT,point,NA,1182
2021-07-12,4 wk ahead inc case,2021-08-07,BE,point,NA,7713
2021-07-12,4 wk ahead inc case,2021-08-07,BG,point,NA,284
2021-07-12,4 wk ahead inc case,2021-08-07,CH,point,NA,1383
2021-07-12,4 wk ahead inc case,2021-08-07,CY,point,NA,13338
2021-07-12,4 wk ahead inc case,2021-08-07,CZ,point,NA,2039
2021-07-12,4 wk ahead inc case,2021-08-07,DE,point,NA,5568
2021-07-12,4 wk ahead inc case,2021-08-07,DK,point,NA,4876
2021-07-12,4 wk ahead inc case,2021-08-07,EE,point,NA,359
2021-07-12,4 wk ahead inc case,2021-08-07,ES,point,NA,288825
2021-07-12,4 wk ahead inc case,2021-08-07,FI,point,NA,2194
2021-07-12,4 wk ahead inc case,2021-08-07,FR,point,NA,46593
2021-07-12,4 wk ahead inc case,2021-08-07,GB,point,NA,490048
2021-07-12,4 wk ahead inc case,2021-08-07,GR,point,NA,21086
2021-07-12,4 wk ahead inc case,2021-08-07,HR,point,NA,510
2021-07-12,4 wk ahead inc case,2021-08-07,HU,point,NA,77
2021-07-12,4 wk ahead inc case,2021-08-07,IE,point,NA,4610
2021-07-12,4 wk ahead inc case,2021-08-07,IS,point,NA,0
2021-07-12,4 wk ahead inc case,2021-08-07,IT,point,NA,10630
2021-07-12,4 wk ahead inc case,2021-08-07,LI,point,NA,22
2021-07-12,4 wk ahead inc case,2021-08-07,LT,point,NA,127
2021-07-12,4 wk ahead inc case,2021-08-07,LU,point,NA,954
2021-07-12,4 wk ahead inc case,2021-08-07,LV,point,NA,67
2021-07-12,4 wk ahead inc case,2021-08-07,MT,point,NA,267
2021-07-12,4 wk ahead inc case,2021-08-07,NL,point,NA,97603
2021-07-12,4 wk ahead inc case,2021-08-07,NO,point,NA,1004
2021-07-12,4 wk ahead inc case,2021-08-07,PL,point,NA,380
2021-07-12,4 wk ahead inc case,2021-08-07,PT,point,NA,30471
2021-07-12,4 wk ahead inc case,2021-08-07,RO,point,NA,188
2021-07-12,4 wk ahead inc case,2021-08-07,SE,point,NA,825
2021-07-12,4 wk ahead inc case,2021-08-07,SI,point,NA,195
2021-07-12,4 wk ahead inc case,2021-08-07,SK,point,NA,78
2021-07-12,1 wk ahead inc death,2021-07-17,AT,point,NA,10
2021-07-12,1 wk ahead inc death,2021-07-17,BE,point,NA,18
2021-07-12,1 wk ahead inc death,2021-07-17,BG,point,NA,31
2021-07-12,1 wk ahead inc death,2021-07-17,CH,point,NA,6
2021-07-12,1 wk ahead inc death,2021-07-17,CY,point,NA,6
2021-07-12,1 wk ahead inc death,2021-07-17,CZ,point,NA,14
2021-07-12,1 wk ahead inc death,2021-07-17,DE,point,NA,156
2021-07-12,1 wk ahead inc death,2021-07-17,DK,point,NA,3
2021-07-12,1 wk ahead inc death,2021-07-17,EE,point,NA,1
2021-07-12,1 wk ahead inc death,2021-07-17,ES,point,NA,128
2021-07-12,1 wk ahead inc death,2021-07-17,FI,point,NA,4
2021-07-12,1 wk ahead inc death,2021-07-17,FR,point,NA,143
2021-07-12,1 wk ahead inc death,2021-07-17,GB,point,NA,264
2021-07-12,1 wk ahead inc death,2021-07-17,GR,point,NA,73
2021-07-12,1 wk ahead inc death,2021-07-17,HR,point,NA,10
2021-07-12,1 wk ahead inc death,2021-07-17,HU,point,NA,8
2021-07-12,1 wk ahead inc death,2021-07-17,IE,point,NA,8
2021-07-12,1 wk ahead inc death,2021-07-17,IS,point,NA,0
2021-07-12,1 wk ahead inc death,2021-07-17,IT,point,NA,107
2021-07-12,1 wk ahead inc death,2021-07-17,LI,point,NA,0
2021-07-12,1 wk ahead inc death,2021-07-17,LT,point,NA,5
2021-07-12,1 wk ahead inc death,2021-07-17,LU,point,NA,1
2021-07-12,1 wk ahead inc death,2021-07-17,LV,point,NA,11
