forecast_date,target,target_end_date,location,type,quantile,value
2021-04-26,1 wk ahead inc case,2021-05-01,AT,quantile,0.01,9224.283916990276
2021-04-26,2 wk ahead inc case,2021-05-08,AT,quantile,0.01,6932.551777789553
2021-04-26,3 wk ahead inc case,2021-05-15,AT,quantile,0.01,5232.470092537035
2021-04-26,4 wk ahead inc case,2021-05-22,AT,quantile,0.01,4171.710275570519
2021-04-26,1 wk ahead inc case,2021-05-01,BE,quantile,0.01,10794.937579232614
2021-04-26,2 wk ahead inc case,2021-05-08,BE,quantile,0.01,8321.854895473569
2021-04-26,3 wk ahead inc case,2021-05-15,BE,quantile,0.01,6702.8955234714895
2021-04-26,4 wk ahead inc case,2021-05-22,BE,quantile,0.01,4930.99279657319
2021-04-26,1 wk ahead inc case,2021-05-01,BG,quantile,0.01,3699.6217245660623
2021-04-26,2 wk ahead inc case,2021-05-08,BG,quantile,0.01,2402.4477858075215
2021-04-26,3 wk ahead inc case,2021-05-15,BG,quantile,0.01,1722.7811045820567
2021-04-26,4 wk ahead inc case,2021-05-22,BG,quantile,0.01,1300.8856058823812
2021-04-26,1 wk ahead inc case,2021-05-01,CH,quantile,0.01,6167.378784412152
2021-04-26,2 wk ahead inc case,2021-05-08,CH,quantile,0.01,4591.690291744018
2021-04-26,3 wk ahead inc case,2021-05-15,CH,quantile,0.01,3621.330990095888
2021-04-26,4 wk ahead inc case,2021-05-22,CH,quantile,0.01,2819.9783993383767
2021-04-26,1 wk ahead inc case,2021-05-01,CY,quantile,0.01,4053.2574798327796
2021-04-26,2 wk ahead inc case,2021-05-08,CY,quantile,0.01,3704.093420567777
2021-04-26,3 wk ahead inc case,2021-05-15,CY,quantile,0.01,3276.9101386609977
2021-04-26,4 wk ahead inc case,2021-05-22,CY,quantile,0.01,2844.514763140616
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,quantile,0.01,6619.023286110051
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,quantile,0.01,4185.668790472487
2021-04-26,3 wk ahead inc case,2021-05-15,CZ,quantile,0.01,3044.2013274017645
2021-04-26,4 wk ahead inc case,2021-05-22,CZ,quantile,0.01,2319.546844030232
2021-04-26,1 wk ahead inc case,2021-05-01,DE,quantile,0.01,97911.66803525914
2021-04-26,2 wk ahead inc case,2021-05-08,DE,quantile,0.01,80270.94306489856
2021-04-26,3 wk ahead inc case,2021-05-15,DE,quantile,0.01,71812.63967959434
2021-04-26,4 wk ahead inc case,2021-05-22,DE,quantile,0.01,61054.391877849164
2021-04-26,1 wk ahead inc case,2021-05-01,DK,quantile,0.01,2815.4492998457986
2021-04-26,2 wk ahead inc case,2021-05-08,DK,quantile,0.01,2473.9452140627213
2021-04-26,3 wk ahead inc case,2021-05-15,DK,quantile,0.01,2230.6866627522268
2021-04-26,4 wk ahead inc case,2021-05-22,DK,quantile,0.01,1950.0001815720468
2021-04-26,1 wk ahead inc case,2021-05-01,EE,quantile,0.01,1191.2536302491592
2021-04-26,2 wk ahead inc case,2021-05-08,EE,quantile,0.01,807.30127193649
2021-04-26,3 wk ahead inc case,2021-05-15,EE,quantile,0.01,634.2407344265248
2021-04-26,4 wk ahead inc case,2021-05-22,EE,quantile,0.01,491.1977250400909
2021-04-26,1 wk ahead inc case,2021-05-01,ES,quantile,0.01,22900.70753363604
2021-04-26,2 wk ahead inc case,2021-05-08,ES,quantile,0.01,17832.519649971448
2021-04-26,3 wk ahead inc case,2021-05-15,ES,quantile,0.01,14347.581529642674
2021-04-26,4 wk ahead inc case,2021-05-22,ES,quantile,0.01,10965.200861147572
2021-04-26,1 wk ahead inc case,2021-05-01,FI,quantile,0.01,836.944060690836
2021-04-26,2 wk ahead inc case,2021-05-08,FI,quantile,0.01,595.8285354293316
2021-04-26,3 wk ahead inc case,2021-05-15,FI,quantile,0.01,426.31254218433725
2021-04-26,4 wk ahead inc case,2021-05-22,FI,quantile,0.01,320.8087571775558
2021-04-26,1 wk ahead inc case,2021-05-01,FR,quantile,0.01,88271.84538345216
2021-04-26,2 wk ahead inc case,2021-05-08,FR,quantile,0.01,60896.41685701958
2021-04-26,3 wk ahead inc case,2021-05-15,FR,quantile,0.01,47061.84805281846
2021-04-26,4 wk ahead inc case,2021-05-22,FR,quantile,0.01,40625.23890136907
2021-04-26,1 wk ahead inc case,2021-05-01,GB,quantile,0.01,8959.68509664671
2021-04-26,2 wk ahead inc case,2021-05-08,GB,quantile,0.01,7527.5486712661
2021-04-26,3 wk ahead inc case,2021-05-15,GB,quantile,0.01,6089.013692629918
2021-04-26,4 wk ahead inc case,2021-05-22,GB,quantile,0.01,4857.627534010387
2021-04-26,1 wk ahead inc case,2021-05-01,GR,quantile,0.01,9172.636453451212
2021-04-26,2 wk ahead inc case,2021-05-08,GR,quantile,0.01,7251.18439227025
2021-04-26,3 wk ahead inc case,2021-05-15,GR,quantile,0.01,5567.767795490623
2021-04-26,4 wk ahead inc case,2021-05-22,GR,quantile,0.01,4696.020441639971
2021-04-26,1 wk ahead inc case,2021-05-01,HR,quantile,0.01,7591.598020517858
2021-04-26,2 wk ahead inc case,2021-05-08,HR,quantile,0.01,5305.15847605285
