forecast_date,target,target_end_date,location,type,quantile,value
2021-05-31,1 wk ahead inc case,2021-06-05,AT,quantile,0.01,1552.9804737506304
2021-05-31,2 wk ahead inc case,2021-06-12,AT,quantile,0.01,841.6539767164942
2021-05-31,3 wk ahead inc case,2021-06-19,AT,quantile,0.01,519.6680196821411
2021-05-31,4 wk ahead inc case,2021-06-26,AT,quantile,0.01,434.7171002415957
2021-05-31,1 wk ahead inc case,2021-06-05,BE,quantile,0.01,6486.479187182292
2021-05-31,2 wk ahead inc case,2021-06-12,BE,quantile,0.01,4217.673984382694
2021-05-31,3 wk ahead inc case,2021-06-19,BE,quantile,0.01,2612.272282281238
2021-05-31,4 wk ahead inc case,2021-06-26,BE,quantile,0.01,2014.7674096814842
2021-05-31,1 wk ahead inc case,2021-06-05,BG,quantile,0.01,429.8909203357341
2021-05-31,2 wk ahead inc case,2021-06-12,BG,quantile,0.01,239.8859967747576
2021-05-31,3 wk ahead inc case,2021-06-19,BG,quantile,0.01,165.60239166263398
2021-05-31,4 wk ahead inc case,2021-06-26,BG,quantile,0.01,122.76895153446247
2021-05-31,1 wk ahead inc case,2021-06-05,CH,quantile,0.01,2626.6876347095485
2021-05-31,2 wk ahead inc case,2021-06-12,CH,quantile,0.01,1717.5512062971145
2021-05-31,3 wk ahead inc case,2021-06-19,CH,quantile,0.01,826.1866290931541
2021-05-31,4 wk ahead inc case,2021-06-26,CH,quantile,0.01,681.9690420554654
2021-05-31,1 wk ahead inc case,2021-06-05,CY,quantile,0.01,147.5952470088604
2021-05-31,2 wk ahead inc case,2021-06-12,CY,quantile,0.01,80.56864144496268
2021-05-31,3 wk ahead inc case,2021-06-19,CY,quantile,0.01,40.53141592769769
2021-05-31,4 wk ahead inc case,2021-06-26,CY,quantile,0.01,32.57236322097587
2021-05-31,1 wk ahead inc case,2021-06-05,CZ,quantile,0.01,854.3462707027717
2021-05-31,2 wk ahead inc case,2021-06-12,CZ,quantile,0.01,427.50398083698013
2021-05-31,3 wk ahead inc case,2021-06-19,CZ,quantile,0.01,238.18477032136718
2021-05-31,4 wk ahead inc case,2021-06-26,CZ,quantile,0.01,163.53763974500376
2021-05-31,1 wk ahead inc case,2021-06-05,DE,quantile,0.01,12758.135941339267
2021-05-31,2 wk ahead inc case,2021-06-12,DE,quantile,0.01,6201.711689895913
2021-05-31,3 wk ahead inc case,2021-06-19,DE,quantile,0.01,3699.922180871786
2021-05-31,4 wk ahead inc case,2021-06-26,DE,quantile,0.01,2673.762732157794
2021-05-31,1 wk ahead inc case,2021-06-05,DK,quantile,0.01,4689.181603627973
