forecast_date,target,target_end_date,location,type,quantile,value
2021-05-10,1 wk ahead inc case,2021-05-15,AT,point,NA,7744
2021-05-10,2 wk ahead inc case,2021-05-22,AT,point,NA,6175
2021-05-10,3 wk ahead inc case,2021-05-29,AT,point,NA,5161
2021-05-10,4 wk ahead inc case,2021-06-05,AT,point,NA,4618
2021-05-10,1 wk ahead inc case,2021-05-15,BE,point,NA,19537
2021-05-10,2 wk ahead inc case,2021-05-22,BE,point,NA,18725
2021-05-10,3 wk ahead inc case,2021-05-29,BE,point,NA,18509
2021-05-10,4 wk ahead inc case,2021-06-05,BE,point,NA,18260
2021-05-10,1 wk ahead inc case,2021-05-15,BG,point,NA,4098
2021-05-10,2 wk ahead inc case,2021-05-22,BG,point,NA,3241
2021-05-10,3 wk ahead inc case,2021-05-29,BG,point,NA,2785
2021-05-10,4 wk ahead inc case,2021-06-05,BG,point,NA,2579
2021-05-10,1 wk ahead inc case,2021-05-15,CH,point,NA,9112
2021-05-10,2 wk ahead inc case,2021-05-22,CH,point,NA,8021
2021-05-10,3 wk ahead inc case,2021-05-29,CH,point,NA,7239
2021-05-10,4 wk ahead inc case,2021-06-05,CH,point,NA,6564
2021-05-10,1 wk ahead inc case,2021-05-15,CY,point,NA,2733
2021-05-10,2 wk ahead inc case,2021-05-22,CY,point,NA,2335
2021-05-10,3 wk ahead inc case,2021-05-29,CY,point,NA,2154
2021-05-10,4 wk ahead inc case,2021-06-05,CY,point,NA,2010
2021-05-10,1 wk ahead inc case,2021-05-15,CZ,point,NA,9577
2021-05-10,2 wk ahead inc case,2021-05-22,CZ,point,NA,8008
2021-05-10,3 wk ahead inc case,2021-05-29,CZ,point,NA,6942
2021-05-10,4 wk ahead inc case,2021-06-05,CZ,point,NA,6208
2021-05-10,1 wk ahead inc case,2021-05-15,DE,point,NA,93478
2021-05-10,2 wk ahead inc case,2021-05-22,DE,point,NA,82045
2021-05-10,3 wk ahead inc case,2021-05-29,DE,point,NA,72758
2021-05-10,4 wk ahead inc case,2021-06-05,DE,point,NA,65690
2021-05-10,1 wk ahead inc case,2021-05-15,DK,point,NA,5873
2021-05-10,2 wk ahead inc case,2021-05-22,DK,point,NA,6514
2021-05-10,3 wk ahead inc case,2021-05-29,DK,point,NA,7212
2021-05-10,4 wk ahead inc case,2021-06-05,DK,point,NA,7864
