forecast_date,target,target_end_date,location,type,quantile,value
2021-07-19,1 wk ahead inc case,2021-07-24,AT,point,NA,3129
2021-07-19,2 wk ahead inc case,2021-07-31,AT,point,NA,5158
2021-07-19,3 wk ahead inc case,2021-08-07,AT,point,NA,9342
2021-07-19,4 wk ahead inc case,2021-08-14,AT,point,NA,21509
2021-07-19,1 wk ahead inc case,2021-07-24,BE,point,NA,10192
2021-07-19,2 wk ahead inc case,2021-07-31,BE,point,NA,11943
2021-07-19,3 wk ahead inc case,2021-08-07,BE,point,NA,13940
2021-07-19,4 wk ahead inc case,2021-08-14,BE,point,NA,17748
2021-07-19,1 wk ahead inc case,2021-07-24,BG,point,NA,479
2021-07-19,2 wk ahead inc case,2021-07-31,BG,point,NA,520
2021-07-19,3 wk ahead inc case,2021-08-07,BG,point,NA,565
2021-07-19,4 wk ahead inc case,2021-08-14,BG,point,NA,663
2021-07-19,1 wk ahead inc case,2021-07-24,CH,point,NA,4129
2021-07-19,2 wk ahead inc case,2021-07-31,CH,point,NA,7901
2021-07-19,3 wk ahead inc case,2021-08-07,CH,point,NA,14347
2021-07-19,4 wk ahead inc case,2021-08-14,CH,point,NA,15276
2021-07-19,1 wk ahead inc case,2021-07-24,CY,point,NA,7888
2021-07-19,2 wk ahead inc case,2021-07-31,CY,point,NA,10696
2021-07-19,3 wk ahead inc case,2021-08-07,CY,point,NA,14857
2021-07-19,4 wk ahead inc case,2021-08-14,CY,point,NA,28223
2021-07-19,1 wk ahead inc case,2021-07-24,CZ,point,NA,1767
2021-07-19,2 wk ahead inc case,2021-07-31,CZ,point,NA,2105
2021-07-19,3 wk ahead inc case,2021-08-07,CZ,point,NA,2574
2021-07-19,4 wk ahead inc case,2021-08-14,CZ,point,NA,3188
2021-07-19,1 wk ahead inc case,2021-07-24,DE,point,NA,11483
2021-07-19,2 wk ahead inc case,2021-07-31,DE,point,NA,14517
2021-07-19,3 wk ahead inc case,2021-08-07,DE,point,NA,18928
2021-07-19,4 wk ahead inc case,2021-08-14,DE,point,NA,27048
2021-07-19,1 wk ahead inc case,2021-07-24,DK,point,NA,8199
2021-07-19,2 wk ahead inc case,2021-07-31,DK,point,NA,10698
2021-07-19,3 wk ahead inc case,2021-08-07,DK,point,NA,13412
2021-07-19,4 wk ahead inc case,2021-08-14,DK,point,NA,16454
2021-07-19,1 wk ahead inc case,2021-07-24,EE,point,NA,392
2021-07-19,2 wk ahead inc case,2021-07-31,EE,point,NA,455
2021-07-19,3 wk ahead inc case,2021-08-07,EE,point,NA,527
2021-07-19,4 wk ahead inc case,2021-08-14,EE,point,NA,659
2021-07-19,1 wk ahead inc case,2021-07-24,ES,point,NA,237495
2021-07-19,1 wk ahead inc case,2021-07-24,FI,point,NA,2392
2021-07-19,2 wk ahead inc case,2021-07-31,FI,point,NA,2737
2021-07-19,3 wk ahead inc case,2021-08-07,FI,point,NA,3093
2021-07-19,4 wk ahead inc case,2021-08-14,FI,point,NA,3605
2021-07-19,1 wk ahead inc case,2021-07-24,FR,point,NA,71317
2021-07-19,2 wk ahead inc case,2021-07-31,FR,point,NA,112697
2021-07-19,3 wk ahead inc case,2021-08-07,FR,point,NA,158543
2021-07-19,4 wk ahead inc case,2021-08-14,FR,point,NA,261664
2021-07-19,1 wk ahead inc case,2021-07-24,GB,point,NA,385985
2021-07-19,2 wk ahead inc case,2021-07-31,GB,point,NA,484647
2021-07-19,3 wk ahead inc case,2021-08-07,GB,point,NA,598614
2021-07-19,4 wk ahead inc case,2021-08-14,GB,point,NA,710963
2021-07-19,1 wk ahead inc case,2021-07-24,GR,point,NA,23673
2021-07-19,2 wk ahead inc case,2021-07-31,GR,point,NA,31016
2021-07-19,3 wk ahead inc case,2021-08-07,GR,point,NA,40570
2021-07-19,4 wk ahead inc case,2021-08-14,GR,point,NA,61252
2021-07-19,1 wk ahead inc case,2021-07-24,HR,point,NA,833
2021-07-19,2 wk ahead inc case,2021-07-31,HR,point,NA,951
2021-07-19,3 wk ahead inc case,2021-08-07,HR,point,NA,1065
2021-07-19,4 wk ahead inc case,2021-08-14,HR,point,NA,1239
2021-07-19,1 wk ahead inc case,2021-07-24,HU,point,NA,210
2021-07-19,2 wk ahead inc case,2021-07-31,HU,point,NA,201
2021-07-19,3 wk ahead inc case,2021-08-07,HU,point,NA,202
2021-07-19,4 wk ahead inc case,2021-08-14,HU,point,NA,201
2021-07-19,1 wk ahead inc case,2021-07-24,IE,point,NA,8353
2021-07-19,1 wk ahead inc case,2021-07-24,IS,point,NA,0
2021-07-19,2 wk ahead inc case,2021-07-31,IS,point,NA,0
2021-07-19,3 wk ahead inc case,2021-08-07,IS,point,NA,0
2021-07-19,4 wk ahead inc case,2021-08-14,IS,point,NA,0
2021-07-19,1 wk ahead inc case,2021-07-24,IT,point,NA,26147
2021-07-19,2 wk ahead inc case,2021-07-31,IT,point,NA,42884
2021-07-19,3 wk ahead inc case,2021-08-07,IT,point,NA,67490
2021-07-19,4 wk ahead inc case,2021-08-14,IT,point,NA,139835
2021-07-19,1 wk ahead inc case,2021-07-24,LI,point,NA,6
2021-07-19,2 wk ahead inc case,2021-07-31,LI,point,NA,5
2021-07-19,3 wk ahead inc case,2021-08-07,LI,point,NA,5
2021-07-19,4 wk ahead inc case,2021-08-14,LI,point,NA,4
2021-07-19,1 wk ahead inc case,2021-07-24,LT,point,NA,638
2021-07-19,2 wk ahead inc case,2021-07-31,LT,point,NA,771
2021-07-19,3 wk ahead inc case,2021-08-07,LT,point,NA,889
2021-07-19,4 wk ahead inc case,2021-08-14,LT,point,NA,1118
2021-07-19,1 wk ahead inc case,2021-07-24,LU,point,NA,750
2021-07-19,2 wk ahead inc case,2021-07-31,LU,point,NA,750
2021-07-19,3 wk ahead inc case,2021-08-07,LU,point,NA,725
2021-07-19,4 wk ahead inc case,2021-08-14,LU,point,NA,766
2021-07-19,1 wk ahead inc case,2021-07-24,LV,point,NA,196
2021-07-19,2 wk ahead inc case,2021-07-31,LV,point,NA,158
2021-07-19,3 wk ahead inc case,2021-08-07,LV,point,NA,137
2021-07-19,4 wk ahead inc case,2021-08-14,LV,point,NA,102
2021-07-19,1 wk ahead inc case,2021-07-24,MT,point,NA,2230
2021-07-19,2 wk ahead inc case,2021-07-31,MT,point,NA,2915
2021-07-19,3 wk ahead inc case,2021-08-07,MT,point,NA,3316
2021-07-19,4 wk ahead inc case,2021-08-14,MT,point,NA,3733
2021-07-19,1 wk ahead inc case,2021-07-24,NL,point,NA,99567
2021-07-19,2 wk ahead inc case,2021-07-31,NL,point,NA,115542
2021-07-19,3 wk ahead inc case,2021-08-07,NL,point,NA,123542
2021-07-19,4 wk ahead inc case,2021-08-14,NL,point,NA,104052
2021-07-19,1 wk ahead inc case,2021-07-24,NO,point,NA,1081
2021-07-19,2 wk ahead inc case,2021-07-31,NO,point,NA,1016
2021-07-19,3 wk ahead inc case,2021-08-07,NO,point,NA,946
2021-07-19,4 wk ahead inc case,2021-08-14,NO,point,NA,850
2021-07-19,1 wk ahead inc case,2021-07-24,PL,point,NA,656
2021-07-19,2 wk ahead inc case,2021-07-31,PL,point,NA,680
2021-07-19,3 wk ahead inc case,2021-08-07,PL,point,NA,755
2021-07-19,4 wk ahead inc case,2021-08-14,PL,point,NA,745
2021-07-19,1 wk ahead inc case,2021-07-24,PT,point,NA,26619
2021-07-19,2 wk ahead inc case,2021-07-31,PT,point,NA,30607
2021-07-19,3 wk ahead inc case,2021-08-07,PT,point,NA,33787
2021-07-19,4 wk ahead inc case,2021-08-14,PT,point,NA,36938
2021-07-19,1 wk ahead inc case,2021-07-24,RO,point,NA,417
2021-07-19,2 wk ahead inc case,2021-07-31,RO,point,NA,491
2021-07-19,3 wk ahead inc case,2021-08-07,RO,point,NA,558
2021-07-19,4 wk ahead inc case,2021-08-14,RO,point,NA,658
2021-07-19,1 wk ahead inc case,2021-07-24,SE,point,NA,1497
2021-07-19,2 wk ahead inc case,2021-07-31,SE,point,NA,1309
2021-07-19,3 wk ahead inc case,2021-08-07,SE,point,NA,1121
2021-07-19,4 wk ahead inc case,2021-08-14,SE,point,NA,960
2021-07-19,1 wk ahead inc case,2021-07-24,SI,point,NA,295
2021-07-19,2 wk ahead inc case,2021-07-31,SI,point,NA,258
2021-07-19,3 wk ahead inc case,2021-08-07,SI,point,NA,225
2021-07-19,4 wk ahead inc case,2021-08-14,SI,point,NA,161
2021-07-19,1 wk ahead inc case,2021-07-24,SK,point,NA,138
2021-07-19,2 wk ahead inc case,2021-07-31,SK,point,NA,114
2021-07-19,3 wk ahead inc case,2021-08-07,SK,point,NA,98
2021-07-19,4 wk ahead inc case,2021-08-14,SK,point,NA,80
2021-07-19,1 wk ahead inc death,2021-07-24,AT,point,NA,9
2021-07-19,2 wk ahead inc death,2021-07-31,AT,point,NA,14
2021-07-19,3 wk ahead inc death,2021-08-07,AT,point,NA,23
2021-07-19,4 wk ahead inc death,2021-08-14,AT,point,NA,57
2021-07-19,1 wk ahead inc death,2021-07-24,BE,point,NA,15
2021-07-19,2 wk ahead inc death,2021-07-31,BE,point,NA,17
2021-07-19,3 wk ahead inc death,2021-08-07,BE,point,NA,19
2021-07-19,4 wk ahead inc death,2021-08-14,BE,point,NA,20
2021-07-19,1 wk ahead inc death,2021-07-24,BG,point,NA,30
2021-07-19,2 wk ahead inc death,2021-07-31,BG,point,NA,27
2021-07-19,3 wk ahead inc death,2021-08-07,BG,point,NA,26
2021-07-19,4 wk ahead inc death,2021-08-14,BG,point,NA,25
2021-07-19,1 wk ahead inc death,2021-07-24,CH,point,NA,16
2021-07-19,2 wk ahead inc death,2021-07-31,CH,point,NA,31
2021-07-19,3 wk ahead inc death,2021-08-07,CH,point,NA,74
2021-07-19,4 wk ahead inc death,2021-08-14,CH,point,NA,24
2021-07-19,1 wk ahead inc death,2021-07-24,CY,point,NA,6
2021-07-19,2 wk ahead inc death,2021-07-31,CY,point,NA,9
2021-07-19,3 wk ahead inc death,2021-08-07,CY,point,NA,14
2021-07-19,4 wk ahead inc death,2021-08-14,CY,point,NA,24
2021-07-19,1 wk ahead inc death,2021-07-24,CZ,point,NA,11
2021-07-19,2 wk ahead inc death,2021-07-31,CZ,point,NA,12
2021-07-19,3 wk ahead inc death,2021-08-07,CZ,point,NA,13
2021-07-19,4 wk ahead inc death,2021-08-14,CZ,point,NA,17
2021-07-19,1 wk ahead inc death,2021-07-24,DE,point,NA,130
2021-07-19,2 wk ahead inc death,2021-07-31,DE,point,NA,149
2021-07-19,3 wk ahead inc death,2021-08-07,DE,point,NA,195
2021-07-19,4 wk ahead inc death,2021-08-14,DE,point,NA,267
2021-07-19,1 wk ahead inc death,2021-07-24,DK,point,NA,4
2021-07-19,2 wk ahead inc death,2021-07-31,DK,point,NA,5
2021-07-19,3 wk ahead inc death,2021-08-07,DK,point,NA,8
2021-07-19,4 wk ahead inc death,2021-08-14,DK,point,NA,10
2021-07-19,1 wk ahead inc death,2021-07-24,EE,point,NA,1
2021-07-19,2 wk ahead inc death,2021-07-31,EE,point,NA,1
2021-07-19,3 wk ahead inc death,2021-08-07,EE,point,NA,2
2021-07-19,4 wk ahead inc death,2021-08-14,EE,point,NA,2
2021-07-19,1 wk ahead inc death,2021-07-24,ES,point,NA,155
2021-07-19,2 wk ahead inc death,2021-07-31,ES,point,NA,222
2021-07-19,3 wk ahead inc death,2021-08-07,ES,point,NA,302
2021-07-19,4 wk ahead inc death,2021-08-14,ES,point,NA,427
2021-07-19,1 wk ahead inc death,2021-07-24,FI,point,NA,4
2021-07-19,2 wk ahead inc death,2021-07-31,FI,point,NA,5
2021-07-19,3 wk ahead inc death,2021-08-07,FI,point,NA,6
2021-07-19,4 wk ahead inc death,2021-08-14,FI,point,NA,8
2021-07-19,1 wk ahead inc death,2021-07-24,FR,point,NA,163
2021-07-19,2 wk ahead inc death,2021-07-31,FR,point,NA,222
2021-07-19,3 wk ahead inc death,2021-08-07,FR,point,NA,352
2021-07-19,4 wk ahead inc death,2021-08-14,FR,point,NA,523
2021-07-19,1 wk ahead inc death,2021-07-24,GB,point,NA,380
2021-07-19,2 wk ahead inc death,2021-07-31,GB,point,NA,486
2021-07-19,3 wk ahead inc death,2021-08-07,GB,point,NA,596
2021-07-19,4 wk ahead inc death,2021-08-14,GB,point,NA,770
2021-07-19,1 wk ahead inc death,2021-07-24,GR,point,NA,71
2021-07-19,2 wk ahead inc death,2021-07-31,GR,point,NA,103
2021-07-19,3 wk ahead inc death,2021-08-07,GR,point,NA,159
2021-07-19,4 wk ahead inc death,2021-08-14,GR,point,NA,277
2021-07-19,1 wk ahead inc death,2021-07-24,HR,point,NA,10
2021-07-19,2 wk ahead inc death,2021-07-31,HR,point,NA,11
2021-07-19,3 wk ahead inc death,2021-08-07,HR,point,NA,12
2021-07-19,4 wk ahead inc death,2021-08-14,HR,point,NA,13
2021-07-19,1 wk ahead inc death,2021-07-24,HU,point,NA,9
2021-07-19,2 wk ahead inc death,2021-07-31,HU,point,NA,9
2021-07-19,3 wk ahead inc death,2021-08-07,HU,point,NA,11
2021-07-19,4 wk ahead inc death,2021-08-14,HU,point,NA,11
2021-07-19,1 wk ahead inc death,2021-07-24,IE,point,NA,11
2021-07-19,1 wk ahead inc death,2021-07-24,IS,point,NA,0
2021-07-19,2 wk ahead inc death,2021-07-31,IS,point,NA,0
2021-07-19,3 wk ahead inc death,2021-08-07,IS,point,NA,0
2021-07-19,1 wk ahead inc death,2021-07-24,IT,point,NA,112
2021-07-19,2 wk ahead inc death,2021-07-31,IT,point,NA,174
2021-07-19,3 wk ahead inc death,2021-08-07,IT,point,NA,301
2021-07-19,4 wk ahead inc death,2021-08-14,IT,point,NA,619
2021-07-19,1 wk ahead inc death,2021-07-24,LI,point,NA,0
2021-07-19,2 wk ahead inc death,2021-07-31,LI,point,NA,0
2021-07-19,3 wk ahead inc death,2021-08-07,LI,point,NA,0
2021-07-19,4 wk ahead inc death,2021-08-14,LI,point,NA,0
2021-07-19,1 wk ahead inc death,2021-07-24,LT,point,NA,6
2021-07-19,2 wk ahead inc death,2021-07-31,LT,point,NA,6
2021-07-19,3 wk ahead inc death,2021-08-07,LT,point,NA,8
2021-07-19,4 wk ahead inc death,2021-08-14,LT,point,NA,7
2021-07-19,1 wk ahead inc death,2021-07-24,LU,point,NA,1
2021-07-19,2 wk ahead inc death,2021-07-31,LU,point,NA,1
2021-07-19,3 wk ahead inc death,2021-08-07,LU,point,NA,2
2021-07-19,4 wk ahead inc death,2021-08-14,LU,point,NA,2
2021-07-19,1 wk ahead inc death,2021-07-24,LV,point,NA,7
2021-07-19,2 wk ahead inc death,2021-07-31,LV,point,NA,6
2021-07-19,3 wk ahead inc death,2021-08-07,LV,point,NA,5
2021-07-19,4 wk ahead inc death,2021-08-14,LV,point,NA,4
2021-07-19,1 wk ahead inc death,2021-07-24,MT,point,NA,1
2021-07-19,2 wk ahead inc death,2021-07-31,MT,point,NA,3
2021-07-19,3 wk ahead inc death,2021-08-07,MT,point,NA,7
2021-07-19,4 wk ahead inc death,2021-08-14,MT,point,NA,11
2021-07-19,1 wk ahead inc death,2021-07-24,NL,point,NA,18
2021-07-19,2 wk ahead inc death,2021-07-31,NL,point,NA,35
2021-07-19,3 wk ahead inc death,2021-08-07,NL,point,NA,45
2021-07-19,4 wk ahead inc death,2021-08-14,NL,point,NA,72
2021-07-19,1 wk ahead inc death,2021-07-24,NO,point,NA,1
2021-07-19,2 wk ahead inc death,2021-07-31,NO,point,NA,1
2021-07-19,3 wk ahead inc death,2021-08-07,NO,point,NA,1
2021-07-19,4 wk ahead inc death,2021-08-14,NO,point,NA,1
2021-07-19,1 wk ahead inc death,2021-07-24,PL,point,NA,43
2021-07-19,2 wk ahead inc death,2021-07-31,PL,point,NA,36
2021-07-19,3 wk ahead inc death,2021-08-07,PL,point,NA,34
2021-07-19,4 wk ahead inc death,2021-08-14,PL,point,NA,29
2021-07-19,1 wk ahead inc death,2021-07-24,PT,point,NA,56
2021-07-19,2 wk ahead inc death,2021-07-31,PT,point,NA,65
2021-07-19,3 wk ahead inc death,2021-08-07,PT,point,NA,75
2021-07-19,4 wk ahead inc death,2021-08-14,PT,point,NA,88
2021-07-19,1 wk ahead inc death,2021-07-24,RO,point,NA,74
2021-07-19,2 wk ahead inc death,2021-07-31,RO,point,NA,60
2021-07-19,3 wk ahead inc death,2021-08-07,RO,point,NA,62
2021-07-19,4 wk ahead inc death,2021-08-14,RO,point,NA,72
2021-07-19,1 wk ahead inc death,2021-07-24,SE,point,NA,7
2021-07-19,2 wk ahead inc death,2021-07-31,SE,point,NA,7
2021-07-19,3 wk ahead inc death,2021-08-07,SE,point,NA,7
2021-07-19,4 wk ahead inc death,2021-08-14,SE,point,NA,5
2021-07-19,1 wk ahead inc death,2021-07-24,SI,point,NA,2
2021-07-19,2 wk ahead inc death,2021-07-31,SI,point,NA,2
2021-07-19,3 wk ahead inc death,2021-08-07,SI,point,NA,2
2021-07-19,4 wk ahead inc death,2021-08-14,SI,point,NA,1
2021-07-19,1 wk ahead inc death,2021-07-24,SK,point,NA,5
2021-07-19,2 wk ahead inc death,2021-07-31,SK,point,NA,5
2021-07-19,3 wk ahead inc death,2021-08-07,SK,point,NA,4
2021-07-19,4 wk ahead inc death,2021-08-14,SK,point,NA,3
2021-07-19,1 wk ahead inc case,2021-07-24,AT,quantile,0.01,1694
2021-07-19,2 wk ahead inc case,2021-07-31,AT,quantile,0.01,1705
2021-07-19,3 wk ahead inc case,2021-08-07,AT,quantile,0.01,2224
2021-07-19,4 wk ahead inc case,2021-08-14,AT,quantile,0.01,3663
2021-07-19,1 wk ahead inc case,2021-07-24,BE,quantile,0.01,4724
2021-07-19,2 wk ahead inc case,2021-07-31,BE,quantile,0.01,4478
2021-07-19,3 wk ahead inc case,2021-08-07,BE,quantile,0.01,4162
2021-07-19,4 wk ahead inc case,2021-08-14,BE,quantile,0.01,3585
2021-07-19,1 wk ahead inc case,2021-07-24,BG,quantile,0.01,185
2021-07-19,2 wk ahead inc case,2021-07-31,BG,quantile,0.01,170
2021-07-19,3 wk ahead inc case,2021-08-07,BG,quantile,0.01,178
2021-07-19,4 wk ahead inc case,2021-08-14,BG,quantile,0.01,239
2021-07-19,1 wk ahead inc case,2021-07-24,CH,quantile,0.01,1678
2021-07-19,2 wk ahead inc case,2021-07-31,CH,quantile,0.01,1709
2021-07-19,3 wk ahead inc case,2021-08-07,CH,quantile,0.01,1872
2021-07-19,4 wk ahead inc case,2021-08-14,CH,quantile,0.01,2367
2021-07-19,1 wk ahead inc case,2021-07-24,CY,quantile,0.01,4760
2021-07-19,2 wk ahead inc case,2021-07-31,CY,quantile,0.01,5006
2021-07-19,3 wk ahead inc case,2021-08-07,CY,quantile,0.01,5472
2021-07-19,4 wk ahead inc case,2021-08-14,CY,quantile,0.01,7508
2021-07-19,1 wk ahead inc case,2021-07-24,CZ,quantile,0.01,691
2021-07-19,2 wk ahead inc case,2021-07-31,CZ,quantile,0.01,683
2021-07-19,3 wk ahead inc case,2021-08-07,CZ,quantile,0.01,782
2021-07-19,4 wk ahead inc case,2021-08-14,CZ,quantile,0.01,941
2021-07-19,1 wk ahead inc case,2021-07-24,DE,quantile,0.01,5659
2021-07-19,2 wk ahead inc case,2021-07-31,DE,quantile,0.01,5028
2021-07-19,3 wk ahead inc case,2021-08-07,DE,quantile,0.01,5627
2021-07-19,4 wk ahead inc case,2021-08-14,DE,quantile,0.01,7134
2021-07-19,1 wk ahead inc case,2021-07-24,DK,quantile,0.01,4458
2021-07-19,2 wk ahead inc case,2021-07-31,DK,quantile,0.01,3710
2021-07-19,3 wk ahead inc case,2021-08-07,DK,quantile,0.01,3115
2021-07-19,4 wk ahead inc case,2021-08-14,DK,quantile,0.01,2329
2021-07-19,1 wk ahead inc case,2021-07-24,EE,quantile,0.01,195
2021-07-19,2 wk ahead inc case,2021-07-31,EE,quantile,0.01,161
2021-07-19,3 wk ahead inc case,2021-08-07,EE,quantile,0.01,151
2021-07-19,4 wk ahead inc case,2021-08-14,EE,quantile,0.01,150
2021-07-19,1 wk ahead inc case,2021-07-24,ES,quantile,0.01,143828
2021-07-19,1 wk ahead inc case,2021-07-24,FI,quantile,0.01,1308
2021-07-19,2 wk ahead inc case,2021-07-31,FI,quantile,0.01,1139
2021-07-19,3 wk ahead inc case,2021-08-07,FI,quantile,0.01,956
2021-07-19,4 wk ahead inc case,2021-08-14,FI,quantile,0.01,693
2021-07-19,1 wk ahead inc case,2021-07-24,FR,quantile,0.01,37722
2021-07-19,2 wk ahead inc case,2021-07-31,FR,quantile,0.01,44517
2021-07-19,3 wk ahead inc case,2021-08-07,FR,quantile,0.01,52545
2021-07-19,4 wk ahead inc case,2021-08-14,FR,quantile,0.01,79442
2021-07-19,1 wk ahead inc case,2021-07-24,GB,quantile,0.01,295927
2021-07-19,2 wk ahead inc case,2021-07-31,GB,quantile,0.01,305830
2021-07-19,3 wk ahead inc case,2021-08-07,GB,quantile,0.01,304614
2021-07-19,4 wk ahead inc case,2021-08-14,GB,quantile,0.01,301233
2021-07-19,1 wk ahead inc case,2021-07-24,GR,quantile,0.01,12911
2021-07-19,2 wk ahead inc case,2021-07-31,GR,quantile,0.01,12671
2021-07-19,3 wk ahead inc case,2021-08-07,GR,quantile,0.01,12586
2021-07-19,4 wk ahead inc case,2021-08-14,GR,quantile,0.01,13633
2021-07-19,1 wk ahead inc case,2021-07-24,HR,quantile,0.01,340
2021-07-19,2 wk ahead inc case,2021-07-31,HR,quantile,0.01,254
2021-07-19,3 wk ahead inc case,2021-08-07,HR,quantile,0.01,264
2021-07-19,4 wk ahead inc case,2021-08-14,HR,quantile,0.01,322
2021-07-19,1 wk ahead inc case,2021-07-24,HU,quantile,0.01,53
2021-07-19,2 wk ahead inc case,2021-07-31,HU,quantile,0.01,50
2021-07-19,3 wk ahead inc case,2021-08-07,HU,quantile,0.01,54
2021-07-19,4 wk ahead inc case,2021-08-14,HU,quantile,0.01,81
2021-07-19,1 wk ahead inc case,2021-07-24,IE,quantile,0.01,5819
2021-07-19,1 wk ahead inc case,2021-07-24,IS,quantile,0.01,0
2021-07-19,2 wk ahead inc case,2021-07-31,IS,quantile,0.01,0
2021-07-19,3 wk ahead inc case,2021-08-07,IS,quantile,0.01,0
2021-07-19,4 wk ahead inc case,2021-08-14,IS,quantile,0.01,0
2021-07-19,1 wk ahead inc case,2021-07-24,IT,quantile,0.01,16910
2021-07-19,2 wk ahead inc case,2021-07-31,IT,quantile,0.01,18415
2021-07-19,3 wk ahead inc case,2021-08-07,IT,quantile,0.01,21423
2021-07-19,4 wk ahead inc case,2021-08-14,IT,quantile,0.01,32454
2021-07-19,1 wk ahead inc case,2021-07-24,LI,quantile,0.01,1
2021-07-19,2 wk ahead inc case,2021-07-31,LI,quantile,0.01,1
2021-07-19,3 wk ahead inc case,2021-08-07,LI,quantile,0.01,0
2021-07-19,4 wk ahead inc case,2021-08-14,LI,quantile,0.01,0
2021-07-19,1 wk ahead inc case,2021-07-24,LT,quantile,0.01,230
2021-07-19,2 wk ahead inc case,2021-07-31,LT,quantile,0.01,154
2021-07-19,3 wk ahead inc case,2021-08-07,LT,quantile,0.01,142
2021-07-19,4 wk ahead inc case,2021-08-14,LT,quantile,0.01,156
2021-07-19,1 wk ahead inc case,2021-07-24,LU,quantile,0.01,375
2021-07-19,2 wk ahead inc case,2021-07-31,LU,quantile,0.01,287
2021-07-19,3 wk ahead inc case,2021-08-07,LU,quantile,0.01,190
2021-07-19,4 wk ahead inc case,2021-08-14,LU,quantile,0.01,140
2021-07-19,1 wk ahead inc case,2021-07-24,LV,quantile,0.01,92
2021-07-19,2 wk ahead inc case,2021-07-31,LV,quantile,0.01,56
2021-07-19,3 wk ahead inc case,2021-08-07,LV,quantile,0.01,40
2021-07-19,4 wk ahead inc case,2021-08-14,LV,quantile,0.01,34
