forecast_date,target,target_end_date,location,type,quantile,value
2021-04-26,1 wk ahead inc case,2021-05-01,AT,quantile,0.01,9901.978291884207
2021-04-26,2 wk ahead inc case,2021-05-08,AT,quantile,0.01,7973.798618061526
2021-04-26,3 wk ahead inc case,2021-05-15,AT,quantile,0.01,6624.051424788369
2021-04-26,4 wk ahead inc case,2021-05-22,AT,quantile,0.01,5624.100842101087
2021-04-26,1 wk ahead inc case,2021-05-01,BE,quantile,0.01,14187.716600332762
2021-04-26,2 wk ahead inc case,2021-05-08,BE,quantile,0.01,9842.46837144058
2021-04-26,3 wk ahead inc case,2021-05-15,BE,quantile,0.01,6670.925917320524
2021-04-26,4 wk ahead inc case,2021-05-22,BE,quantile,0.01,5287.203803871514
2021-04-26,1 wk ahead inc case,2021-05-01,BG,quantile,0.01,4544.84726875188
2021-04-26,2 wk ahead inc case,2021-05-08,BG,quantile,0.01,2567.074040040727
2021-04-26,3 wk ahead inc case,2021-05-15,BG,quantile,0.01,1391.4033636552758
2021-04-26,4 wk ahead inc case,2021-05-22,BG,quantile,0.01,781.6434944292783
2021-04-26,1 wk ahead inc case,2021-05-01,CH,quantile,0.01,8216.45527500534
2021-04-26,2 wk ahead inc case,2021-05-08,CH,quantile,0.01,6173.418342577841
2021-04-26,3 wk ahead inc case,2021-05-15,CH,quantile,0.01,4290.16972925411
2021-04-26,4 wk ahead inc case,2021-05-22,CH,quantile,0.01,2956.066747212099
2021-04-26,1 wk ahead inc case,2021-05-01,CY,quantile,0.01,4894.1658415661095
2021-04-26,2 wk ahead inc case,2021-05-08,CY,quantile,0.01,4729.577192181964
2021-04-26,3 wk ahead inc case,2021-05-15,CY,quantile,0.01,4400.490258269467
2021-04-26,4 wk ahead inc case,2021-05-22,CY,quantile,0.01,3969.9160475342105
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,quantile,0.01,8148.139537333086
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,quantile,0.01,4577.494292218824
2021-04-26,3 wk ahead inc case,2021-05-15,CZ,quantile,0.01,2379.7342412316675
2021-04-26,4 wk ahead inc case,2021-05-22,CZ,quantile,0.01,1500.106962969088
2021-04-26,1 wk ahead inc case,2021-05-01,DE,quantile,0.01,105415.23549880733
2021-04-26,2 wk ahead inc case,2021-05-08,DE,quantile,0.01,95813.05128725391
2021-04-26,3 wk ahead inc case,2021-05-15,DE,quantile,0.01,84851.21584901871
2021-04-26,4 wk ahead inc case,2021-05-22,DE,quantile,0.01,64991.21894978567
2021-04-26,1 wk ahead inc case,2021-05-01,DK,quantile,0.01,3360.9484159268186
2021-04-26,2 wk ahead inc case,2021-05-08,DK,quantile,0.01,2913.0771735274684
2021-04-26,3 wk ahead inc case,2021-05-15,DK,quantile,0.01,2537.561045303035
2021-04-26,4 wk ahead inc case,2021-05-22,DK,quantile,0.01,2191.648049052737
2021-04-26,1 wk ahead inc case,2021-05-01,EE,quantile,0.01,1441.1749122251847
2021-04-26,2 wk ahead inc case,2021-05-08,EE,quantile,0.01,902.3572547896397
2021-04-26,3 wk ahead inc case,2021-05-15,EE,quantile,0.01,525.3218731413967
2021-04-26,4 wk ahead inc case,2021-05-22,EE,quantile,0.01,314.96746575837085
2021-04-26,1 wk ahead inc case,2021-05-01,ES,quantile,0.01,14814.43171187034
2021-04-26,2 wk ahead inc case,2021-05-08,ES,quantile,0.01,7723.587046532741
2021-04-26,3 wk ahead inc case,2021-05-15,ES,quantile,0.01,6837.780604681298
2021-04-26,4 wk ahead inc case,2021-05-22,ES,quantile,0.01,5700.781054764871
2021-04-26,1 wk ahead inc case,2021-05-01,FI,quantile,0.01,926.5916040414083
2021-04-26,2 wk ahead inc case,2021-05-08,FI,quantile,0.01,646.7820047153546
2021-04-26,3 wk ahead inc case,2021-05-15,FI,quantile,0.01,449.34601414606345
