forecast_date,target,target_end_date,location,type,quantile,value
2021-08-02,1 wk ahead inc case,2021-08-07,AT,point,NA,3557
2021-08-02,2 wk ahead inc case,2021-08-14,AT,point,NA,3869
2021-08-02,3 wk ahead inc case,2021-08-21,AT,point,NA,4205
2021-08-02,4 wk ahead inc case,2021-08-28,AT,point,NA,4554
2021-08-02,1 wk ahead inc case,2021-08-07,BE,point,NA,11283
2021-08-02,2 wk ahead inc case,2021-08-14,BE,point,NA,12225
2021-08-02,3 wk ahead inc case,2021-08-21,BE,point,NA,12543
2021-08-02,4 wk ahead inc case,2021-08-28,BE,point,NA,12023
2021-08-02,1 wk ahead inc case,2021-08-07,BG,point,NA,1909
2021-08-02,2 wk ahead inc case,2021-08-14,BG,point,NA,2797
2021-08-02,3 wk ahead inc case,2021-08-21,BG,point,NA,3915
2021-08-02,4 wk ahead inc case,2021-08-28,BG,point,NA,3592
2021-08-02,1 wk ahead inc case,2021-08-07,CH,point,NA,5375
2021-08-02,2 wk ahead inc case,2021-08-14,CH,point,NA,5430
2021-08-02,3 wk ahead inc case,2021-08-21,CH,point,NA,5393
2021-08-02,4 wk ahead inc case,2021-08-28,CH,point,NA,5033
2021-08-02,1 wk ahead inc case,2021-08-07,CY,point,NA,4337
2021-08-02,2 wk ahead inc case,2021-08-14,CY,point,NA,4033
2021-08-02,3 wk ahead inc case,2021-08-21,CY,point,NA,3870
2021-08-02,4 wk ahead inc case,2021-08-28,CY,point,NA,3757
2021-08-02,1 wk ahead inc case,2021-08-07,CZ,point,NA,1216
2021-08-02,2 wk ahead inc case,2021-08-14,CZ,point,NA,1128
2021-08-02,3 wk ahead inc case,2021-08-21,CZ,point,NA,1006
2021-08-02,4 wk ahead inc case,2021-08-28,CZ,point,NA,859
2021-08-02,1 wk ahead inc case,2021-08-07,DE,point,NA,19718
2021-08-02,2 wk ahead inc case,2021-08-14,DE,point,NA,24557
2021-08-02,3 wk ahead inc case,2021-08-21,DE,point,NA,30182
2021-08-02,4 wk ahead inc case,2021-08-28,DE,point,NA,35614
2021-08-02,1 wk ahead inc case,2021-08-07,DK,point,NA,6307
2021-08-02,2 wk ahead inc case,2021-08-14,DK,point,NA,6327
2021-08-02,3 wk ahead inc case,2021-08-21,DK,point,NA,6436
2021-08-02,4 wk ahead inc case,2021-08-28,DK,point,NA,6376
2021-08-02,1 wk ahead inc case,2021-08-07,EE,point,NA,1483
2021-08-02,2 wk ahead inc case,2021-08-14,EE,point,NA,2000
2021-08-02,3 wk ahead inc case,2021-08-21,EE,point,NA,2306
2021-08-02,4 wk ahead inc case,2021-08-28,EE,point,NA,2445
2021-08-02,1 wk ahead inc case,2021-08-07,ES,point,NA,157771
