weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,2,Overall,0.54,0.59,0.57,0.95,0.29,159,29,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,2,Overall,0.52,0.56,0.53,0.95,0.27,159,29,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.54,0.59,0.57,0.95,0.29,159,29,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.52,0.56,0.53,0.95,0.27,159,29,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.27,0.85,0.18,283,31,NA
10,EuroCOVIDhub-mean,inc case,2,Overall,0.79,0.64,0.53,0.94,0.19,283,31,NA
10,EuroCOVIDhub-median,inc case,2,Overall,0.8,0.61,0.46,0.94,0.17,283,31,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,1,Overall,0.57,0.51,0.72,0.97,0.17,187,29,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,1,Overall,0.62,0.52,0.65,0.97,0.19,187,29,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.57,0.51,0.72,0.97,0.17,187,29,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.62,0.52,0.65,0.97,0.19,187,29,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.22,0.92,0.24,283,30,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,1,Overall,0.49,1.2,0.78,0.97,0.07,69,20,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,1,Overall,0.47,1.19,0.74,0.97,0.07,69,20,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,1,Overall,0.49,1.2,0.78,0.97,0.07,69,20,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,1,Overall,0.47,1.19,0.74,0.97,0.07,69,20,NA
10,EuroCOVIDhub-cutoff_mean,inc case,1,Overall,0.51,1.22,0.8,0.99,0.08,69,20,NA
10,EuroCOVIDhub-cutoff_median,inc case,1,Overall,0.49,1.2,0.77,0.99,0.08,69,20,NA
10,EuroCOVIDhub-mean,inc case,1,Overall,0.69,0.54,0.69,0.97,0.15,283,30,NA
10,EuroCOVIDhub-median,inc case,1,Overall,0.75,0.53,0.63,0.97,0.15,283,30,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,Overall,0.61,0.66,0.48,0.88,0.36,130,29,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,Overall,0.56,0.6,0.49,0.92,0.32,130,29,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.61,0.66,0.48,0.88,0.36,130,29,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.56,0.6,0.49,0.92,0.32,130,29,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.3,0.82,0.2,253,31,NA
10,EuroCOVIDhub-mean,inc case,3,Overall,0.93,0.71,0.45,0.9,0.27,253,31,NA
10,EuroCOVIDhub-median,inc case,3,Overall,0.91,0.65,0.46,0.91,0.2,253,31,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,Overall,0.7,0.76,0.4,0.85,0.42,102,27,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,Overall,0.64,0.68,0.47,0.9,0.39,102,27,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,0.7,0.76,0.4,0.85,0.42,102,27,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,0.64,0.68,0.47,0.9,0.39,102,27,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.32,0.77,0.23,226,31,NA
10,EuroCOVIDhub-mean,inc case,4,Overall,1.13,0.8,0.41,0.87,0.31,226,31,NA
10,EuroCOVIDhub-median,inc case,4,Overall,1.07,0.72,0.41,0.89,0.24,226,31,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,2,Overall,0.35,0.41,0.6,0.97,0.27,155,26,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,2,Overall,0.35,0.4,0.61,0.95,0.23,155,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.35,0.41,0.6,0.97,0.27,155,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.35,0.4,0.61,0.95,0.23,155,26,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.47,0.89,0.16,280,31,NA
10,EuroCOVIDhub-mean,inc death,2,Overall,0.48,0.41,0.64,0.95,0.24,280,31,NA
10,EuroCOVIDhub-median,inc death,2,Overall,0.47,0.39,0.64,0.97,0.18,280,31,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,1,Overall,0.41,0.44,0.7,0.98,0.16,181,26,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,1,Overall,0.4,0.42,0.66,0.97,0.12,181,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.41,0.44,0.7,0.98,0.16,181,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.4,0.42,0.66,0.97,0.12,181,26,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.36,0.94,0.17,280,30,NA
