model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.07408445564801319
epiforecasts-arimareg,inc hosp,BE,0.2566330205296722
epiforecasts-arimareg,inc hosp,CZ,0.14107601257872332
epiforecasts-arimareg,inc hosp,EE,0.3268625797897148
epiforecasts-arimareg,inc hosp,FR,0.15723797939649709
epiforecasts-arimareg,inc hosp,GB,0.17880386863336742
epiforecasts-arimareg,inc hosp,IE,0.213480463640835
epiforecasts-arimareg,inc hosp,IS,0.11910195914008968
epiforecasts-arimareg,inc hosp,LV,0.26279787011012373
epiforecasts-arimareg,inc hosp,MT,0.12406179059353785
epiforecasts-arimareg,inc hosp,NO,0.25136323043867564
epiforecasts-arimareg,inc hosp,Overall,0.23889474827964582
epiforecasts-arimareg,inc hosp,SI,0.16542751126765168
epiforecasts-caseconv,inc hosp,BE,0.16293137815309172
epiforecasts-caseconv,inc hosp,CZ,0.15945060177132114
epiforecasts-caseconv,inc hosp,EE,0.16501186329809586
epiforecasts-caseconv,inc hosp,FR,0.0277859701516835
epiforecasts-caseconv,inc hosp,GB,0.20390592362509288
epiforecasts-caseconv,inc hosp,IE,0.14223299602082629
epiforecasts-caseconv,inc hosp,IS,0.1214183667732843
epiforecasts-caseconv,inc hosp,LV,0.20784427822374174
epiforecasts-caseconv,inc hosp,MT,0.18652748188537757
epiforecasts-caseconv,inc hosp,NO,0.07880855380556838
epiforecasts-caseconv,inc hosp,Overall,0.13119816643820092
epiforecasts-caseconv,inc hosp,SI,0.07824983866311144
epiforecasts-EpiNow2,inc case,AT,0.19636235216044812
epiforecasts-EpiNow2,inc case,BE,0.13046420330345834
epiforecasts-EpiNow2,inc case,BG,0.19171559958234052
epiforecasts-EpiNow2,inc death,BG,0.05491526977956559
epiforecasts-EpiNow2,inc case,CH,0.12514354282365944
epiforecasts-EpiNow2,inc case,CY,0.2541764354044771
epiforecasts-EpiNow2,inc case,CZ,0.13252200179263882
epiforecasts-EpiNow2,inc case,DE,0.07009188019392867
epiforecasts-EpiNow2,inc death,DE,0.07680464239743971
epiforecasts-EpiNow2,inc case,DK,0.1573517181173434
epiforecasts-EpiNow2,inc case,EE,0.1408395361380349
epiforecasts-EpiNow2,inc case,FR,0.10363824446206774
epiforecasts-EpiNow2,inc case,GB,0.15896823132741314
epiforecasts-EpiNow2,inc case,GR,0.24928888448963926
epiforecasts-EpiNow2,inc case,HR,0.12612949528798653
epiforecasts-EpiNow2,inc case,HU,0.21345205523662023
epiforecasts-EpiNow2,inc death,HU,0.09087868532961955
epiforecasts-EpiNow2,inc case,IE,0.23688354322963903
epiforecasts-EpiNow2,inc case,IS,0.22152096165487487
epiforecasts-EpiNow2,inc case,IT,0.19340131304591582
epiforecasts-EpiNow2,inc case,LI,0.10908099261056071
epiforecasts-EpiNow2,inc case,LT,0.13707498665178972
epiforecasts-EpiNow2,inc case,LU,0.1521092378708964
epiforecasts-EpiNow2,inc case,LV,0.16559268724947387
epiforecasts-EpiNow2,inc death,LV,0.09820473091772047
epiforecasts-EpiNow2,inc case,MT,0.283312774414548
epiforecasts-EpiNow2,inc death,MT,0.18575020153257954
epiforecasts-EpiNow2,inc case,NO,0.1809133703682489
epiforecasts-EpiNow2,inc death,NO,0.08425269310450774
epiforecasts-EpiNow2,inc case,Overall,0.17858891598823312
epiforecasts-EpiNow2,inc death,Overall,0.10504982949100264
epiforecasts-EpiNow2,inc case,PL,0.11131735912628167
epiforecasts-EpiNow2,inc death,PL,0.09032212111411769
epiforecasts-EpiNow2,inc case,RO,0.14558894185280274
epiforecasts-EpiNow2,inc death,RO,0.036469963586062394
epiforecasts-EpiNow2,inc case,SE,0.18950856735478006
epiforecasts-EpiNow2,inc case,SI,0.09899238169228451
epiforecasts-EpiNow2,inc case,SK,0.15362470280192891
epiforecasts-tsensemble,inc hosp,BE,0.3557707079123674
epiforecasts-tsensemble,inc hosp,CZ,0.1960504729964109
epiforecasts-tsensemble,inc hosp,EE,0.2293310035621386
epiforecasts-tsensemble,inc hosp,FR,0.26696520242858496
