model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.05448593384041042
epiforecasts-EpiExpert,inc case,DE,0.0847256271218382
epiforecasts-EpiExpert,inc death,DE,0.06131464845501132
epiforecasts-EpiExpert,inc case,GB,0.11646644506187419
epiforecasts-EpiExpert,inc death,GB,0.1646200137934021
epiforecasts-EpiExpert,inc case,PL,0.044338868522609924
epiforecasts-EpiExpert,inc death,PL,0.10088433960319802
epiforecasts-EpiNow2,inc case,AT,0.03834325467123766
epiforecasts-EpiNow2,inc death,AT,0.06911446024367295
epiforecasts-EpiNow2,inc case,BE,0.1170359510433719
epiforecasts-EpiNow2,inc death,BE,0.15088512170599166
epiforecasts-EpiNow2,inc case,BG,0.12353557422984963
epiforecasts-EpiNow2,inc death,BG,0.18119175204947294
epiforecasts-EpiNow2,inc case,CH,0.049506926655222785
epiforecasts-EpiNow2,inc case,CZ,0.09141308880432061
epiforecasts-EpiNow2,inc death,CZ,0.11646637737935565
epiforecasts-EpiNow2,inc case,DE,0.0499856207208485
epiforecasts-EpiNow2,inc death,DE,0.034240647838512814
epiforecasts-EpiNow2,inc case,DK,0.05763823862492103
epiforecasts-EpiNow2,inc death,DK,0.08055164863764121
epiforecasts-EpiNow2,inc case,EE,0.07371939395066585
epiforecasts-EpiNow2,inc death,EE,0.14102192013662934
epiforecasts-EpiNow2,inc case,ES,0.14828385763712834
epiforecasts-EpiNow2,inc death,ES,0.08675747954295364
epiforecasts-EpiNow2,inc case,GB,0.11337651896839587
epiforecasts-EpiNow2,inc death,GB,0.11138468594976463
epiforecasts-EpiNow2,inc case,GR,0.05016862517515835
epiforecasts-EpiNow2,inc death,GR,0.07260563914585917
epiforecasts-EpiNow2,inc case,HR,0.13687982143548474
epiforecasts-EpiNow2,inc death,HR,0.14603820210533414
epiforecasts-EpiNow2,inc case,HU,0.1462678746306594
epiforecasts-EpiNow2,inc death,HU,0.22415294452533593
epiforecasts-EpiNow2,inc case,IE,0.09343549169889442
epiforecasts-EpiNow2,inc death,IE,0.09487517635397692
epiforecasts-EpiNow2,inc case,IS,0.01954777041457276
epiforecasts-EpiNow2,inc death,IS,NA
epiforecasts-EpiNow2,inc case,IT,0.06473867970416747
epiforecasts-EpiNow2,inc death,IT,0.09082861925005169
epiforecasts-EpiNow2,inc death,LI,NA
epiforecasts-EpiNow2,inc case,LT,0.0691724803331629
epiforecasts-EpiNow2,inc death,LT,0.09484800184845343
epiforecasts-EpiNow2,inc case,LU,0.03918803685441412
epiforecasts-EpiNow2,inc death,LU,0.0889745690965655
epiforecasts-EpiNow2,inc case,LV,0.17363162915793443
epiforecasts-EpiNow2,inc death,LV,0.1752919662465307
epiforecasts-EpiNow2,inc case,MT,0.07284616356101292
epiforecasts-EpiNow2,inc death,MT,0.03118165969821901
epiforecasts-EpiNow2,inc death,NL,0.036545478764040455
epiforecasts-EpiNow2,inc death,NO,0.1405517108189878
epiforecasts-EpiNow2,inc case,Overall,0.11387727621701381
epiforecasts-EpiNow2,inc death,Overall,0.10033996413265961
epiforecasts-EpiNow2,inc case,PL,0.10592063035956814
epiforecasts-EpiNow2,inc death,PL,0.07417966147293972
epiforecasts-EpiNow2,inc case,PT,0.135874444354105
epiforecasts-EpiNow2,inc death,PT,0.21331362005262122
epiforecasts-EpiNow2,inc case,RO,0.16128434640881759
epiforecasts-EpiNow2,inc death,RO,0.12765041239960767
epiforecasts-EpiNow2,inc case,SE,0.13148901743679806
epiforecasts-EpiNow2,inc death,SE,0.12783966908777417
epiforecasts-EpiNow2,inc case,SI,0.014764555461238464
epiforecasts-EpiNow2,inc death,SI,0.03307297849859825
epiforecasts-EpiNow2,inc death,SK,0.17959934395456087
FIAS_FZJ-Epi1Ger,inc case,DE,0.09013364587429597
FIAS_FZJ-Epi1Ger,inc death,DE,0.03886776241128482
HZI-AgeExtendedSEIR,inc case,DE,0.08388675952657249
HZI-AgeExtendedSEIR,inc death,DE,0.10546119534261947
IEM_Health-CovidProject,inc case,AT,0.1618937419452257
IEM_Health-CovidProject,inc death,AT,0.16371246448780633
IEM_Health-CovidProject,inc case,BE,0.18205592384524516
IEM_Health-CovidProject,inc death,BE,0.11940549199754738
IEM_Health-CovidProject,inc case,BG,0.08766170660415094
IEM_Health-CovidProject,inc death,BG,0.09112879294252904
IEM_Health-CovidProject,inc case,CH,0.19195323709264292
IEM_Health-CovidProject,inc case,CZ,0.17483862615972
