model,target_variable,location,weight
DSMPG-bayes,inc case,BE,0.19053125935450702
DSMPG-bayes,inc case,BG,0.16378833984968247
DSMPG-bayes,inc case,CY,0.18785443088761428
DSMPG-bayes,inc case,DE,0.08194516696936799
DSMPG-bayes,inc case,EE,0.18686627540130585
DSMPG-bayes,inc case,FR,0.11753889699364276
DSMPG-bayes,inc case,GR,0.12750477830176976
DSMPG-bayes,inc case,HR,0.11871037732544103
DSMPG-bayes,inc case,HU,0.18946389196695554
DSMPG-bayes,inc case,LT,0.23359848489329824
DSMPG-bayes,inc case,LV,0.2514308445639109
DSMPG-bayes,inc case,NL,0.07856538567812527
DSMPG-bayes,inc case,NO,0.14171004270718185
DSMPG-bayes,inc case,Overall,0.11483019605426144
DSMPG-bayes,inc case,SI,0.14800575389187098
DSMPG-bayes,inc case,SK,0.17012291870819268
epiforecasts-EpiExpert,inc case,DE,0.0873766910048016
epiforecasts-EpiExpert,inc death,DE,0.15311708169264382
epiforecasts-EpiExpert,inc case,FR,0.1286574413038522
epiforecasts-EpiExpert,inc death,FR,0.11713584149623817
epiforecasts-EpiExpert,inc case,GB,0.1220079860011379
epiforecasts-EpiExpert,inc death,GB,0.1400764263042377
epiforecasts-EpiExpert,inc case,IT,0.12239930594911447
epiforecasts-EpiExpert,inc death,IT,0.07352493385845366
epiforecasts-EpiExpert,inc case,NL,0.21035248423498057
epiforecasts-EpiExpert,inc death,NL,0.13291034433649773
epiforecasts-EpiExpert,inc case,Overall,0.15480273265542835
epiforecasts-EpiExpert,inc death,Overall,0.1500322002838612
epiforecasts-EpiExpert,inc case,PL,0.09453667162949057
epiforecasts-EpiExpert,inc death,PL,0.13591380975198225
epiforecasts-EpiExpert,inc case,SK,0.12420478578253005
epiforecasts-EpiExpert,inc death,SK,0.13794269697258735
epiforecasts-EpiNow2,inc case,AT,0.21119357734788705
epiforecasts-EpiNow2,inc death,AT,0.12667908307211143
epiforecasts-EpiNow2,inc case,BE,0.14777424445999165
epiforecasts-EpiNow2,inc death,BE,0.1256742167407602
epiforecasts-EpiNow2,inc case,BG,0.16607588649562774
epiforecasts-EpiNow2,inc death,BG,0.10483090408134303
epiforecasts-EpiNow2,inc case,CH,0.2448894726719559
