model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.035279112522490906
epiforecasts-EpiExpert,inc case,DE,0.06710432591690578
epiforecasts-EpiExpert,inc death,DE,0.08510217945966017
epiforecasts-EpiExpert,inc case,GB,0.16369319714378197
epiforecasts-EpiExpert,inc death,GB,0.1608401962676133
epiforecasts-EpiExpert,inc case,PL,0.027237719303303435
epiforecasts-EpiExpert,inc death,PL,0.06630055202712755
epiforecasts-EpiNow2,inc case,AT,0.13771797997078827
epiforecasts-EpiNow2,inc death,AT,0.19074607205000707
epiforecasts-EpiNow2,inc case,BE,0.15624321696107957
epiforecasts-EpiNow2,inc death,BE,0.14906982927078807
epiforecasts-EpiNow2,inc case,BG,0.19445593362616725
epiforecasts-EpiNow2,inc death,BG,0.1575879837966913
epiforecasts-EpiNow2,inc case,CH,0.06745967144957996
epiforecasts-EpiNow2,inc death,CH,0.21379135645293523
epiforecasts-EpiNow2,inc case,CY,0.15685692044138505
epiforecasts-EpiNow2,inc case,CZ,0.1802555143261317
epiforecasts-EpiNow2,inc death,CZ,0.11301945767843288
epiforecasts-EpiNow2,inc case,DE,0.07865507054194693
epiforecasts-EpiNow2,inc death,DE,0.0520843939862401
epiforecasts-EpiNow2,inc case,DK,0.12158367863772719
epiforecasts-EpiNow2,inc death,DK,0.1534956583878237
epiforecasts-EpiNow2,inc case,EE,0.16411832590881464
epiforecasts-EpiNow2,inc death,EE,0.13765560305021995
epiforecasts-EpiNow2,inc death,ES,0.09176199780475036
epiforecasts-EpiNow2,inc case,FI,0.13162988633833253
epiforecasts-EpiNow2,inc death,FI,0.1502391201417502
epiforecasts-EpiNow2,inc case,FR,0.21505577526761968
epiforecasts-EpiNow2,inc case,GB,0.16950478994178608
epiforecasts-EpiNow2,inc death,GB,0.09118499315959179
epiforecasts-EpiNow2,inc case,GR,0.15710020827712975
epiforecasts-EpiNow2,inc death,GR,0.08956653817012752
epiforecasts-EpiNow2,inc case,HR,0.1951773892131214
epiforecasts-EpiNow2,inc death,HR,0.2351827837893795
epiforecasts-EpiNow2,inc case,HU,0.25165558672739596
epiforecasts-EpiNow2,inc death,HU,0.14767075117627881
epiforecasts-EpiNow2,inc case,IS,0.12607467256158558
epiforecasts-EpiNow2,inc case,IT,0.20134513887275274
epiforecasts-EpiNow2,inc death,IT,0.18069824013257968
epiforecasts-EpiNow2,inc case,LI,0.16184581293465378
epiforecasts-EpiNow2,inc case,LT,0.20392437116547657
epiforecasts-EpiNow2,inc death,LT,0.21564685189101213
epiforecasts-EpiNow2,inc case,LU,0.14796626875416
epiforecasts-EpiNow2,inc death,LU,0.21620831587774703
epiforecasts-EpiNow2,inc case,LV,0.23746478000080645
epiforecasts-EpiNow2,inc death,LV,0.16845060285559535
epiforecasts-EpiNow2,inc case,MT,0.10952916528949985
epiforecasts-EpiNow2,inc death,MT,NA
epiforecasts-EpiNow2,inc case,NL,0.17285346844866462
epiforecasts-EpiNow2,inc death,NL,0.13963334439610547
epiforecasts-EpiNow2,inc case,NO,0.09359984409026276
epiforecasts-EpiNow2,inc death,NO,0.13023039595213903
epiforecasts-EpiNow2,inc case,Overall,0.18854263241763222
epiforecasts-EpiNow2,inc death,Overall,0.11419486705396041
epiforecasts-EpiNow2,inc case,PL,0.12771463939993388
epiforecasts-EpiNow2,inc death,PL,0.05272721066724316
epiforecasts-EpiNow2,inc case,PT,0.16720686931796253
epiforecasts-EpiNow2,inc death,PT,0.1911760854950769
epiforecasts-EpiNow2,inc case,RO,0.29911730017288685
epiforecasts-EpiNow2,inc death,RO,0.08939365704103237
epiforecasts-EpiNow2,inc case,SE,0.15629765231558937
epiforecasts-EpiNow2,inc case,SI,0.21359478530472276
epiforecasts-EpiNow2,inc death,SI,0.22569100088591817
epiforecasts-EpiNow2,inc case,SK,0.17144708918146118
epiforecasts-EpiNow2,inc death,SK,0.1848547359289508
FIAS_FZJ-Epi1Ger,inc case,DE,0.06854227575798233
FIAS_FZJ-Epi1Ger,inc death,DE,0.06712284577099958
HZI-AgeExtendedSEIR,inc case,DE,0.06854227575798233
HZI-AgeExtendedSEIR,inc death,DE,0.08009616890320957
ICM-agentModel,inc case,PL,0.004757581765726014
ICM-agentModel,inc death,PL,0.0797185208897605
IEM_Health-CovidProject,inc case,AT,0.12566765672334432
IEM_Health-CovidProject,inc death,AT,0.09579318155815333
IEM_Health-CovidProject,inc case,BE,0.1540911065346184
IEM_Health-CovidProject,inc death,BE,0.10798759285757874
IEM_Health-CovidProject,inc case,BG,0.09602762154378629
IEM_Health-CovidProject,inc death,BG,0.08444337244954779
IEM_Health-CovidProject,inc case,CH,0.15797278804439452
IEM_Health-CovidProject,inc death,CH,0.06721199834975221
IEM_Health-CovidProject,inc case,CY,0.12489778208447519
IEM_Health-CovidProject,inc death,CY,0.13592833147189404
IEM_Health-CovidProject,inc case,CZ,0.11607362664940299
IEM_Health-CovidProject,inc death,CZ,0.11093934496042493
IEM_Health-CovidProject,inc case,DE,0.0403189857399896
IEM_Health-CovidProject,inc death,DE,0.04180457938369271
IEM_Health-CovidProject,inc case,DK,0.11860143746359426
IEM_Health-CovidProject,inc death,DK,0.12435749950742328
IEM_Health-CovidProject,inc case,EE,0.13507681144758404
IEM_Health-CovidProject,inc death,EE,0.10588892542324613
IEM_Health-CovidProject,inc death,ES,0.07802890969791697
IEM_Health-CovidProject,inc case,FI,0.14682785755939246
IEM_Health-CovidProject,inc death,FI,0.14691524580233095
IEM_Health-CovidProject,inc case,FR,0.15969488262447007
IEM_Health-CovidProject,inc death,FR,0.16447427227777572
IEM_Health-CovidProject,inc case,GB,0.12294553433545857
IEM_Health-CovidProject,inc death,GB,0.12725817726668306
IEM_Health-CovidProject,inc case,GR,0.1354012844819461
IEM_Health-CovidProject,inc death,GR,0.15549746210091583
IEM_Health-CovidProject,inc case,HR,0.1063019709107179
IEM_Health-CovidProject,inc death,HR,0.10004043788055694
IEM_Health-CovidProject,inc case,HU,0.0998938206856839
IEM_Health-CovidProject,inc death,HU,0.12286206497866398
IEM_Health-CovidProject,inc case,IT,0.11566635637370903
IEM_Health-CovidProject,inc death,IT,0.07833738734071374
IEM_Health-CovidProject,inc case,LI,0.17165465008220857
IEM_Health-CovidProject,inc death,LI,NA
IEM_Health-CovidProject,inc case,LT,0.08105780443816014
IEM_Health-CovidProject,inc death,LT,0.13049399242635604
IEM_Health-CovidProject,inc case,LU,0.13931327058140214
IEM_Health-CovidProject,inc death,LU,0.07347256043987155
IEM_Health-CovidProject,inc case,LV,0.11927454703236855
IEM_Health-CovidProject,inc death,LV,0.09733689188753399
IEM_Health-CovidProject,inc case,MT,0.14269337469986637
IEM_Health-CovidProject,inc case,NL,0.13571140084812514
IEM_Health-CovidProject,inc death,NL,0.1126655311007203
IEM_Health-CovidProject,inc case,NO,0.1534940448423221
IEM_Health-CovidProject,inc death,NO,0.17278092136224388
IEM_Health-CovidProject,inc case,Overall,0.14554168116448804
IEM_Health-CovidProject,inc death,Overall,0.11798556803500475
IEM_Health-CovidProject,inc case,PL,0.05924905951543325
IEM_Health-CovidProject,inc death,PL,0.026260218646038756
IEM_Health-CovidProject,inc case,PT,0.14784607392325108
IEM_Health-CovidProject,inc death,PT,0.11073587465835055
IEM_Health-CovidProject,inc case,RO,0.09162151536827165
IEM_Health-CovidProject,inc death,RO,0.15107319663111532
IEM_Health-CovidProject,inc case,SE,0.14933702812339714
IEM_Health-CovidProject,inc death,SE,0.0669144390306747
IEM_Health-CovidProject,inc case,SI,0.11356624148244063
IEM_Health-CovidProject,inc death,SI,0.10051784073070306
IEM_Health-CovidProject,inc case,SK,0.11000362369446355
IEM_Health-CovidProject,inc death,SK,0.09184606376344097
ILM-EKF,inc case,AT,0.2162024201691945
ILM-EKF,inc death,AT,0.14496701475800539
ILM-EKF,inc case,BE,0.17157997445419168
ILM-EKF,inc death,BE,0.09523905758967013
ILM-EKF,inc case,BG,0.17677812147833388
ILM-EKF,inc death,BG,0.15648596992398717
ILM-EKF,inc case,CH,0.18798761777282946
ILM-EKF,inc death,CH,0.1348750839367511
ILM-EKF,inc case,CY,0.09839733016618249
ILM-EKF,inc death,CY,0.11499224363599311
ILM-EKF,inc case,CZ,0.17024131908579104
ILM-EKF,inc death,CZ,0.1545565233209339
ILM-EKF,inc case,DE,0.08803595051483967
ILM-EKF,inc death,DE,0.08077494999560966
