model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.08206524690700208
epiforecasts-arimareg,inc hosp,BE,0.22510744723833848
epiforecasts-arimareg,inc hosp,CZ,0.12428141054993506
epiforecasts-arimareg,inc hosp,EE,0.26691964722990924
epiforecasts-arimareg,inc hosp,FR,0.17481209307454745
epiforecasts-arimareg,inc hosp,GB,0.1812201165864105
epiforecasts-arimareg,inc hosp,IE,0.22765538967955756
epiforecasts-arimareg,inc hosp,IS,0.14448615189306863
epiforecasts-arimareg,inc hosp,LV,0.25464228307739756
epiforecasts-arimareg,inc hosp,MT,0.13292158311758862
epiforecasts-arimareg,inc hosp,NO,0.234429871735888
epiforecasts-arimareg,inc hosp,Overall,0.23627766515779344
epiforecasts-arimareg,inc hosp,SI,0.18091885613098674
epiforecasts-caseconv,inc hosp,BE,0.16576680212106878
epiforecasts-caseconv,inc hosp,CZ,0.1394417434722462
epiforecasts-caseconv,inc hosp,EE,0.14810009043440114
epiforecasts-caseconv,inc hosp,FR,0.033655271894025465
epiforecasts-caseconv,inc hosp,GB,0.2224663416690318
epiforecasts-caseconv,inc hosp,IE,0.15196140620927645
epiforecasts-caseconv,inc hosp,IS,0.13649948018038643
epiforecasts-caseconv,inc hosp,LV,0.11050957806682997
epiforecasts-caseconv,inc hosp,MT,0.19629914207829455
epiforecasts-caseconv,inc hosp,NO,0.10693292394970329
epiforecasts-caseconv,inc hosp,Overall,0.12332326314024884
epiforecasts-caseconv,inc hosp,SI,0.06661570209527005
epiforecasts-EpiNow2,inc case,AT,0.18762138456046404
epiforecasts-EpiNow2,inc case,BE,0.14755142779041855
epiforecasts-EpiNow2,inc case,BG,0.22228521288872366
epiforecasts-EpiNow2,inc death,BG,0.13200637100430337
epiforecasts-EpiNow2,inc case,CH,0.11284914576684041
epiforecasts-EpiNow2,inc case,CY,0.2444155806837127
epiforecasts-EpiNow2,inc case,CZ,0.16932213289989004
epiforecasts-EpiNow2,inc case,DE,0.078900196062103925
epiforecasts-EpiNow2,inc case,DK,0.09905512465586094
epiforecasts-EpiNow2,inc death,DK,0.17293643339256298
epiforecasts-EpiNow2,inc case,EE,0.17289621447710232
epiforecasts-EpiNow2,inc case,FR,0.1523679851445791
epiforecasts-EpiNow2,inc death,FR,0.1296941350607706
epiforecasts-EpiNow2,inc case,GB,0.17650214572145206
epiforecasts-EpiNow2,inc case,GR,0.23588823440766357
epiforecasts-EpiNow2,inc case,HR,0.1840592247590933
epiforecasts-EpiNow2,inc case,HU,0.3000692463462376
epiforecasts-EpiNow2,inc case,IE,0.23558536633768418
epiforecasts-EpiNow2,inc case,IS,0.2004937324994181
epiforecasts-EpiNow2,inc case,IT,0.20867587043742153
epiforecasts-EpiNow2,inc case,LI,0.12569602365587798
epiforecasts-EpiNow2,inc case,LT,0.19980944079738902
epiforecasts-EpiNow2,inc case,LU,0.15091032464563214
epiforecasts-EpiNow2,inc case,LV,0.1881164451534552
epiforecasts-EpiNow2,inc case,MT,0.26998680579553397
epiforecasts-EpiNow2,inc death,MT,0.20682311882933943
epiforecasts-EpiNow2,inc case,NO,0.21366759469540592
epiforecasts-EpiNow2,inc case,Overall,0.22240419538490366
epiforecasts-EpiNow2,inc death,Overall,0.19582494081708215
epiforecasts-EpiNow2,inc death,PL,0.09256020757888943
epiforecasts-EpiNow2,inc case,PT,0.22466005386586083
epiforecasts-EpiNow2,inc case,RO,0.22137556226429927
epiforecasts-EpiNow2,inc death,RO,0.14257524326713183
epiforecasts-EpiNow2,inc case,SE,0.3245889086512133
epiforecasts-EpiNow2,inc case,SI,0.1448886846460784
