model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,DE,0.08422655932634401
epiforecasts-EpiExpert,inc death,DE,0.09985093900612516
epiforecasts-EpiExpert,inc case,ES,0.08376148848271371
epiforecasts-EpiExpert,inc death,FR,0.08933836636285189
epiforecasts-EpiExpert,inc case,GB,0.09960823090842438
epiforecasts-EpiExpert,inc death,GB,0.13550620876082473
epiforecasts-EpiExpert,inc case,IT,0.09821364765008198
epiforecasts-EpiExpert,inc death,IT,0.08573200494773853
epiforecasts-EpiExpert,inc case,NL,0.11881740325609517
epiforecasts-EpiExpert,inc death,NL,0.16773218013452648
epiforecasts-EpiExpert,inc case,Overall,0.1375933364786379
epiforecasts-EpiExpert,inc death,Overall,0.1170173518550122
epiforecasts-EpiExpert,inc case,PL,0.056220548714063845
epiforecasts-EpiExpert,inc death,PL,0.08348296044031528
epiforecasts-EpiExpert,inc case,SK,0.1150267660088455
epiforecasts-EpiExpert,inc death,SK,0.10675985199310017
epiforecasts-EpiNow2,inc case,AT,0.1554977162609575
epiforecasts-EpiNow2,inc death,AT,0.13770841627447636
epiforecasts-EpiNow2,inc case,BE,0.12897055102693544
epiforecasts-EpiNow2,inc death,BE,0.09120509197036603
epiforecasts-EpiNow2,inc case,BG,0.18343576172951953
epiforecasts-EpiNow2,inc death,BG,0.09195465968418731
epiforecasts-EpiNow2,inc case,CH,0.14338757900684412
epiforecasts-EpiNow2,inc death,CH,0.07956702225847076
epiforecasts-EpiNow2,inc case,CY,0.11065470723506554
epiforecasts-EpiNow2,inc death,CY,0.11490628242133719
epiforecasts-EpiNow2,inc case,CZ,0.1562131620772028
epiforecasts-EpiNow2,inc death,CZ,0.17048438082466427
epiforecasts-EpiNow2,inc case,DE,0.04842627604531733
epiforecasts-EpiNow2,inc death,DE,0.03570619021421563
epiforecasts-EpiNow2,inc case,DK,0.11945486141303549
epiforecasts-EpiNow2,inc death,DK,0.10361457322808998
epiforecasts-EpiNow2,inc case,EE,0.21996798098561687
epiforecasts-EpiNow2,inc death,EE,0.13314472901497756
epiforecasts-EpiNow2,inc case,ES,0.05598164973319909
epiforecasts-EpiNow2,inc death,ES,0.12590965439001237
epiforecasts-EpiNow2,inc case,FI,0.12837474213485112
epiforecasts-EpiNow2,inc death,FI,0.13815653966822328
epiforecasts-EpiNow2,inc death,FR,0.07092700178738172
epiforecasts-EpiNow2,inc case,GB,0.1252499537165336
epiforecasts-EpiNow2,inc death,GB,0.08269353252583664
epiforecasts-EpiNow2,inc case,GR,0.08671304942152193
epiforecasts-EpiNow2,inc death,GR,0.12881468727364462
epiforecasts-EpiNow2,inc case,HR,0.1298908115895739
epiforecasts-EpiNow2,inc death,HR,0.16310752282553892
epiforecasts-EpiNow2,inc case,HU,0.18120538796103772
epiforecasts-EpiNow2,inc death,HU,0.14779848645810367
epiforecasts-EpiNow2,inc case,IS,0.029792884488342244
epiforecasts-EpiNow2,inc death,IS,NA
epiforecasts-EpiNow2,inc case,IT,0.14351218717848713
epiforecasts-EpiNow2,inc death,IT,0.1463279246751977
epiforecasts-EpiNow2,inc case,LI,0.05546486793155274
epiforecasts-EpiNow2,inc death,LI,NA
epiforecasts-EpiNow2,inc case,LT,0.11821264909848585
epiforecasts-EpiNow2,inc death,LT,0.08850775072971011
