model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.13068346146947682
ECDC-hosp_model,inc hosp,CY,0.696078431372549
ECDC-hosp_model,inc hosp,CZ,0.5760869565217391
ECDC-hosp_model,inc hosp,EE,0.1833432737919698
ECDC-hosp_model,inc hosp,FR,0.15276279412804367
ECDC-hosp_model,inc hosp,HR,0.4134275618374559
ECDC-hosp_model,inc hosp,IE,0.36507936507936506
ECDC-hosp_model,inc hosp,LV,0.46788990825688076
ECDC-hosp_model,inc hosp,MT,0.49261083743842365
ECDC-hosp_model,inc hosp,NO,0.28001524929880456
ECDC-hosp_model,inc hosp,Overall,0.24090255394131105
ECDC-hosp_model,inc hosp,SI,0.17386575871371127
epiforecasts-arimareg,inc hosp,BE,0.2156514181875642
epiforecasts-arimareg,inc hosp,EE,0.17871005026654097
epiforecasts-arimareg,inc hosp,FR,0.26674370244029916
epiforecasts-arimareg,inc hosp,NO,0.3200174277700623
epiforecasts-arimareg,inc hosp,Overall,0.189687050347489
epiforecasts-arimareg,inc hosp,SI,0.1335040647265997
epiforecasts-tsensemble,inc hosp,BE,0.3865449948645019
epiforecasts-tsensemble,inc hosp,EE,0.25715679960432125
epiforecasts-tsensemble,inc hosp,FR,0.20912188322382677
epiforecasts-tsensemble,inc hosp,NO,0.1784167960133976
epiforecasts-tsensemble,inc hosp,Overall,0.25573519526678457
epiforecasts-tsensemble,inc hosp,SI,0.14377360816710735
HZI-AgeExtendedSEIR,inc case,DE,0.12068784260353949
HZI-AgeExtendedSEIR,inc death,DE,0.17460353936795642
ICM-agentModel,inc case,PL,0.12458107159016889
ICM-agentModel,inc death,PL,0.07104041937065275
IEM_Health-CovidProject,inc case,AT,0.1239907493165243
IEM_Health-CovidProject,inc death,AT,0.10007673029918003
IEM_Health-CovidProject,inc case,BE,0.1977271979560138
IEM_Health-CovidProject,inc death,BE,0.16992289119475337
IEM_Health-CovidProject,inc case,BG,0.09831520953177153
IEM_Health-CovidProject,inc death,BG,0.09421892769034965
IEM_Health-CovidProject,inc case,CH,0.21787710553835835
IEM_Health-CovidProject,inc death,CH,0.11877571595810275
IEM_Health-CovidProject,inc case,CY,0.28613862538235246
IEM_Health-CovidProject,inc death,CY,0.05903106366163776
IEM_Health-CovidProject,inc case,CZ,0.2036956054361593
IEM_Health-CovidProject,inc death,CZ,0.11996671868086152
IEM_Health-CovidProject,inc case,DE,0.08894114496670029
IEM_Health-CovidProject,inc death,DE,0.0499678421605859
IEM_Health-CovidProject,inc case,DK,0.26537468203221665
IEM_Health-CovidProject,inc death,DK,0.12499159629325032
IEM_Health-CovidProject,inc case,EE,0.22963769559863995
IEM_Health-CovidProject,inc death,EE,0.12117659625297378
IEM_Health-CovidProject,inc case,ES,0.28530948850723015
IEM_Health-CovidProject,inc death,ES,0.14215877647507483
IEM_Health-CovidProject,inc case,GB,0.20482253463765585
IEM_Health-CovidProject,inc death,GB,0.09947769757146399
IEM_Health-CovidProject,inc case,GR,0.10009246564660838
IEM_Health-CovidProject,inc death,GR,0.16754138000827587
IEM_Health-CovidProject,inc case,HR,0.1289459617538108
IEM_Health-CovidProject,inc death,HR,0.10067540192872669
