model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.1596802699006108
epiforecasts-EpiNow2,inc case,AT,0.05253998413075518
epiforecasts-EpiNow2,inc death,AT,0.0879695018939019
epiforecasts-EpiNow2,inc case,BE,0.09929850403382245
epiforecasts-EpiNow2,inc death,BE,0.13195429059067063
epiforecasts-EpiNow2,inc case,BG,0.10266565292579424
epiforecasts-EpiNow2,inc death,BG,0.1569182248946736
epiforecasts-EpiNow2,inc case,CH,0.10489737935484375
epiforecasts-EpiNow2,inc death,CH,0.031434553313576655
epiforecasts-EpiNow2,inc case,CY,0.1471791102936319
epiforecasts-EpiNow2,inc death,CY,0.13371280202939054
epiforecasts-EpiNow2,inc case,CZ,0.08127188173167506
epiforecasts-EpiNow2,inc death,CZ,0.11404454250775113
epiforecasts-EpiNow2,inc case,DE,0.07644018794067417
epiforecasts-EpiNow2,inc death,DE,0.03685716581657942
epiforecasts-EpiNow2,inc case,DK,0.06985717587969341
epiforecasts-EpiNow2,inc death,DK,0.10540765237945099
epiforecasts-EpiNow2,inc case,EE,0.08512037947571648
epiforecasts-EpiNow2,inc death,EE,0.14844507410469668
epiforecasts-EpiNow2,inc case,ES,0.2074969595644781
epiforecasts-EpiNow2,inc death,ES,0.11226228254917164
epiforecasts-EpiNow2,inc case,FI,0.09199945138472375
epiforecasts-EpiNow2,inc death,FI,0.1305103997899646
epiforecasts-EpiNow2,inc case,FR,0.07940800667346003
epiforecasts-EpiNow2,inc death,FR,0.07481590294382484
epiforecasts-EpiNow2,inc case,GB,0.09322372312084602
epiforecasts-EpiNow2,inc death,GB,0.1216394166921374
epiforecasts-EpiNow2,inc case,GR,0.08066180543938901
epiforecasts-EpiNow2,inc death,GR,0.0905418142263078
epiforecasts-EpiNow2,inc case,HR,0.13202410692019767
epiforecasts-EpiNow2,inc death,HR,0.1538466029933043
epiforecasts-EpiNow2,inc case,HU,0.10561937589629765
epiforecasts-EpiNow2,inc death,HU,0.14072171629966068
epiforecasts-EpiNow2,inc case,IE,0.130469500915234
epiforecasts-EpiNow2,inc death,IE,0.12321161567955083
epiforecasts-EpiNow2,inc case,IS,0.065979267612622
epiforecasts-EpiNow2,inc death,IS,0
epiforecasts-EpiNow2,inc case,IT,0.10211912412763761
epiforecasts-EpiNow2,inc death,IT,0.11301813828510034
epiforecasts-EpiNow2,inc case,LI,0.08935965701132896
epiforecasts-EpiNow2,inc death,LI,NA
epiforecasts-EpiNow2,inc case,LT,0.10665264874580005
epiforecasts-EpiNow2,inc death,LT,0.11753268317028479
epiforecasts-EpiNow2,inc case,LU,0.07764923889054536
epiforecasts-EpiNow2,inc death,LU,0.10444144340953143
epiforecasts-EpiNow2,inc case,LV,0.12435855602352502
epiforecasts-EpiNow2,inc death,LV,0.15899300275145342
epiforecasts-EpiNow2,inc case,MT,0.10029579237941988
epiforecasts-EpiNow2,inc death,MT,0.0797188817766349
epiforecasts-EpiNow2,inc case,NL,0.2111095225058774
epiforecasts-EpiNow2,inc death,NL,0.09116162972602102
epiforecasts-EpiNow2,inc case,NO,0.12622270189330378
epiforecasts-EpiNow2,inc death,NO,0.1280638458773633
epiforecasts-EpiNow2,inc case,Overall,0.11751651950584126
epiforecasts-EpiNow2,inc death,Overall,0.11208688569474956
epiforecasts-EpiNow2,inc case,PL,0.08984873202705178
epiforecasts-EpiNow2,inc death,PL,0.08949221566064536
epiforecasts-EpiNow2,inc case,PT,0.14890085611322398
epiforecasts-EpiNow2,inc death,PT,0.16796261118186198
epiforecasts-EpiNow2,inc case,RO,0.10215651618666645
epiforecasts-EpiNow2,inc death,RO,0.15749008162813383
epiforecasts-EpiNow2,inc case,SE,0.1039411088841218
epiforecasts-EpiNow2,inc death,SE,0.1717828965436168
epiforecasts-EpiNow2,inc case,SI,0.08558293989384176
epiforecasts-EpiNow2,inc death,SI,0.07338797015944322
epiforecasts-EpiNow2,inc case,SK,0.10979692212812595
epiforecasts-EpiNow2,inc death,SK,0.14911437252000428
HZI-AgeExtendedSEIR,inc case,DE,0.08450611686298558
HZI-AgeExtendedSEIR,inc death,DE,0.13120520993679768
IEM_Health-CovidProject,inc case,AT,0.16847436669620178
IEM_Health-CovidProject,inc death,AT,0.10413134061394434
IEM_Health-CovidProject,inc case,BE,0.21009472958735068
IEM_Health-CovidProject,inc death,BE,0.11206168396896148
IEM_Health-CovidProject,inc case,BG,0.12276801853364205
IEM_Health-CovidProject,inc death,BG,0.1239522112613388
IEM_Health-CovidProject,inc case,CH,0.11042522117780919
IEM_Health-CovidProject,inc death,CH,0.06620364207996417
IEM_Health-CovidProject,inc case,CY,0.22104428175185917
IEM_Health-CovidProject,inc death,CY,0.11499300974527588
IEM_Health-CovidProject,inc case,CZ,0.21759890915254937
IEM_Health-CovidProject,inc death,CZ,0.0996389160857194
IEM_Health-CovidProject,inc case,DE,0.0719002320270706
IEM_Health-CovidProject,inc death,DE,0.09446775115449434
IEM_Health-CovidProject,inc case,DK,0.14594739943888804
IEM_Health-CovidProject,inc death,DK,0.1013609234946823
IEM_Health-CovidProject,inc case,EE,0.21139400026820496
IEM_Health-CovidProject,inc death,EE,0.0905722567526908
IEM_Health-CovidProject,inc case,ES,0.11756698766021169
IEM_Health-CovidProject,inc death,ES,0.09890330529384225
IEM_Health-CovidProject,inc case,FI,0.17619537787520753
IEM_Health-CovidProject,inc death,FI,0.08186872847716939
IEM_Health-CovidProject,inc case,FR,0.13867349458096925
IEM_Health-CovidProject,inc death,FR,0.07157867637414012
IEM_Health-CovidProject,inc case,GB,0.20029255363587714
IEM_Health-CovidProject,inc death,GB,0.15645649610764048
IEM_Health-CovidProject,inc case,GR,0.1769116284943655
IEM_Health-CovidProject,inc death,GR,0.09924208627736995
IEM_Health-CovidProject,inc case,HR,0.17743665433601033
IEM_Health-CovidProject,inc death,HR,0.08236232281459725
IEM_Health-CovidProject,inc case,HU,0.20521899461715867
IEM_Health-CovidProject,inc death,HU,0.10339986980279413
