model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,DE,0.09227796892690454
epiforecasts-EpiExpert,inc death,DE,0.1098000046599844
epiforecasts-EpiExpert,inc case,GB,0.15292839689709692
epiforecasts-EpiExpert,inc death,GB,0.14877285551932612
epiforecasts-EpiExpert,inc case,NL,0.09158778100622907
epiforecasts-EpiExpert,inc death,NL,0.13943483608546867
epiforecasts-EpiExpert,inc case,Overall,0.13879782107531952
epiforecasts-EpiExpert,inc death,Overall,0.10415020078596013
epiforecasts-EpiExpert,inc case,PL,0.07755063902827557
epiforecasts-EpiExpert,inc death,PL,0.08775003824622145
epiforecasts-EpiNow2,inc case,AT,0.1567347136445636
epiforecasts-EpiNow2,inc death,AT,0.1440370116942283
epiforecasts-EpiNow2,inc case,BE,0.1429029000174109
epiforecasts-EpiNow2,inc death,BE,0.0998744776088335
epiforecasts-EpiNow2,inc case,BG,0.1874489064158357
epiforecasts-EpiNow2,inc death,BG,0.10023054801100374
epiforecasts-EpiNow2,inc case,CH,0.10620692268570503
epiforecasts-EpiNow2,inc death,CH,0.09339574251289681
epiforecasts-EpiNow2,inc case,CY,0.12088550994939644
epiforecasts-EpiNow2,inc case,CZ,0.15126787018318763
epiforecasts-EpiNow2,inc death,CZ,0.15729811512006686
epiforecasts-EpiNow2,inc case,DE,0.05876407971464569
epiforecasts-EpiNow2,inc death,DE,0.04629627062156058
epiforecasts-EpiNow2,inc case,DK,0.11901417966874518
epiforecasts-EpiNow2,inc death,DK,0.10115395843919027
epiforecasts-EpiNow2,inc case,EE,0.19078751825305387
epiforecasts-EpiNow2,inc death,EE,0.13650054056728433
epiforecasts-EpiNow2,inc case,ES,0.13433386432208883
epiforecasts-EpiNow2,inc death,ES,0.12337072496612958
epiforecasts-EpiNow2,inc case,FI,0.1165972022816561
epiforecasts-EpiNow2,inc death,FI,0.13505898703727542
epiforecasts-EpiNow2,inc case,FR,0.14391686426704725
epiforecasts-EpiNow2,inc death,FR,0.0792574331418357
epiforecasts-EpiNow2,inc case,GB,0.15424674514620984
epiforecasts-EpiNow2,inc death,GB,0.08962220212007597
epiforecasts-EpiNow2,inc case,GR,0.09598072430832659
epiforecasts-EpiNow2,inc death,GR,0.11136783694443182
epiforecasts-EpiNow2,inc case,HR,0.1820539167370185
epiforecasts-EpiNow2,inc death,HR,0.18309989940124025
epiforecasts-EpiNow2,inc case,HU,0.20793765248302148
epiforecasts-EpiNow2,inc death,HU,0.12866300497677885
epiforecasts-EpiNow2,inc case,IE,0.11096946185814639
epiforecasts-EpiNow2,inc death,IE,0.10733506160545016
epiforecasts-EpiNow2,inc case,IS,0.10190951702624464
epiforecasts-EpiNow2,inc death,IS,NA
epiforecasts-EpiNow2,inc case,IT,0.16816704342873126
epiforecasts-EpiNow2,inc death,IT,0.15572778630578288
epiforecasts-EpiNow2,inc case,LI,0.09357124642400808
epiforecasts-EpiNow2,inc death,LI,0.17753080913733907
epiforecasts-EpiNow2,inc case,LT,0.14557026366476356
epiforecasts-EpiNow2,inc death,LT,0.11200310289734848
epiforecasts-EpiNow2,inc case,LU,0.07224103519623093
epiforecasts-EpiNow2,inc death,LU,0.12204575725966102
