model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.14035800905952162
epiforecasts-EpiNow2,inc case,AT,0.07589843991355139
epiforecasts-EpiNow2,inc death,AT,0.11341975598018596
epiforecasts-EpiNow2,inc case,BE,0.14170640102421994
epiforecasts-EpiNow2,inc death,BE,0.11077338233737687
epiforecasts-EpiNow2,inc case,BG,0.1307060979113309
epiforecasts-EpiNow2,inc death,BG,0.12097262445504578
epiforecasts-EpiNow2,inc case,CH,0.1070461955256366
epiforecasts-EpiNow2,inc death,CH,0.04790880566733671
epiforecasts-EpiNow2,inc case,CY,0.1409793216369271
epiforecasts-EpiNow2,inc death,CY,0.141816368013552
epiforecasts-EpiNow2,inc case,CZ,0.138381710863017
epiforecasts-EpiNow2,inc death,CZ,0.1492499380730303
epiforecasts-EpiNow2,inc case,DE,0.0767840873090324
epiforecasts-EpiNow2,inc death,DE,0.0514824797021258
epiforecasts-EpiNow2,inc case,DK,0.08742695609980208
epiforecasts-EpiNow2,inc death,DK,0.10326892867627574
epiforecasts-EpiNow2,inc case,EE,0.13800053196522333
epiforecasts-EpiNow2,inc death,EE,0.13882536998224954
epiforecasts-EpiNow2,inc case,ES,0.1717983125701624
epiforecasts-EpiNow2,inc death,ES,0.12960236950326415
epiforecasts-EpiNow2,inc case,FI,0.10362978667305922
epiforecasts-EpiNow2,inc death,FI,0.12639137107028314
epiforecasts-EpiNow2,inc case,FR,0.1140235514569408
epiforecasts-EpiNow2,inc death,FR,0.07942885812308734
epiforecasts-EpiNow2,inc case,GB,0.1162417448414443
epiforecasts-EpiNow2,inc death,GB,0.11672664765580225
epiforecasts-EpiNow2,inc case,GR,0.07787842270885367
epiforecasts-EpiNow2,inc death,GR,0.09701959032593463
epiforecasts-EpiNow2,inc case,HR,0.16704807093239693
epiforecasts-EpiNow2,inc death,HR,0.17756625477511412
epiforecasts-EpiNow2,inc case,HU,0.19814798847379805
epiforecasts-EpiNow2,inc death,HU,0.13947504007772468
epiforecasts-EpiNow2,inc case,IE,0.11754123282459569
epiforecasts-EpiNow2,inc death,IE,0.09210486627633778
epiforecasts-EpiNow2,inc case,IS,0.09380132101302176
epiforecasts-EpiNow2,inc death,IS,0
epiforecasts-EpiNow2,inc case,IT,0.14150937250665999
epiforecasts-EpiNow2,inc death,IT,0.1517822069718495
epiforecasts-EpiNow2,inc case,LI,0.0934561991371384
epiforecasts-EpiNow2,inc death,LI,0.08716356018818362
epiforecasts-EpiNow2,inc case,LT,0.1331244979119318
epiforecasts-EpiNow2,inc death,LT,0.11261462509012449
epiforecasts-EpiNow2,inc case,LU,0.07090497612286066
epiforecasts-EpiNow2,inc death,LU,0.10987187775192402
epiforecasts-EpiNow2,inc case,LV,0.15177280844836266
epiforecasts-EpiNow2,inc death,LV,0.1567823680078535
epiforecasts-EpiNow2,inc case,MT,0.08968495322640146
epiforecasts-EpiNow2,inc death,MT,0.0993311045045039
epiforecasts-EpiNow2,inc case,NL,0.09438038223012606
epiforecasts-EpiNow2,inc death,NL,0.067539822268882
epiforecasts-EpiNow2,inc case,NO,0.12434472868056344
epiforecasts-EpiNow2,inc death,NO,0.12020322784070991
epiforecasts-EpiNow2,inc case,Overall,0.13012350389391528
epiforecasts-EpiNow2,inc death,Overall,0.11252480659540123
epiforecasts-EpiNow2,inc case,PL,0.11734723494435172
epiforecasts-EpiNow2,inc death,PL,0.07699169673681441
epiforecasts-EpiNow2,inc case,PT,0.15291292857018873
epiforecasts-EpiNow2,inc death,PT,0.14405191609398005
epiforecasts-EpiNow2,inc case,RO,0.11163416528839995
epiforecasts-EpiNow2,inc death,RO,0.11532556754511115
epiforecasts-EpiNow2,inc case,SE,0.13176287037572607
epiforecasts-EpiNow2,inc death,SE,0.1376750097699342
epiforecasts-EpiNow2,inc case,SI,0.0707456859117458
epiforecasts-EpiNow2,inc death,SI,0.09203587154713803
epiforecasts-EpiNow2,inc case,SK,0.13967894693640603
epiforecasts-EpiNow2,inc death,SK,0.13188533543206793
HZI-AgeExtendedSEIR,inc case,DE,0.087215778457921
HZI-AgeExtendedSEIR,inc death,DE,0.12901633467520682
IEM_Health-CovidProject,inc case,AT,0.1498597966738567
IEM_Health-CovidProject,inc death,AT,0.09518140325975404
IEM_Health-CovidProject,inc case,BE,0.1827982358627997
IEM_Health-CovidProject,inc death,BE,0.11255287442311787
IEM_Health-CovidProject,inc case,BG,0.1191943681870302
