model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.13626400777369807
ECDC-hosp_model,inc hosp,CY,0.696078431372549
ECDC-hosp_model,inc hosp,CZ,0.5760869565217391
ECDC-hosp_model,inc hosp,EE,0.1840932137507022
ECDC-hosp_model,inc hosp,FR,0.1530192506598893
ECDC-hosp_model,inc hosp,HR,0.41315345699831363
ECDC-hosp_model,inc hosp,IE,0.35572782084409993
ECDC-hosp_model,inc hosp,LV,0.46788990825688076
ECDC-hosp_model,inc hosp,MT,0.49261083743842365
ECDC-hosp_model,inc hosp,NO,0.2812024904334722
ECDC-hosp_model,inc hosp,Overall,0.23655001280063154
ECDC-hosp_model,inc hosp,SI,0.1696491969058573
epiforecasts-arimareg,inc hosp,BE,0.21831226511786814
epiforecasts-arimareg,inc hosp,EE,0.17875717856952247
epiforecasts-arimareg,inc hosp,FR,0.26816751620662876
epiforecasts-arimareg,inc hosp,NO,0.32074659065067923
epiforecasts-arimareg,inc hosp,Overall,0.1914187603584058
epiforecasts-arimareg,inc hosp,SI,0.13421136466330044
epiforecasts-tsensemble,inc hosp,BE,0.38811069354287664
epiforecasts-tsensemble,inc hosp,EE,0.2576343670244814
epiforecasts-tsensemble,inc hosp,FR,0.2110054930152158
epiforecasts-tsensemble,inc hosp,NO,0.17850245044907367
epiforecasts-tsensemble,inc hosp,Overall,0.25748364225201487
epiforecasts-tsensemble,inc hosp,SI,0.14414108376726778
HZI-AgeExtendedSEIR,inc case,DE,0.11566175726149439
HZI-AgeExtendedSEIR,inc death,DE,0.1679099626917366
ICM-agentModel,inc case,PL,0.10694964759042344
ICM-agentModel,inc death,PL,0.07033777040015866
IEM_Health-CovidProject,inc case,AT,0.13258140762112375
IEM_Health-CovidProject,inc death,AT,0.10662259099140653
IEM_Health-CovidProject,inc case,BE,0.2134007613960404
IEM_Health-CovidProject,inc death,BE,0.16113591740450142
IEM_Health-CovidProject,inc case,BG,0.10251622795816898
IEM_Health-CovidProject,inc death,BG,0.09836709701128372
IEM_Health-CovidProject,inc case,CH,0.19488304986288754
IEM_Health-CovidProject,inc death,CH,0.08764054495295505
IEM_Health-CovidProject,inc case,CY,0.2328196872893732
IEM_Health-CovidProject,inc death,CY,0.07365379944826005
IEM_Health-CovidProject,inc case,CZ,0.19897504627074034
IEM_Health-CovidProject,inc death,CZ,0.12636891484644056
IEM_Health-CovidProject,inc case,DE,0.08773537723859834
IEM_Health-CovidProject,inc death,DE,0.0658723699790659
IEM_Health-CovidProject,inc case,DK,0.23006298258879782
IEM_Health-CovidProject,inc death,DK,0.1509829536342953
IEM_Health-CovidProject,inc case,EE,0.2210863606147595
IEM_Health-CovidProject,inc death,EE,0.12147799153512175
IEM_Health-CovidProject,inc case,ES,0.21188926694788845
IEM_Health-CovidProject,inc death,ES,0.16184545754520172
IEM_Health-CovidProject,inc case,GB,0.21430239853683705
IEM_Health-CovidProject,inc death,GB,0.14030520357936255
IEM_Health-CovidProject,inc case,GR,0.11562239812678236
IEM_Health-CovidProject,inc death,GR,0.16390298660994673
IEM_Health-CovidProject,inc case,HR,0.13806018449943736
IEM_Health-CovidProject,inc death,HR,0.10773509044831002
IEM_Health-CovidProject,inc case,HU,0.13166550372676938
IEM_Health-CovidProject,inc death,HU,0.12209940469432119
IEM_Health-CovidProject,inc case,IE,0.17015317041529665
IEM_Health-CovidProject,inc death,IE,0.13781433111407881
IEM_Health-CovidProject,inc case,IT,0.24273981166065128
IEM_Health-CovidProject,inc death,IT,0.12010400019777323
IEM_Health-CovidProject,inc case,LI,0.18150062130036673
IEM_Health-CovidProject,inc death,LI,0.11702292472857627
IEM_Health-CovidProject,inc case,LT,0.19654186076963276
IEM_Health-CovidProject,inc death,LT,0.14308029462399152
IEM_Health-CovidProject,inc case,LU,0.2530276590233443
IEM_Health-CovidProject,inc death,LU,0.11092924994577366
IEM_Health-CovidProject,inc case,LV,0.19277550732089646
IEM_Health-CovidProject,inc death,LV,0.09559009049976117
IEM_Health-CovidProject,inc case,MT,0.15146572559215743
IEM_Health-CovidProject,inc death,MT,0.1375699770786072
IEM_Health-CovidProject,inc death,NL,0.16313509783466193
IEM_Health-CovidProject,inc case,NO,0.19910312031427277
IEM_Health-CovidProject,inc death,NO,0.10096021401250459
