model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,DE,0.16666666666666666
epiforecasts-EpiExpert,inc case,PL,0.14285714285714285
epiforecasts-EpiExpert,inc death,DE,1
epiforecasts-EpiExpert,inc death,GB,0.1
epiforecasts-EpiExpert,inc death,PL,0.1
epiforecasts-EpiNow2,inc case,AT,0.2
epiforecasts-EpiNow2,inc case,BG,0.3333333333333333
epiforecasts-EpiNow2,inc case,CZ,0.14285714285714285
epiforecasts-EpiNow2,inc case,EE,0.3333333333333333
epiforecasts-EpiNow2,inc case,GB,0.2
epiforecasts-EpiNow2,inc case,HU,0.2
epiforecasts-EpiNow2,inc case,IT,0.25
epiforecasts-EpiNow2,inc case,PL,0.14285714285714285
epiforecasts-EpiNow2,inc case,RO,0.3333333333333333
epiforecasts-EpiNow2,inc case,SK,0.2
epiforecasts-EpiNow2,inc death,AT,0.2
epiforecasts-EpiNow2,inc death,CZ,0.1111111111111111
epiforecasts-EpiNow2,inc death,FI,0.16666666666666666
epiforecasts-EpiNow2,inc death,GB,0.1
epiforecasts-EpiNow2,inc death,GR,0.16666666666666666
epiforecasts-EpiNow2,inc death,HR,0.2
epiforecasts-EpiNow2,inc death,IT,0.14285714285714285
epiforecasts-EpiNow2,inc death,LI,0.16666666666666666
epiforecasts-EpiNow2,inc death,PL,0.1
epiforecasts-EpiNow2,inc death,PT,0.125
epiforecasts-EpiNow2,inc death,RO,0.14285714285714285
epiforecasts-EpiNow2,inc death,SI,0.3333333333333333
epiforecasts-EpiNow2,inc death,SK,0.25
IEM_Health-CovidProject,inc case,CZ,0.14285714285714285
IEM_Health-CovidProject,inc case,GB,0.2
IEM_Health-CovidProject,inc case,PT,0.2
IEM_Health-CovidProject,inc death,CZ,0.1111111111111111
IEM_Health-CovidProject,inc death,EE,0.2
IEM_Health-CovidProject,inc death,ES,0.25
IEM_Health-CovidProject,inc death,GB,0.1
IEM_Health-CovidProject,inc death,NL,0.3333333333333333
IEM_Health-CovidProject,inc death,PT,0.125
ILM-EKF,inc case,CZ,0.14285714285714285
ILM-EKF,inc case,PT,0.2
ILM-EKF,inc case,SK,0.2
ILM-EKF,inc death,CZ,0.1111111111111111
ILM-EKF,inc death,GB,0.1
ILM-EKF,inc death,HU,0.16666666666666666
ILM-EKF,inc death,IT,0.14285714285714285
ILM-EKF,inc death,PL,0.1
ILM-EKF,inc death,PT,0.125
ILM-EKF,inc death,RO,0.14285714285714285
ILM-EKF,inc death,SK,0.25
LANL-GrowthRate,inc case,AT,0.2
LANL-GrowthRate,inc case,BE,1
LANL-GrowthRate,inc case,BG,0.3333333333333333
LANL-GrowthRate,inc case,CH,0.3333333333333333
LANL-GrowthRate,inc case,CZ,0.14285714285714285
LANL-GrowthRate,inc case,DE,0.16666666666666666
LANL-GrowthRate,inc case,EE,0.3333333333333333
LANL-GrowthRate,inc case,FI,0.5
LANL-GrowthRate,inc case,GB,0.2
LANL-GrowthRate,inc case,GR,0.5
LANL-GrowthRate,inc case,HR,0.25
LANL-GrowthRate,inc case,HU,0.2
LANL-GrowthRate,inc case,IT,0.25
LANL-GrowthRate,inc case,LT,0.3333333333333333
LANL-GrowthRate,inc case,LU,0.5
LANL-GrowthRate,inc case,MT,0.3333333333333333
LANL-GrowthRate,inc case,NL,0.5
LANL-GrowthRate,inc case,PL,0.14285714285714285
LANL-GrowthRate,inc case,PT,0.2
LANL-GrowthRate,inc case,RO,0.3333333333333333
LANL-GrowthRate,inc case,SE,1
LANL-GrowthRate,inc case,SI,1
LANL-GrowthRate,inc case,SK,0.2
LANL-GrowthRate,inc death,AT,0.2
LANL-GrowthRate,inc death,BE,0.16666666666666666
LANL-GrowthRate,inc death,BG,0.25
LANL-GrowthRate,inc death,CH,0.3333333333333333
LANL-GrowthRate,inc death,CZ,0.1111111111111111
LANL-GrowthRate,inc death,DK,1
LANL-GrowthRate,inc death,ES,0.25
LANL-GrowthRate,inc death,FI,0.16666666666666666
LANL-GrowthRate,inc death,GB,0.1
LANL-GrowthRate,inc death,GR,0.16666666666666666
LANL-GrowthRate,inc death,HR,0.2
LANL-GrowthRate,inc death,HU,0.16666666666666666
LANL-GrowthRate,inc death,IT,0.14285714285714285
LANL-GrowthRate,inc death,LI,0.16666666666666666
LANL-GrowthRate,inc death,NL,0.3333333333333333
LANL-GrowthRate,inc death,PL,0.1
LANL-GrowthRate,inc death,PT,0.125
LANL-GrowthRate,inc death,RO,0.14285714285714285
LANL-GrowthRate,inc death,SE,0.3333333333333333
MIMUW-StochSEIR,inc death,PL,0.1
MIT_CovidAnalytics-DELPHI,inc case,DE,0.16666666666666666
MIT_CovidAnalytics-DELPHI,inc death,PL,0.1
MOCOS-agent1,inc case,PL,0.14285714285714285
MOCOS-agent1,inc death,PL,0.1
MUNI_DMS-SEIAR,inc case,CZ,0.14285714285714285
MUNI_DMS-SEIAR,inc death,CZ,0.1111111111111111
MUNI-ARIMA,inc case,AT,0.2
MUNI-ARIMA,inc case,BG,0.3333333333333333
MUNI-ARIMA,inc case,CY,0.5
MUNI-ARIMA,inc case,CZ,0.14285714285714285
MUNI-ARIMA,inc case,DE,0.16666666666666666
MUNI-ARIMA,inc case,EE,0.3333333333333333
MUNI-ARIMA,inc case,FI,0.5
MUNI-ARIMA,inc case,GB,0.2
MUNI-ARIMA,inc case,HR,0.25
MUNI-ARIMA,inc case,HU,0.2
MUNI-ARIMA,inc case,IS,0.5
MUNI-ARIMA,inc case,IT,0.25
MUNI-ARIMA,inc case,LI,0.5
MUNI-ARIMA,inc case,LT,0.3333333333333333
MUNI-ARIMA,inc case,MT,0.3333333333333333
MUNI-ARIMA,inc case,NL,0.5
MUNI-ARIMA,inc case,PL,0.14285714285714285
MUNI-ARIMA,inc case,RO,0.3333333333333333
MUNI-ARIMA,inc case,SK,0.2
MUNI-ARIMA,inc death,BE,0.16666666666666666
MUNI-ARIMA,inc death,CZ,0.1111111111111111
MUNI-ARIMA,inc death,ES,0.25
MUNI-ARIMA,inc death,GB,0.1
MUNI-ARIMA,inc death,GR,0.16666666666666666
MUNI-ARIMA,inc death,IT,0.14285714285714285
MUNI-ARIMA,inc death,LI,0.16666666666666666
MUNI-ARIMA,inc death,LV,0.5
MUNI-ARIMA,inc death,PL,0.1
MUNI-ARIMA,inc death,RO,0.14285714285714285
PL_GRedlarski-DistrictsSum,inc case,PL,0.14285714285714285
RobertWalraven-ESG,inc case,AT,0.2
RobertWalraven-ESG,inc case,CH,0.3333333333333333
RobertWalraven-ESG,inc case,CY,0.5
RobertWalraven-ESG,inc case,CZ,0.14285714285714285
RobertWalraven-ESG,inc case,DE,0.16666666666666666
RobertWalraven-ESG,inc case,GR,0.5
RobertWalraven-ESG,inc case,HR,0.25
RobertWalraven-ESG,inc case,HU,0.2
RobertWalraven-ESG,inc case,LI,0.5
