model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.0625
epiforecasts-EpiExpert,inc case,DE,0.0625
epiforecasts-EpiExpert,inc case,GB,0.1111111111111111
epiforecasts-EpiExpert,inc death,DE,0.06666666666666667
epiforecasts-EpiExpert,inc death,GB,0.1
epiforecasts-EpiNow2,inc case,AT,0.125
epiforecasts-EpiNow2,inc case,BE,0.125
epiforecasts-EpiNow2,inc case,BG,0.125
epiforecasts-EpiNow2,inc case,CH,0.125
epiforecasts-EpiNow2,inc case,CY,0.125
epiforecasts-EpiNow2,inc case,CZ,0.1111111111111111
epiforecasts-EpiNow2,inc case,DE,0.0625
epiforecasts-EpiNow2,inc case,DK,0.125
epiforecasts-EpiNow2,inc case,EE,0.125
epiforecasts-EpiNow2,inc case,ES,0.1111111111111111
epiforecasts-EpiNow2,inc case,FI,0.125
epiforecasts-EpiNow2,inc case,FR,0.125
epiforecasts-EpiNow2,inc case,GB,0.1111111111111111
epiforecasts-EpiNow2,inc case,GR,0.125
epiforecasts-EpiNow2,inc case,HR,0.125
epiforecasts-EpiNow2,inc case,HU,0.125
epiforecasts-EpiNow2,inc case,IE,0.125
epiforecasts-EpiNow2,inc case,IS,0.16666666666666666
epiforecasts-EpiNow2,inc case,IT,0.1111111111111111
epiforecasts-EpiNow2,inc case,LI,0.14285714285714285
epiforecasts-EpiNow2,inc case,LT,0.125
epiforecasts-EpiNow2,inc case,LU,0.125
epiforecasts-EpiNow2,inc case,LV,0.125
epiforecasts-EpiNow2,inc case,MT,0.14285714285714285
epiforecasts-EpiNow2,inc case,NL,0.125
epiforecasts-EpiNow2,inc case,NO,0.125
epiforecasts-EpiNow2,inc case,PL,0.08333333333333333
epiforecasts-EpiNow2,inc case,PT,0.125
epiforecasts-EpiNow2,inc case,RO,0.125
epiforecasts-EpiNow2,inc case,SE,0.125
epiforecasts-EpiNow2,inc case,SI,0.125
epiforecasts-EpiNow2,inc case,SK,0.125
epiforecasts-EpiNow2,inc death,AT,0.1111111111111111
epiforecasts-EpiNow2,inc death,BE,0.1111111111111111
epiforecasts-EpiNow2,inc death,BG,0.1111111111111111
epiforecasts-EpiNow2,inc death,CH,0.1111111111111111
epiforecasts-EpiNow2,inc death,CY,0.1111111111111111
epiforecasts-EpiNow2,inc death,CZ,0.1
epiforecasts-EpiNow2,inc death,DE,0.06666666666666667
epiforecasts-EpiNow2,inc death,DK,0.1111111111111111
epiforecasts-EpiNow2,inc death,EE,0.1111111111111111
epiforecasts-EpiNow2,inc death,ES,0.1
epiforecasts-EpiNow2,inc death,FI,0.1111111111111111
epiforecasts-EpiNow2,inc death,FR,0.1111111111111111
epiforecasts-EpiNow2,inc death,GB,0.1
epiforecasts-EpiNow2,inc death,GR,0.1111111111111111
epiforecasts-EpiNow2,inc death,HR,0.1111111111111111
epiforecasts-EpiNow2,inc death,HU,0.1111111111111111
epiforecasts-EpiNow2,inc death,IE,0.1111111111111111
epiforecasts-EpiNow2,inc death,IS,0.14285714285714285
epiforecasts-EpiNow2,inc death,IT,0.1111111111111111
epiforecasts-EpiNow2,inc death,LI,0.125
epiforecasts-EpiNow2,inc death,LT,0.1111111111111111
epiforecasts-EpiNow2,inc death,LU,0.1111111111111111
epiforecasts-EpiNow2,inc death,LV,0.1111111111111111
epiforecasts-EpiNow2,inc death,MT,0.125
epiforecasts-EpiNow2,inc death,NL,0.1111111111111111
epiforecasts-EpiNow2,inc death,NO,0.1111111111111111
epiforecasts-EpiNow2,inc death,PL,0.08333333333333333
epiforecasts-EpiNow2,inc death,PT,0.1111111111111111
epiforecasts-EpiNow2,inc death,RO,0.1111111111111111
epiforecasts-EpiNow2,inc death,SE,0.1111111111111111
epiforecasts-EpiNow2,inc death,SI,0.1111111111111111
epiforecasts-EpiNow2,inc death,SK,0.1111111111111111
FIAS_FZJ-Epi1Ger,inc case,DE,0.0625
FIAS_FZJ-Epi1Ger,inc death,DE,0.06666666666666667
HZI-AgeExtendedSEIR,inc case,DE,0.0625
HZI-AgeExtendedSEIR,inc death,DE,0.06666666666666667
IEM_Health-CovidProject,inc case,AT,0.125
IEM_Health-CovidProject,inc case,BE,0.125
IEM_Health-CovidProject,inc case,BG,0.125
IEM_Health-CovidProject,inc case,CH,0.125
IEM_Health-CovidProject,inc case,CY,0.125
IEM_Health-CovidProject,inc case,CZ,0.1111111111111111
IEM_Health-CovidProject,inc case,DE,0.0625
IEM_Health-CovidProject,inc case,DK,0.125
IEM_Health-CovidProject,inc case,EE,0.125
IEM_Health-CovidProject,inc case,ES,0.1111111111111111
IEM_Health-CovidProject,inc case,FI,0.125
IEM_Health-CovidProject,inc case,FR,0.125
