model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.054023636412287905
epiforecasts-EpiExpert,inc case,DE,0.09355312647005953
epiforecasts-EpiExpert,inc death,DE,0.0813479905839081
epiforecasts-EpiExpert,inc case,GB,0.1197692695892754
epiforecasts-EpiExpert,inc death,GB,0.1267152082423023
epiforecasts-EpiExpert,inc case,Overall,0.11539876007243147
epiforecasts-EpiExpert,inc death,Overall,0.10163438119939226
epiforecasts-EpiExpert,inc case,PL,0.07403438925594995
epiforecasts-EpiExpert,inc death,PL,0.07195360829044531
epiforecasts-EpiNow2,inc case,AT,0.07442456275571675
epiforecasts-EpiNow2,inc death,AT,0.0998202668006871
epiforecasts-EpiNow2,inc case,BE,0.1254463516613128
epiforecasts-EpiNow2,inc death,BE,0.09941157881617156
epiforecasts-EpiNow2,inc case,BG,0.11712782527504381
epiforecasts-EpiNow2,inc death,BG,0.09951821601724717
epiforecasts-EpiNow2,inc case,CH,0.07385844121592858
epiforecasts-EpiNow2,inc death,CH,0.031184439628351664
epiforecasts-EpiNow2,inc case,CY,0.12616425415067192
epiforecasts-EpiNow2,inc death,CY,0.13867956835989687
epiforecasts-EpiNow2,inc case,CZ,0.13353919327602923
epiforecasts-EpiNow2,inc death,CZ,0.13022147391697086
epiforecasts-EpiNow2,inc case,DE,0.05545558822080637
epiforecasts-EpiNow2,inc death,DE,0.03697635935632186
epiforecasts-EpiNow2,inc case,DK,0.06673625040532973
epiforecasts-EpiNow2,inc death,DK,0.08320175891728315
epiforecasts-EpiNow2,inc case,EE,0.10161360326906747
epiforecasts-EpiNow2,inc death,EE,0.12647797403050998
epiforecasts-EpiNow2,inc case,ES,0.12922814363409516
epiforecasts-EpiNow2,inc death,ES,0.09402774421756387
epiforecasts-EpiNow2,inc case,FI,0.08138751208893912
epiforecasts-EpiNow2,inc death,FI,0.11105255625895576
epiforecasts-EpiNow2,inc case,FR,0.08569575479937741
epiforecasts-EpiNow2,inc death,FR,0.0455353936470254
epiforecasts-EpiNow2,inc case,GB,0.11390301965020884
epiforecasts-EpiNow2,inc death,GB,0.08550200944504864
epiforecasts-EpiNow2,inc case,GR,0.0612315830690392
epiforecasts-EpiNow2,inc death,GR,0.07601424339472053
epiforecasts-EpiNow2,inc case,HR,0.1604861978282404
epiforecasts-EpiNow2,inc death,HR,0.15701532678765906
epiforecasts-EpiNow2,inc case,HU,0.18500751595837914
epiforecasts-EpiNow2,inc death,HU,0.12962937336208719
epiforecasts-EpiNow2,inc case,IE,0.078805982078398
epiforecasts-EpiNow2,inc death,IE,0.06966634787815708
epiforecasts-EpiNow2,inc case,IS,0.057113773559054205
epiforecasts-EpiNow2,inc case,IT,0.0964655124852369
epiforecasts-EpiNow2,inc death,IT,0.12066979338923735
epiforecasts-EpiNow2,inc case,LI,0.08917007702077769
epiforecasts-EpiNow2,inc death,LI,0.10003665064934208
epiforecasts-EpiNow2,inc case,LT,0.10267789136752013
epiforecasts-EpiNow2,inc death,LT,0.09022735487990617
epiforecasts-EpiNow2,inc case,LU,0.055890580005608176
epiforecasts-EpiNow2,inc death,LU,0.10098459764995925
epiforecasts-EpiNow2,inc case,LV,0.15393292169300168
epiforecasts-EpiNow2,inc death,LV,0.13582914475652727
epiforecasts-EpiNow2,inc case,MT,0.07724978661867528
epiforecasts-EpiNow2,inc death,MT,0.07073274461901694
epiforecasts-EpiNow2,inc case,NL,0.07698860496213553
epiforecasts-EpiNow2,inc death,NL,0.05022663076588258
epiforecasts-EpiNow2,inc case,NO,0.13204441122622498
epiforecasts-EpiNow2,inc death,NO,0.1132843391321575
epiforecasts-EpiNow2,inc case,Overall,0.09839710112990013
epiforecasts-EpiNow2,inc death,Overall,0.08373459465979778
epiforecasts-EpiNow2,inc case,PL,0.12253967876846886
epiforecasts-EpiNow2,inc death,PL,0.06132007011944354
epiforecasts-EpiNow2,inc case,PT,0.12879448224579063
epiforecasts-EpiNow2,inc death,PT,0.13244454215061535
epiforecasts-EpiNow2,inc case,RO,0.1867749311593607
epiforecasts-EpiNow2,inc death,RO,0.11395034241810328
epiforecasts-EpiNow2,inc case,SE,0.12368914498221613
epiforecasts-EpiNow2,inc death,SE,0.09119634001252107
epiforecasts-EpiNow2,inc case,SI,0.03899405808329862
epiforecasts-EpiNow2,inc death,SI,0.06564602970344849
epiforecasts-EpiNow2,inc case,SK,0.1592555032728984
epiforecasts-EpiNow2,inc death,SK,0.12234988463220721
FIAS_FZJ-Epi1Ger,inc case,DE,0.060088953294085236
FIAS_FZJ-Epi1Ger,inc death,DE,0.03466885443454226
HZI-AgeExtendedSEIR,inc case,DE,0.07191896597385827
HZI-AgeExtendedSEIR,inc death,DE,0.09733947591236868
IEM_Health-CovidProject,inc case,AT,0.1285902903773559
IEM_Health-CovidProject,inc death,AT,0.0928630966903362
IEM_Health-CovidProject,inc case,BE,0.14901834430609512
IEM_Health-CovidProject,inc death,BE,0.09862571653303975
IEM_Health-CovidProject,inc case,BG,0.08771455973512249
IEM_Health-CovidProject,inc death,BG,0.06291381472354707
IEM_Health-CovidProject,inc case,CH,0.16100077473688026
IEM_Health-CovidProject,inc death,CH,0.11101660507693194
IEM_Health-CovidProject,inc case,CY,0.122646663421564
IEM_Health-CovidProject,inc death,CY,0.10804753518803206
IEM_Health-CovidProject,inc case,CZ,0.0873527053760492
IEM_Health-CovidProject,inc death,CZ,0.07247108113640119
IEM_Health-CovidProject,inc case,DE,0.05558953891699191
IEM_Health-CovidProject,inc death,DE,0.05475345520070737
IEM_Health-CovidProject,inc case,DK,0.14708964013968817
IEM_Health-CovidProject,inc death,DK,0.1222255927457434
IEM_Health-CovidProject,inc case,EE,0.11962448003898155
IEM_Health-CovidProject,inc death,EE,0.08853458182135698
IEM_Health-CovidProject,inc case,ES,0.1251827408768539
IEM_Health-CovidProject,inc death,ES,0.12249192529022776
IEM_Health-CovidProject,inc case,FI,0.15118273758954268
IEM_Health-CovidProject,inc death,FI,0.1061844989982892
IEM_Health-CovidProject,inc case,FR,0.13319929475262346
IEM_Health-CovidProject,inc death,FR,0.12160472472500078
IEM_Health-CovidProject,inc case,GB,0.12570378294730258
IEM_Health-CovidProject,inc death,GB,0.11587772332684225
IEM_Health-CovidProject,inc case,GR,0.15485011916633054
IEM_Health-CovidProject,inc death,GR,0.13259627419229444
IEM_Health-CovidProject,inc case,HR,0.08490237562526265
IEM_Health-CovidProject,inc death,HR,0.07299835368198182
IEM_Health-CovidProject,inc case,HU,0.06656812490091212
IEM_Health-CovidProject,inc death,HU,0.06629899248289955
IEM_Health-CovidProject,inc case,IE,0.15799451746785617
IEM_Health-CovidProject,inc death,IE,0.09616984978832553
IEM_Health-CovidProject,inc case,IT,0.10710842113971139
IEM_Health-CovidProject,inc death,IT,0.07575169995097233
IEM_Health-CovidProject,inc case,LI,0.1489992647277333
IEM_Health-CovidProject,inc death,LI,0.03650762825421392
IEM_Health-CovidProject,inc case,LT,0.12872301503147646
IEM_Health-CovidProject,inc death,LT,0.12296699507918639
IEM_Health-CovidProject,inc case,LU,0.10032532684236499
IEM_Health-CovidProject,inc death,LU,0.08828593567002425
IEM_Health-CovidProject,inc case,LV,0.1286123627722207
IEM_Health-CovidProject,inc death,LV,0.0931303789543516
