model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.17672454504441498
ILM-EKF,inc case,AT,1,0.14485618446263523
LANL-GrowthRate,inc case,AT,1,0.12445390496085562
USC-SIkJalpha,inc case,AT,1,0.1280612645249384
epiforecasts-EpiExpert,inc case,AT,1,0.21038636314811307
epiforecasts-EpiNow2,inc case,AT,1,0.21551773785904266
IEM_Health-CovidProject,inc death,AT,1,0.14070158078785483
ILM-EKF,inc death,AT,1,0.11666211472359822
LANL-GrowthRate,inc death,AT,1,0.21298863146785363
RobertWalraven-ESG,inc death,AT,1,0.22322846951919273
USC-SIkJalpha,inc death,AT,1,0.16823015094200036
epiforecasts-EpiNow2,inc death,AT,1,0.13818905255950029
IEM_Health-CovidProject,inc case,BE,1,0.20571454392095437
ILM-EKF,inc case,BE,1,0.2162640077117725
LANL-GrowthRate,inc case,BE,1,0.2480675382576214
USC-SIkJalpha,inc case,BE,1,0.08188637185203038
epiforecasts-EpiNow2,inc case,BE,1,0.2480675382576214
IEM_Health-CovidProject,inc death,BE,1,0.15387399721912878
ILM-EKF,inc death,BE,1,0.13803402691715963
LANL-GrowthRate,inc death,BE,1,0.17222594184159368
RobertWalraven-ESG,inc death,BE,1,0.20858475178593014
USC-SIkJalpha,inc death,BE,1,0.17710026095031803
epiforecasts-EpiNow2,inc death,BE,1,0.15018102128586971
IEM_Health-CovidProject,inc case,BG,1,0.2124212039262348
ILM-EKF,inc case,BG,1,0.22639628313190815
LANL-GrowthRate,inc case,BG,1,0.2530311399709561
USC-SIkJalpha,inc case,BG,1,0.09832067153157152
epiforecasts-EpiNow2,inc case,BG,1,0.2098307014393295
IEM_Health-CovidProject,inc death,BG,1,0.15701550320886806
ILM-EKF,inc death,BG,1,0.1923135620697764
LANL-GrowthRate,inc death,BG,1,0.1340997270648711
RobertWalraven-ESG,inc death,BG,1,0.19534212210237129
USC-SIkJalpha,inc death,BG,1,0.1580156019554214
epiforecasts-EpiNow2,inc death,BG,1,0.16321348359869184
IEM_Health-CovidProject,inc case,CH,1,0.11236852269867201
ILM-EKF,inc case,CH,1,0.2996493938631254
LANL-GrowthRate,inc case,CH,1,0.14361894025392402
USC-SIkJalpha,inc case,CH,1,0.1371276887170235
epiforecasts-EpiNow2,inc case,CH,1,0.30723545446725514
IEM_Health-CovidProject,inc death,CH,1,0.09922715566256259
ILM-EKF,inc death,CH,1,0.14652234200640085
LANL-GrowthRate,inc death,CH,1,0.23754379688916502
RobertWalraven-ESG,inc death,CH,1,0.12746252516003975
USC-SIkJalpha,inc death,CH,1,0.2090385412624652
epiforecasts-EpiNow2,inc death,CH,1,0.18020563901936656
IEM_Health-CovidProject,inc case,CY,1,0.12553639176450532
ILM-EKF,inc case,CY,1,0.14011481145328658
LANL-GrowthRate,inc case,CY,1,0.4620807611757323
USC-SIkJalpha,inc case,CY,1,0.09782790889756494
epiforecasts-EpiNow2,inc case,CY,1,0.17444012670891096
IEM_Health-CovidProject,inc death,CY,1,0.15910197880861468
ILM-EKF,inc death,CY,1,0.08803642827410012
LANL-GrowthRate,inc death,CY,1,0.15178694530017262
RobertWalraven-ESG,inc death,CY,1,0.24454563409472252
USC-SIkJalpha,inc death,CY,1,0.14353765479472844
epiforecasts-EpiNow2,inc death,CY,1,0.2129913587276616
IEM_Health-CovidProject,inc case,CZ,1,0.14960922995298667
ILM-EKF,inc case,CZ,1,0.23873813290370216
LANL-GrowthRate,inc case,CZ,1,0.2703781264210603
USC-SIkJalpha,inc case,CZ,1,0.16029560352105718
epiforecasts-EpiNow2,inc case,CZ,1,0.18097890720119358
IEM_Health-CovidProject,inc death,CZ,1,0.1081200984047062
ILM-EKF,inc death,CZ,1,0.1358940686371078
LANL-GrowthRate,inc death,CZ,1,0.221081395245444
RobertWalraven-ESG,inc death,CZ,1,0.09087394773892485
USC-SIkJalpha,inc death,CZ,1,0.08275113676784776
epiforecasts-EpiNow2,inc death,CZ,1,0.3612793532059695
DSMPG-bayes,inc case,DE,1,0.11012718047368328
FIAS_FZJ-Epi1Ger,inc case,DE,1,0.10131700603578862
IEM_Health-CovidProject,inc case,DE,1,0.044830533644154257
ILM-EKF,inc case,DE,1,0.08041032225062589
ITWW-county_repro,inc case,DE,1,0.15351061520574033
Karlen-pypm,inc case,DE,1,0.103384700036519
