model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.12561203127102713
epiforecasts-EpiNow2,inc case,AT,0.0733576909131136
epiforecasts-EpiNow2,inc death,AT,0.0819415041873319
epiforecasts-EpiNow2,inc case,BE,0.11411274806157623
epiforecasts-EpiNow2,inc death,BE,0.07277550956663852
epiforecasts-EpiNow2,inc case,BG,0.08258600881085765
epiforecasts-EpiNow2,inc death,BG,0.06885122988939416
epiforecasts-EpiNow2,inc case,CH,0.09659825223605589
epiforecasts-EpiNow2,inc death,CH,0.03837803094978715
epiforecasts-EpiNow2,inc case,CY,0.12678141328528858
epiforecasts-EpiNow2,inc death,CY,0.15376387156296262
epiforecasts-EpiNow2,inc case,CZ,0.06346456609603822
epiforecasts-EpiNow2,inc death,CZ,0.06514997514944233
epiforecasts-EpiNow2,inc case,DE,0.04772160139990988
epiforecasts-EpiNow2,inc death,DE,0.035711275280887
epiforecasts-EpiNow2,inc case,DK,0.07732971364715614
epiforecasts-EpiNow2,inc death,DK,0.08089214292074923
epiforecasts-EpiNow2,inc case,EE,0.09639531523652663
epiforecasts-EpiNow2,inc death,EE,0.07575680448115833
epiforecasts-EpiNow2,inc case,ES,0.13844095525106073
epiforecasts-EpiNow2,inc death,ES,0.09363879924563911
epiforecasts-EpiNow2,inc case,FI,0.09261050055842784
epiforecasts-EpiNow2,inc death,FI,0.09654162180758014
epiforecasts-EpiNow2,inc case,FR,0.09479205819857836
epiforecasts-EpiNow2,inc death,FR,0.06551034154549525
epiforecasts-EpiNow2,inc case,GB,0.1530712418649208
epiforecasts-EpiNow2,inc death,GB,0.08469485387592574
epiforecasts-EpiNow2,inc case,GR,0.07223402584525523
epiforecasts-EpiNow2,inc death,GR,0.08295604528342536
epiforecasts-EpiNow2,inc case,HR,0.08492340246776446
epiforecasts-EpiNow2,inc death,HR,0.11089490890928728
epiforecasts-EpiNow2,inc case,HU,0.03594003036128628
epiforecasts-EpiNow2,inc death,HU,0.023339227335207546
epiforecasts-EpiNow2,inc case,IE,0.0881148095951844
epiforecasts-EpiNow2,inc death,IE,0.05898926700289855
epiforecasts-EpiNow2,inc case,IS,0.07523040400925492
epiforecasts-EpiNow2,inc death,IS,0.2700475791221815
epiforecasts-EpiNow2,inc case,IT,0.09787160426122184
epiforecasts-EpiNow2,inc death,IT,0.11346401321590867
epiforecasts-EpiNow2,inc case,LI,0.0737081700395144
epiforecasts-EpiNow2,inc death,LI,0.11764705882352941
epiforecasts-EpiNow2,inc case,LT,0.1062910783300238
epiforecasts-EpiNow2,inc death,LT,0.10169566265906255
epiforecasts-EpiNow2,inc case,LU,0.05605510371951459
epiforecasts-EpiNow2,inc death,LU,0.058011500522341615
epiforecasts-EpiNow2,inc case,LV,0.1395941191539363
epiforecasts-EpiNow2,inc death,LV,0.12069159865577864
epiforecasts-EpiNow2,inc case,MT,0.08116824794988685
epiforecasts-EpiNow2,inc death,MT,0.0742235811274649
epiforecasts-EpiNow2,inc case,NL,0.09093291878517293
epiforecasts-EpiNow2,inc death,NL,0.04271443980547998
epiforecasts-EpiNow2,inc case,NO,0.11793209717055828
epiforecasts-EpiNow2,inc death,NO,0.08306278590768702
epiforecasts-EpiNow2,inc case,Overall,0.11969602943132657
epiforecasts-EpiNow2,inc death,Overall,0.08047572121852035
epiforecasts-EpiNow2,inc case,PL,0.01150662489836264
epiforecasts-EpiNow2,inc death,PL,0.021469750983761776
epiforecasts-EpiNow2,inc case,PT,0.13388651870458101
epiforecasts-EpiNow2,inc death,PT,0.11582058119770129
epiforecasts-EpiNow2,inc case,RO,0.10183943071611548
epiforecasts-EpiNow2,inc death,RO,0.09156027906792936
epiforecasts-EpiNow2,inc case,SE,0.09764199877120931
epiforecasts-EpiNow2,inc death,SE,0.056742423274504454
epiforecasts-EpiNow2,inc case,SI,0.043947980602934
epiforecasts-EpiNow2,inc death,SI,0.044117451889520834
epiforecasts-EpiNow2,inc case,SK,0.11143065945535303
epiforecasts-EpiNow2,inc death,SK,0.050342146515851637
FIAS_FZJ-Epi1Ger,inc case,DE,0.044696305605641556
FIAS_FZJ-Epi1Ger,inc death,DE,0.03373801074380295
HZI-AgeExtendedSEIR,inc case,DE,0.07459554075480793
HZI-AgeExtendedSEIR,inc death,DE,0.15080484320422763
IEM_Health-CovidProject,inc case,AT,0.10772526665596956
IEM_Health-CovidProject,inc death,AT,0.07979080853937043
IEM_Health-CovidProject,inc case,BE,0.12282194018369262
IEM_Health-CovidProject,inc death,BE,0.08097206866458757
IEM_Health-CovidProject,inc case,BG,0.07076487421636235
IEM_Health-CovidProject,inc death,BG,0.06465115486346162
IEM_Health-CovidProject,inc case,CH,0.14379388338126423
IEM_Health-CovidProject,inc death,CH,0.10532871680999274
