model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10708291502562682
ILM-EKF,inc case,Overall,1,0.10817559783201076
Karlen-pypm,inc case,Overall,1,0.07626768768012271
LANL-GrowthRate,inc case,Overall,1,0.12472010102984771
MUNI-ARIMA,inc case,Overall,1,0.16827315218312786
RobertWalraven-ESG,inc case,Overall,1,0.10708291502562682
USC-SIkJalpha,inc case,Overall,1,0.07970833524463951
epiforecasts-EpiExpert,inc case,Overall,1,0.12772540466912116
epiforecasts-EpiNow2,inc case,Overall,1,0.10096389130987671
IEM_Health-CovidProject,inc case,Overall,2,0.1132861588317135
ILM-EKF,inc case,Overall,2,0.09230724052954434
Karlen-pypm,inc case,Overall,2,0.04403348929854589
LANL-GrowthRate,inc case,Overall,2,0.14490090083126148
MUNI-ARIMA,inc case,Overall,2,0.17307607599289562
RobertWalraven-ESG,inc case,Overall,2,0.12217134775969103
USC-SIkJalpha,inc case,Overall,2,0.08363407698985562
epiforecasts-EpiExpert,inc case,Overall,2,0.12846883991225244
epiforecasts-EpiNow2,inc case,Overall,2,0.09812186985424004
IEM_Health-CovidProject,inc case,Overall,3,0.10531099778250975
ILM-EKF,inc case,Overall,3,0.0764828475515434
Karlen-pypm,inc case,Overall,3,0.032752224190732704
LANL-GrowthRate,inc case,Overall,3,0.1488090186057203
MUNI-ARIMA,inc case,Overall,3,0.16494493628585868
RobertWalraven-ESG,inc case,Overall,3,0.13291679331773076
USC-SIkJalpha,inc case,Overall,3,0.11602059077734127
epiforecasts-EpiExpert,inc case,Overall,3,0.11904721488457626
epiforecasts-EpiNow2,inc case,Overall,3,0.10371537660398689
IEM_Health-CovidProject,inc case,Overall,4,0.09989783098599851
ILM-EKF,inc case,Overall,4,0.05149372731237037
Karlen-pypm,inc case,Overall,4,0.030456655788414184
LANL-GrowthRate,inc case,Overall,4,0.1611255338483847
MUNI-ARIMA,inc case,Overall,4,0.1683671308752784
RobertWalraven-ESG,inc case,Overall,4,0.14836311532574037
USC-SIkJalpha,inc case,Overall,4,0.12384028634627917
epiforecasts-EpiExpert,inc case,Overall,4,0.11018143123455719
epiforecasts-EpiNow2,inc case,Overall,4,0.10627428828297715
IEM_Health-CovidProject,inc death,Overall,1,0.08449739235434287
ILM-EKF,inc death,Overall,1,0.08867010308789065
Karlen-pypm,inc death,Overall,1,0.15613648587215528
LANL-GrowthRate,inc death,Overall,1,0.09975386597387698
MUNI-ARIMA,inc death,Overall,1,0.15281443298125835
RobertWalraven-ESG,inc death,Overall,1,0.09091491582429294
UMass-MechBayes,inc death,Overall,1,0.10409099058143687
USC-SIkJalpha,inc death,Overall,1,0.07640721649062918
epiforecasts-EpiExpert,inc death,Overall,1,0.0711116668328628
epiforecasts-EpiNow2,inc death,Overall,1,0.07560293000125413
IEM_Health-CovidProject,inc death,Overall,2,0.0752357408181977
ILM-EKF,inc death,Overall,2,0.08777503095456397
Karlen-pypm,inc death,Overall,2,0.14363186883474108
LANL-GrowthRate,inc death,Overall,2,0.11087372331102818
MUNI-ARIMA,inc death,Overall,2,0.14363186883474108
RobertWalraven-ESG,inc death,Overall,2,0.08207535361985203
UMass-MechBayes,inc death,Overall,2,0.12153465824478088
USC-SIkJalpha,inc death,Overall,2,0.09159133664824068
epiforecasts-EpiExpert,inc death,Overall,2,0.0710090138059394
epiforecasts-EpiNow2,inc death,Overall,2,0.07264140492791502
IEM_Health-CovidProject,inc death,Overall,3,0.07211125248996926
ILM-EKF,inc death,Overall,3,0.08672839826496302
Karlen-pypm,inc death,Overall,3,0.11065347364840111
LANL-GrowthRate,inc death,Overall,3,0.11885002725198635
MUNI-ARIMA,inc death,Overall,3,0.1565341822343235
RobertWalraven-ESG,inc death,Overall,3,0.07923335150132424
UMass-MechBayes,inc death,Overall,3,0.12584120532563262
USC-SIkJalpha,inc death,Overall,3,0.09724093138798884
epiforecasts-EpiExpert,inc death,Overall,3,0.08228078809752902
epiforecasts-EpiNow2,inc death,Overall,3,0.070526389797882
IEM_Health-CovidProject,inc death,Overall,4,0.06943150675340683
ILM-EKF,inc death,Overall,4,0.07546902907979003
Karlen-pypm,inc death,Overall,4,0.0746575341434482
LANL-GrowthRate,inc death,Overall,4,0.14169695255797313
MUNI-ARIMA,inc death,Overall,4,0.1653131113176353
RobertWalraven-ESG,inc death,Overall,4,0.08678938344175853
UMass-MechBayes,inc death,Overall,4,0.11970949440242556
USC-SIkJalpha,inc death,Overall,4,0.10848672930219816
epiforecasts-EpiExpert,inc death,Overall,4,0.08901475224795746
epiforecasts-EpiNow2,inc death,Overall,4,0.06943150675340683
IEM_Health-CovidProject,inc case,AT,1,0.10353137062714393
ILM-EKF,inc case,AT,1,0.09535784136710625
Karlen-pypm,inc case,AT,1,0.11880649088360778
LANL-GrowthRate,inc case,AT,1,0.13673954611132214
MUNI-ARIMA,inc case,AT,1,0.21961199830000225
RobertWalraven-ESG,inc case,AT,1,0.1294142132839299
USC-SIkJalpha,inc case,AT,1,0.08330110280344913
epiforecasts-EpiNow2,inc case,AT,1,0.11323743662343867
IEM_Health-CovidProject,inc case,AT,2,0.1018215456096289
ILM-EKF,inc case,AT,2,0.10826594723049147
Karlen-pypm,inc case,AT,2,0.08385303756087086
LANL-GrowthRate,inc case,AT,2,0.14496626832557336
MUNI-ARIMA,inc case,AT,2,0.23116242787050886
RobertWalraven-ESG,inc case,AT,2,0.1402132759214562
USC-SIkJalpha,inc case,AT,2,0.10062364507304504
epiforecasts-EpiNow2,inc case,AT,2,0.0890938524084253
IEM_Health-CovidProject,inc case,AT,3,0.09694708129345785
ILM-EKF,inc case,AT,3,0.10829195250864973
Karlen-pypm,inc case,AT,3,0.05385948960747659
LANL-GrowthRate,inc case,AT,3,0.13944443199743936
MUNI-ARIMA,inc case,AT,3,0.2678800930477125
RobertWalraven-ESG,inc case,AT,3,0.16157846882242974
USC-SIkJalpha,inc case,AT,3,0.09603248618691579
