model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.45,NA,0.69,0.97,NA,239,31,NA
DSMPG-bayes,inc case,1,Overall,0.63,0.44,0.57,0.96,0.14,126,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.29,0.97,0.43,311,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.52,0.5,0.6,0.96,0.24,311,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.79,0.76,0.4,0.83,0.38,308,32,NA
ILM-EKF,inc case,1,Overall,0.56,0.5,0.56,0.95,0.2,310,32,NA
MUNI-ARIMA,inc case,1,Overall,0.47,0.57,0.56,0.91,0.18,247,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.78,0.98,0.43,0.79,0.16,311,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.53,NA,NA,NA,NA,311,32,NA
UMass-SemiMech,inc case,1,Overall,0.92,1.05,0.51,0.92,0.23,311,32,NA
USC-SIkJalpha,inc case,1,Overall,0.79,0.92,0.33,0.36,0.43,311,32,NA
UVA-Ensemble,inc case,1,Overall,1.85,NA,0.55,0.86,NA,311,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.75,0.61,0.38,0.85,0.42,89,22,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.71,0.58,0.57,0.93,0.12,72,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.63,0.65,0.31,0.69,0.47,54,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.76,0.73,0.52,0.85,0.06,310,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.31,0.82,0.52,311,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.84,0.77,0.34,0.77,0.5,311,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.31,1.24,0.25,0.59,0.59,311,32,NA
ILM-EKF,inc case,4,Overall,1.07,0.85,0.45,0.88,0.36,310,32,NA
MUNI-ARIMA,inc case,4,Overall,0.51,0.86,0.57,0.93,0.26,122,31,NA
RobertWalraven-ESG,inc case,4,Overall,0.63,0.85,0.4,0.66,0.22,311,32,NA
UMass-SemiMech,inc case,4,Overall,0.86,0.97,0.31,0.77,0.42,307,32,NA
USC-SIkJalpha,inc case,4,Overall,0.68,0.79,0.3,0.37,0.4,311,32,NA
UVA-Ensemble,inc case,4,Overall,1.24,NA,0.32,0.55,NA,247,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.72,0.67,0.21,0.62,0.51,99,23,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,0.55,0.76,0.2,0.4,0.5,40,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.82,0.74,0.4,0.81,0.14,309,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.33,0.85,0.49,311,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.65,0.62,0.43,0.85,0.42,311,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.02,0.98,0.3,0.66,0.54,310,32,NA
ILM-EKF,inc case,3,Overall,0.72,0.63,0.46,0.92,0.3,311,32,NA
MUNI-ARIMA,inc case,3,Overall,0.49,0.8,0.61,0.93,0.25,153,31,NA
RobertWalraven-ESG,inc case,3,Overall,0.69,0.89,0.37,0.69,0.21,311,32,NA
UMass-SemiMech,inc case,3,Overall,0.77,0.84,0.39,0.79,0.38,311,32,NA
USC-SIkJalpha,inc case,3,Overall,0.64,0.77,0.32,0.37,0.4,311,32,NA
UVA-Ensemble,inc case,3,Overall,1.24,NA,0.42,0.67,NA,279,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.74,0.66,0.23,0.69,0.45,99,24,NA
